date,FEDFUNDS,hpi_pct_chng,for_sale_inventory,mean_days_to_pending,median_list_price,median_sale_price,med_listing_price_cut_pct,share_of_listing_w_pricecut
1/1/91,6.91,0,,,,,,
2/1/91,6.25,0.45,,,,,,
3/1/91,6.12,0.039820806,,,,,,
4/1/91,5.91,-0.149268584,,,,,,
5/1/91,5.78,0.059796691,,,,,,
6/1/91,5.9,0.129482072,,,,,,
7/1/91,5.82,0.019894559,,,,,,
8/1/91,5.66,-0.179015415,,,,,,
9/1/91,5.45,0.24907841,,,,,,
10/1/91,5.21,0.298151461,,,,,,
11/1/91,4.81,0.535077289,,,,,,
12/1/91,4.43,0.384387936,,,,,,
1/1/92,4.03,0.412371134,,,,,,
2/1/92,4.06,0.694240735,,,,,,
3/1/92,3.98,-0.165080598,,,,,,
4/1/92,3.73,-0.243167007,,,,,,
5/1/92,3.82,0.04875195,,,,,,
6/1/92,3.76,-0.029236916,,,,,,
7/1/92,3.25,0.302203159,,,,,,
8/1/92,3.3,0.485955875,,,,,,
9/1/92,3.22,0.367540381,,,,,,
10/1/92,3.1,0.298737593,,,,,,
11/1/92,3.09,0.288239816,,,,,,
12/1/92,2.92,-0.095803794,,,,,,
1/1/93,3.02,0.057537399,,,,,,
2/1/93,3.03,-0.230017251,,,,,,
3/1/93,3.07,0.317002882,,,,,,
4/1/93,2.96,0.641578091,,,,,,
5/1/93,3,0.199809705,,,,,,
6/1/93,3.04,0.379830975,,,,,,
7/1/93,3.06,0.018919686,,,,,,
8/1/93,3.03,0.349947981,,,,,,
9/1/93,3.09,0.377002828,,,,,,
10/1/93,2.99,0.272300469,,,,,,
11/1/93,3.02,0.24346849,,,,,,
12/1/93,2.96,0.48575432,,,,,,
1/1/94,3.05,0.241703077,,,,,,
2/1/94,3.25,0.194750997,,,,,,
3/1/94,3.34,0.388744909,,,,,,
4/1/94,3.56,0.295039646,,,,,,
5/1/94,4.01,0.321750322,,,,,,
6/1/94,4.25,0.210757812,,,,,,
7/1/94,4.26,0.091441112,,,,,,
8/1/94,4.47,0.219258177,,,,,,
9/1/94,4.73,0.109389243,,,,,,
10/1/94,4.76,0.218539428,,,,,,
11/1/94,5.29,0.236234781,,,,,,
12/1/94,5.45,0,,,,,,
1/1/95,5.53,0.353517041,,,,,,
2/1/95,5.92,0.460662993,,,,,,
3/1/95,5.98,-0.098903075,,,,,,
4/1/95,6.05,0.18900189,,,,,,
5/1/95,6.01,0.134746676,,,,,,
6/1/95,6,0.376782991,,,,,,
7/1/95,5.85,0.455804808,,,,,,
8/1/95,5.74,0.258007117,,,,,,
9/1/95,5.8,0.221847546,,,,,,
10/1/95,5.76,0.061979812,,,,,,
11/1/95,5.8,0.194673038,,,,,,
12/1/95,5.6,0.40625276,,,,,,
1/1/96,5.56,0.387017328,,,,,,
2/1/96,5.22,0.14019101,,,,,,
3/1/96,5.31,0.349986875,,,,,,
4/1/96,5.22,0.26157468,,,,,,
5/1/96,5.24,0.234803026,,,,,,
6/1/96,5.27,0.095436405,,,,,,
7/1/96,5.4,0.355378348,,,,,,
8/1/96,5.22,0,,,,,,
9/1/96,5.3,0.259112109,,,,,,
10/1/96,5.24,0.094762233,,,,,,
11/1/96,5.31,0.266804372,,,,,,
12/1/96,5.29,0.274678112,,,,,,
1/1/97,5.25,0.136962849,,,,,,
2/1/97,5.19,0.239357155,,,,,,
3/1/97,5.39,0.44345898,,,,,,
4/1/97,5.51,0.20376974,,,,,,
5/1/97,5.5,0.381291307,,,,,,
6/1/97,5.56,0.025322867,,,,,,
7/1/97,5.52,0.29535865,,,,,,
8/1/97,5.54,0.344972655,,,,,,
9/1/97,5.54,0.109005534,,,,,,
10/1/97,5.5,0.544434207,,,,,,
11/1/97,5.52,0.316561146,,,,,,
12/1/97,5.5,0.323866467,,,,,,
1/1/98,5.56,0.380763182,,,,,,
2/1/98,5.51,0.709161375,,,,,,
3/1/98,5.49,0.335707852,,,,,,
4/1/98,5.45,0.481475437,,,,,,
5/1/98,5.49,0.381710387,,,,,,
6/1/98,5.56,0.647249191,,,,,,
7/1/98,5.54,0.241157556,,,,,,
8/1/98,5.55,0.433039294,,,,,,
9/1/98,5.51,0.638773555,,,,,,
10/1/98,5.07,0.420501428,,,,,,
11/1/98,4.83,0.655763609,,,,,,
12/1/98,4.68,0.455259027,,,,,,
1/1/99,4.63,0.562587904,,,,,,
2/1/99,4.76,0.411810412,,,,,,
3/1/99,4.81,0.433335913,,,,,,
4/1/99,4.74,0.508513753,,,,,,
5/1/99,4.74,0.590264469,,,,,,
6/1/99,4.76,0.449626581,,,,,,
7/1/99,4.99,0.561414157,,,,,,
8/1/99,5.07,0.618634478,,,,,,
9/1/99,5.22,0.284921647,,,,,,
10/1/99,5.2,0.620560748,,,,,,
11/1/99,5.42,0.408678853,,,,,,
12/1/99,5.3,0.481018279,,,,,,
1/1/00,5.45,1.185741641,,,,,,
2/1/00,5.73,-0.131013902,,,,,,
3/1/00,5.85,0.765250346,,,,,,
4/1/00,6.02,0.67987849,,,,,,
5/1/00,6.27,0.452586207,,,,,,
6/1/00,6.53,0.657941786,,,,,,
7/1/00,6.54,0.554174067,,,,,,
8/1/00,6.5,0.360347629,,,,,,
9/1/00,6.52,0.647704872,,,,,,
10/1/00,6.51,0.538612199,,,,,,
11/1/00,6.51,0.612259097,,,,,,
12/1/00,6.4,0.594702994,,,,,,
1/1/01,5.98,0.625558534,,,,,,
2/1/01,5.49,0.703648039,,,,,,
3/1/01,5.31,0.535920223,,,,,,
4/1/01,4.8,0.573549258,,,,,,
5/1/01,4.21,0.462931902,,,,,,
6/1/01,3.97,0.460798718,,,,,,
7/1/01,3.77,0.571694476,,,,,,
8/1/01,3.65,0.475907198,,,,,,
9/1/01,3.07,0.519702651,,,,,,
10/1/01,2.49,0.621727749,,,,,,
11/1/01,2.09,0.305691057,,,,,,
12/1/01,1.82,0.641940086,,,,,,
1/1/02,1.73,0.579859545,,,,,,
2/1/02,1.74,0.582922298,,,,,,
3/1/02,1.73,0.636861546,,,,,,
4/1/02,1.75,0.525249968,,,,,,
5/1/02,1.75,0.698772427,,,,,,
6/1/02,1.75,0.612653163,,,,,,
7/1/02,1.73,0.65241705,,,,,,
8/1/02,1.74,0.623495277,,,,,,
9/1/02,1.75,0.625766871,,,,,,
10/1/02,1.75,0.695037191,,,,,,
11/1/02,1.34,0.575199806,,,,,,
12/1/02,1.24,0.722412859,,,,,,
1/1/03,1.24,0.63355448,,,,,,
2/1/03,1.26,0.629565837,,,,,,
3/1/03,1.25,0.306911409,,,,,,
4/1/03,1.26,0.623712857,,,,,,
5/1/03,1.26,0.56137068,,,,,,
6/1/03,1.22,0.465197418,,,,,,
7/1/03,1.01,0.752445448,,,,,,
8/1/03,1.03,0.712357098,,,,,,
9/1/03,1.01,0.815697907,,,,,,
10/1/03,1.01,0.599751047,,,,,,
11/1/03,1,0.770528684,,,,,,
12/1/03,0.98,0.84835631,,,,,,
1/1/04,1,0.653052189,,,,,,
2/1/04,1.01,0.753285314,,,,,,
3/1/04,1,0.709452085,,,,,,
4/1/04,1,0.829088544,,,,,,
5/1/04,1,0.967377869,,,,,,
6/1/04,1.03,1.011337627,,,,,,
7/1/04,1.26,0.832586816,,,,,,
8/1/04,1.43,0.710739483,,,,,,
9/1/04,1.61,0.778371647,,,,,,
10/1/04,1.76,0.782657948,,,,,,
11/1/04,1.93,0.883870638,,,,,,
12/1/04,2.16,0.871062494,,,,,,
1/1/05,2.28,0.743046491,,,,,,
2/1/05,2.5,0.672779827,,,,,,
3/1/05,2.63,1.074204247,,,,,,
4/1/05,2.79,0.857086884,,,,,,
5/1/05,3,0.810955179,,,,,,
6/1/05,3.04,0.88150289,,,,,,
7/1/05,3.26,0.969297617,,,,,,
8/1/05,3.5,0.737728176,,,,,,
9/1/05,3.62,0.934184584,,,,,,
10/1/05,3.78,0.530207897,,,,,,
11/1/05,4,0.670830442,,,,,,
12/1/05,4.16,0.588235294,,,,,,
1/1/06,4.29,0.64875731,,,,,,
2/1/06,4.49,0.195188379,,,,,,
3/1/06,4.59,0.366964164,,,,,,
4/1/06,4.79,0.194095874,,,,,,
5/1/06,4.94,0.270306798,,,,,,
6/1/06,4.99,0,,,,,,
7/1/06,5.24,-0.040436717,,,,,,
8/1/06,5.25,0.265192377,,,,,,
9/1/06,5.25,-0.022414489,,,,,,
10/1/06,5.25,0.11209757,,,,,,
11/1/06,5.25,0.326958391,,,,,,
12/1/06,5.24,0.058035714,,,,,,
1/1/07,5.25,0.325703833,,,,,,
2/1/07,5.26,0.022236058,,,,,,
3/1/07,5.26,0.417944956,,,,,,
4/1/07,5.25,0.004427718,,,,,,
5/1/07,5.25,-0.478172319,,,,,,
6/1/07,5.25,-0.360352345,,,,,,
7/1/07,5.26,-0.473277671,,,,,,
8/1/07,5.02,-0.488986587,,,,,,
9/1/07,4.94,-0.369669101,,,,,,
10/1/07,4.76,-0.828054299,,,,,,
11/1/07,4.49,-0.647898891,,,,,,
12/1/07,4.24,-0.537313433,,,,,,
1/1/08,3.94,-0.863422292,,,,,,
2/1/08,2.98,-0.610125285,,,,,,
3/1/08,2.61,-0.890346767,,,,,,
4/1/08,2.28,-1.078014184,,,,197096,,
5/1/08,1.98,-1.142338209,,,,196559,,
6/1/08,2,-0.623700624,,,,195484,,
7/1/08,2.01,-0.904933346,,,,193576,,
8/1/08,2,-1.04084839,,,,191531,,
9/1/08,1.81,-0.858305219,,,,189331,,
10/1/08,0.97,-0.850723115,,,,187598,,
11/1/08,0.39,-1.786705698,,,,186236,,
12/1/08,0.16,-0.313479624,,,,184376,,
1/1/09,0.15,0.912465203,,,,181441,,
2/1/09,0.22,0.173690932,,,,179160,,
3/1/09,0.18,-1.223927788,,,,177723,,
4/1/09,0.15,-0.645361144,,,,178312,,
5/1/09,0.18,-0.098732072,,,,176522,,
6/1/09,0.21,-0.067620286,,,,175687,,
7/1/09,0.16,-0.270664168,,,,175033,,
8/1/09,0.16,-0.187891441,,,,174291,,
9/1/09,0.15,-0.078435474,,,,173552,,
10/1/09,0.12,0.19362604,,,,173430,,
11/1/09,0.12,0.313381385,,,,172954,,
12/1/09,0.12,-1.05175466,,,,173228,,
1/1/10,0.11,0.063144601,,,,175000,,
2/1/10,0.13,-0.378628523,,,,176243,,
3/1/10,0.16,-0.089738176,,,,177095,,
4/1/10,0.2,0.079251862,,,,176243,,
5/1/10,0.2,0.031675641,,,,175373,,
6/1/10,0.18,-1.02385476,,,,174028,,
7/1/10,0.18,-0.629199104,,,,174673,,
8/1/10,0.19,-0.069757459,,,,175998,,
9/1/10,0.19,-1.036352897,,,,177833,,
10/1/10,0.19,0.217037439,,,,177631,,
11/1/10,0.19,-0.341093665,,,,177223,,
12/1/10,0.18,-0.760580214,,,,176957,,
1/1/11,0.17,-0.541960913,,,,176742,,
2/1/11,0.16,-0.946719507,,,,176323,,
3/1/11,0.14,-0.97243832,,,,174561,,
4/1/11,0.1,0.157118007,,,,173156,,
5/1/11,0.09,-0.268922629,,,,171450,,
6/1/11,0.09,0.398853997,,,,170749,,
7/1/11,0.07,0.240599821,,,,169775,,
8/1/11,0.1,-0.346078705,,,,168937,,
9/1/11,0.08,0.632946844,,,,168371,,
10/1/11,0.07,-0.573305132,,,,168445,,
11/1/11,0.08,0.487040251,,,,168748,,
12/1/11,0.07,0.250696379,,,,168619,,
1/1/12,0.08,-0.311197555,,,,168145,,
2/1/12,0.1,0.195105636,,,,168136,,
3/1/12,0.13,0.867920329,,,,169138,,
4/1/12,0.14,0.518477661,,,,171614,,
5/1/12,0.16,0.647497805,,,,173542,,
6/1/12,0.16,0.365281867,,,,174975,,
7/1/12,0.16,0.293334782,,,,175358,,
