date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.23,0.23
9/1/91,5.45,101.19,0.96
12/1/91,4.43,102.27,1.08
3/1/92,3.98,102.43,0.16
6/1/92,3.76,103.46,1.03
9/1/92,3.22,104.08,0.62
12/1/92,2.92,104.37,0.29
3/1/93,3.07,104.82,0.45
6/1/93,3.04,106.43,1.61
9/1/93,3.09,107.24,0.81
12/1/93,2.96,110.74,3.5
3/1/94,3.34,110.7,-0.04
6/1/94,4.25,110.92,0.22
9/1/94,4.73,112.03,1.11
12/1/94,5.45,111.42,-0.61
3/1/95,5.98,114.27,2.85
6/1/95,6,115.67,1.4
9/1/95,5.8,116.97,1.3
12/1/95,5.6,117.9,0.93
3/1/96,5.31,120.65,2.75
6/1/96,5.27,120.19,-0.46
9/1/96,5.3,119.88,-0.31
12/1/96,5.29,123.55,3.67
3/1/97,5.39,122.94,-0.61
6/1/97,5.56,123.91,0.97
9/1/97,5.54,124.69,0.78
12/1/97,5.5,125.85,1.16
3/1/98,5.49,125.86,0.01
6/1/98,5.56,128.2,2.34
9/1/98,5.51,129.01,0.81
12/1/98,4.68,131.13,2.12
3/1/99,4.81,132.15,1.02
6/1/99,4.76,132.49,0.34
9/1/99,5.22,133.45,0.96
12/1/99,5.3,131.29,-2.16
3/1/00,5.85,133.62,2.33
6/1/00,6.53,135.19,1.57
9/1/00,6.52,136.77,1.58
12/1/00,6.4,137.17,0.4
3/1/01,5.31,140.51,3.34
6/1/01,3.97,143.4,2.89
9/1/01,3.07,145.26,1.86
12/1/01,1.82,149.05,3.79
3/1/02,1.73,149.28,0.23
6/1/02,1.75,151.94,2.66
9/1/02,1.75,156.22,4.28
12/1/02,1.24,157.4,1.18
3/1/03,1.25,160.69,3.29
6/1/03,1.22,163.33,2.64
9/1/03,1.01,165.48,2.15
12/1/03,0.98,171.18,5.7
3/1/04,1,175.83,4.65
6/1/04,1.03,177.2,1.37
9/1/04,1.61,183.51,6.31
12/1/04,2.16,188.06,4.55
3/1/05,2.63,193.43,5.37
6/1/05,3.04,197.58,4.15
9/1/05,3.62,204.44,6.86
12/1/05,4.16,208.39,3.95
3/1/06,4.59,212.8,4.41
6/1/06,4.99,216.22,3.42
9/1/06,5.25,218.27,2.05
12/1/06,5.24,219.9,1.63
3/1/07,5.26,223.1,3.2
6/1/07,5.25,226.37,3.27
9/1/07,4.94,224.51,-1.86
12/1/07,4.24,222.36,-2.15
3/1/08,2.61,219.31,-3.05
6/1/08,2,223.64,4.33
9/1/08,1.81,221.08,-2.56
12/1/08,0.16,225.03,3.95
3/1/09,0.18,226.07,1.04
6/1/09,0.21,215.7,-10.37
9/1/09,0.15,215.38,-0.32
12/1/09,0.12,216.08,0.7
3/1/10,0.16,215.66,-0.42
6/1/10,0.18,220.2,4.54
9/1/10,0.19,222.39,2.19
12/1/10,0.18,220.07,-2.32
3/1/11,0.14,225.25,5.18
6/1/11,0.09,222.51,-2.74
9/1/11,0.08,224.57,2.06
12/1/11,0.07,223.39,-1.18
3/1/12,0.13,218.11,-5.28
6/1/12,0.16,224.01,5.9
9/1/12,0.14,226.51,2.5
12/1/12,0.16,226.96,0.45
3/1/13,0.14,229.35,2.39
6/1/13,0.09,229.86,0.51
9/1/13,0.08,230.17,0.31
12/1/13,0.09,231.62,1.45
3/1/14,0.08,230.96,-0.66
6/1/14,0.1,234.24,3.28
9/1/14,0.09,236.56,2.32
12/1/14,0.12,240.2,3.64
3/1/15,0.11,240.9,0.7
6/1/15,0.13,241.03,0.13
9/1/15,0.14,241.7,0.67
12/1/15,0.24,247.58,5.88
3/1/16,0.36,245.43,-2.15
6/1/16,0.38,248.98,3.55
9/1/16,0.4,248.84,-0.14
12/1/16,0.54,247.49,-1.35
3/1/17,0.79,250.31,2.82
6/1/17,1.04,247.05,-3.26
9/1/17,1.15,254.93,7.88
12/1/17,1.3,254.21,-0.72
3/1/18,1.51,256.41,2.2
6/1/18,1.82,254.77,-1.64
9/1/18,1.95,253.33,-1.44
12/1/18,2.27,259.63,6.3
3/1/19,2.41,265.06,5.43
6/1/19,2.38,265.69,0.63
9/1/19,2.04,267.6,1.91
12/1/19,1.55,268.42,0.82
3/1/20,0.65,267.41,-1.01
6/1/20,0.08,272.61,5.2
