date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,101.43,1.43
9/1/91,5.45,102.19,0.76
12/1/91,4.43,102.94,0.75
3/1/92,3.98,104.49,1.55
6/1/92,3.76,104.4,-0.09
9/1/92,3.22,106.33,1.93
12/1/92,2.92,107.96,1.63
3/1/93,3.07,109.06,1.1
6/1/93,3.04,109.72,0.66
9/1/93,3.09,111.44,1.72
12/1/93,2.96,112.93,1.49
3/1/94,3.34,114.22,1.29
6/1/94,4.25,115.93,1.71
9/1/94,4.73,116.61,0.68
12/1/94,5.45,117.59,0.98
3/1/95,5.98,118.56,0.97
6/1/95,6,119.33,0.77
9/1/95,5.8,120.97,1.64
12/1/95,5.6,121.7,0.73
3/1/96,5.31,122.9,1.2
6/1/96,5.27,124.62,1.72
9/1/96,5.3,125.19,0.57
12/1/96,5.29,126.51,1.32
3/1/97,5.39,127.8,1.29
6/1/97,5.56,127.78,-0.02
9/1/97,5.54,129.18,1.4
12/1/97,5.5,129.61,0.43
3/1/98,5.49,130.77,1.16
6/1/98,5.56,132.25,1.48
9/1/98,5.51,133.7,1.45
12/1/98,4.68,135.55,1.85
3/1/99,4.81,136.41,0.86
6/1/99,4.76,137.48,1.07
9/1/99,5.22,138.38,0.9
12/1/99,5.3,139.69,1.31
3/1/00,5.85,141.14,1.45
6/1/00,6.53,141.81,0.67
9/1/00,6.52,142.33,0.52
12/1/00,6.4,142.97,0.64
3/1/01,5.31,144.37,1.4
6/1/01,3.97,145.54,1.17
9/1/01,3.07,146.35,0.81
12/1/01,1.82,147.43,1.08
3/1/02,1.73,148.57,1.14
6/1/02,1.75,149.81,1.24
9/1/02,1.75,150.76,0.95
12/1/02,1.24,153.38,2.62
3/1/03,1.25,154.36,0.98
6/1/03,1.22,155.91,1.55
9/1/03,1.01,158.74,2.83
12/1/03,0.98,159.23,0.49
3/1/04,1,160.5,1.27
6/1/04,1.03,162.97,2.47
9/1/04,1.61,166.53,3.56
12/1/04,2.16,168.74,2.21
3/1/05,2.63,171.9,3.16
6/1/05,3.04,174.55,2.65
9/1/05,3.62,178.06,3.51
12/1/05,4.16,183.04,4.98
3/1/06,4.59,187.66,4.62
6/1/06,4.99,191.08,3.42
9/1/06,5.25,193.83,2.75
12/1/06,5.24,196.67,2.84
3/1/07,5.26,198.85,2.18
6/1/07,5.25,201.2,2.35
9/1/07,4.94,200.81,-0.39
12/1/07,4.24,200.94,0.13
3/1/08,2.61,199.33,-1.61
6/1/08,2,197.38,-1.95
9/1/08,1.81,194.28,-3.1
12/1/08,0.16,191.54,-2.74
3/1/09,0.18,192.69,1.15
6/1/09,0.21,191.43,-1.26
9/1/09,0.15,186.31,-5.12
12/1/09,0.12,192.68,6.37
3/1/10,0.16,184.93,-7.75
6/1/10,0.18,181.51,-3.42
9/1/10,0.19,180.17,-1.34
12/1/10,0.18,176,-4.17
3/1/11,0.14,171.88,-4.12
6/1/11,0.09,170.87,-1.01
9/1/11,0.08,172.26,1.39
12/1/11,0.07,171.98,-0.28
3/1/12,0.13,174.65,2.67
6/1/12,0.16,177.31,2.66
9/1/12,0.14,173.93,-3.38
12/1/12,0.16,177.94,4.01
3/1/13,0.14,178.7,0.76
6/1/13,0.09,180.83,2.13
9/1/13,0.08,181.61,0.78
12/1/13,0.09,182.31,0.7
3/1/14,0.08,183.56,1.25
6/1/14,0.1,183.35,-0.21
9/1/14,0.09,185.36,2.01
12/1/14,0.12,188.12,2.76
3/1/15,0.11,187.29,-0.83
6/1/15,0.13,191.39,4.1
9/1/15,0.14,192.05,0.66
12/1/15,0.24,192.85,0.8
3/1/16,0.36,194.96,2.11
6/1/16,0.38,196.55,1.59
9/1/16,0.4,199.39,2.84
12/1/16,0.54,201.47,2.08
3/1/17,0.79,203.37,1.9
6/1/17,1.04,205.22,1.85
9/1/17,1.15,207.4,2.18
12/1/17,1.3,211.98,4.58
3/1/18,1.51,212.39,0.41
6/1/18,1.82,217.44,5.05
9/1/18,1.95,220.52,3.08
12/1/18,2.27,222.41,1.89
3/1/19,2.41,228.01,5.6
6/1/19,2.38,229.11,1.1
9/1/19,2.04,232.73,3.62
12/1/19,1.55,236.83,4.1
3/1/20,0.65,241.73,4.9
6/1/20,0.08,245.6,3.87
