date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.07,0.07
9/1/91,5.45,101.44,1.37
12/1/91,4.43,102.83,1.39
3/1/92,3.98,102.81,-0.02
6/1/92,3.76,103.6,0.79
9/1/92,3.22,104.71,1.11
12/1/92,2.92,105.54,0.83
3/1/93,3.07,107.41,1.87
6/1/93,3.04,109.21,1.8
9/1/93,3.09,111.24,2.03
12/1/93,2.96,111.42,0.18
3/1/94,3.34,115.14,3.72
6/1/94,4.25,116.14,1
9/1/94,4.73,116.72,0.58
12/1/94,5.45,119.23,2.51
3/1/95,5.98,119.07,-0.16
6/1/95,6,121.02,1.95
9/1/95,5.8,122.75,1.73
12/1/95,5.6,123.45,0.7
3/1/96,5.31,124.28,0.83
6/1/96,5.27,125.34,1.06
9/1/96,5.3,124.99,-0.35
12/1/96,5.29,126.05,1.06
3/1/97,5.39,127.3,1.25
6/1/97,5.56,127.68,0.38
9/1/97,5.54,128.19,0.51
12/1/97,5.5,129.17,0.98
3/1/98,5.49,129.47,0.3
6/1/98,5.56,129.26,-0.21
9/1/98,5.51,132.17,2.91
12/1/98,4.68,132.6,0.43
3/1/99,4.81,133.96,1.36
6/1/99,4.76,134.78,0.82
9/1/99,5.22,135.85,1.07
12/1/99,5.3,136.8,0.95
3/1/00,5.85,137.29,0.49
6/1/00,6.53,139.44,2.15
9/1/00,6.52,139.77,0.33
12/1/00,6.4,141.1,1.33
3/1/01,5.31,142.85,1.75
6/1/01,3.97,143.35,0.5
9/1/01,3.07,145.27,1.92
12/1/01,1.82,146.06,0.79
3/1/02,1.73,147.33,1.27
6/1/02,1.75,149.55,2.22
9/1/02,1.75,150.77,1.22
12/1/02,1.24,152.4,1.63
3/1/03,1.25,154.81,2.41
6/1/03,1.22,156.56,1.75
9/1/03,1.01,159.62,3.06
12/1/03,0.98,161.11,1.49
3/1/04,1,164.89,3.78
6/1/04,1.03,167.2,2.31
9/1/04,1.61,169.75,2.55
12/1/04,2.16,172.81,3.06
3/1/05,2.63,175.61,2.8
6/1/05,3.04,177.82,2.21
9/1/05,3.62,181.52,3.7
12/1/05,4.16,185.41,3.89
3/1/06,4.59,187.42,2.01
6/1/06,4.99,189.7,2.28
9/1/06,5.25,190.99,1.29
12/1/06,5.24,192.87,1.88
3/1/07,5.26,192.5,-0.37
6/1/07,5.25,194.69,2.19
9/1/07,4.94,194.7,0.01
12/1/07,4.24,194.06,-0.64
3/1/08,2.61,190.01,-4.05
6/1/08,2,188.9,-1.11
9/1/08,1.81,188.52,-0.38
12/1/08,0.16,185.47,-3.05
3/1/09,0.18,184.42,-1.05
6/1/09,0.21,183.39,-1.03
9/1/09,0.15,183.85,0.46
12/1/09,0.12,188.64,4.79
3/1/10,0.16,177.88,-10.76
6/1/10,0.18,182.29,4.41
9/1/10,0.19,177.31,-4.98
12/1/10,0.18,175.59,-1.72
3/1/11,0.14,177.55,1.96
6/1/11,0.09,173.32,-4.23
9/1/11,0.08,175.39,2.07
12/1/11,0.07,178.88,3.49
3/1/12,0.13,178.1,-0.78
6/1/12,0.16,182.55,4.45
9/1/12,0.14,181.49,-1.06
12/1/12,0.16,181.59,0.1
3/1/13,0.14,186.44,4.85
6/1/13,0.09,186.29,-0.15
9/1/13,0.08,186.51,0.22
12/1/13,0.09,184.64,-1.87
3/1/14,0.08,186.42,1.78
6/1/14,0.1,187.73,1.31
9/1/14,0.09,188.48,0.75
12/1/14,0.12,192.26,3.78
3/1/15,0.11,188.04,-4.22
6/1/15,0.13,193.39,5.35
9/1/15,0.14,196.27,2.88
12/1/15,0.24,196.8,0.53
3/1/16,0.36,197.7,0.9
6/1/16,0.38,198.93,1.23
9/1/16,0.4,200.38,1.45
12/1/16,0.54,201.53,1.15
3/1/17,0.79,203.83,2.3
6/1/17,1.04,205.12,1.29
9/1/17,1.15,208.72,3.6
12/1/17,1.3,212.9,4.18
3/1/18,1.51,212.64,-0.26
6/1/18,1.82,214.85,2.21
9/1/18,1.95,217.34,2.49
12/1/18,2.27,220.8,3.46
3/1/19,2.41,223.92,3.12
6/1/19,2.38,225.38,1.46
9/1/19,2.04,228.04,2.66
12/1/19,1.55,230.01,1.97
3/1/20,0.65,231.08,1.07
6/1/20,0.08,237.55,6.47
