date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.32,0.32
9/1/91,5.45,99.53,-0.79
12/1/91,4.43,101.33,1.8
3/1/92,3.98,102.28,0.95
6/1/92,3.76,101.47,-0.81
9/1/92,3.22,102.86,1.39
12/1/92,2.92,103.21,0.35
3/1/93,3.07,104.23,1.02
6/1/93,3.04,105.3,1.07
9/1/93,3.09,106.67,1.37
12/1/93,2.96,108.58,1.91
3/1/94,3.34,109.76,1.18
6/1/94,4.25,112.22,2.46
9/1/94,4.73,113.58,1.36
12/1/94,5.45,115.72,2.14
3/1/95,5.98,117.11,1.39
6/1/95,6,118.42,1.31
9/1/95,5.8,120.76,2.34
12/1/95,5.6,121.48,0.72
3/1/96,5.31,123.45,1.97
6/1/96,5.27,124.58,1.13
9/1/96,5.3,125.77,1.19
12/1/96,5.29,126.23,0.46
3/1/97,5.39,127.48,1.25
6/1/97,5.56,128.93,1.45
9/1/97,5.54,130.07,1.14
12/1/97,5.5,131.49,1.42
3/1/98,5.49,132.99,1.5
6/1/98,5.56,135.01,2.02
9/1/98,5.51,136.98,1.97
12/1/98,4.68,138.68,1.7
3/1/99,4.81,140.88,2.2
6/1/99,4.76,142.72,1.84
9/1/99,5.22,145.17,2.45
12/1/99,5.3,147.04,1.87
3/1/00,5.85,149.49,2.45
6/1/00,6.53,151.34,1.85
9/1/00,6.52,152.93,1.59
12/1/00,6.4,155.6,2.67
3/1/01,5.31,157.92,2.32
6/1/01,3.97,160.44,2.52
9/1/01,3.07,162.63,2.19
12/1/01,1.82,165.74,3.11
3/1/02,1.73,166.82,1.08
6/1/02,1.75,169.66,2.84
9/1/02,1.75,172.33,2.67
12/1/02,1.24,176.41,4.08
3/1/03,1.25,179.87,3.46
6/1/03,1.22,182.73,2.86
9/1/03,1.01,186.57,3.84
12/1/03,0.98,192.88,6.31
3/1/04,1,199.08,6.2
6/1/04,1.03,205.6,6.52
9/1/04,1.61,215.95,10.35
12/1/04,2.16,228.77,12.82
3/1/05,2.63,244.75,15.98
6/1/05,3.04,267.83,23.08
9/1/05,3.62,288.9,21.07
12/1/05,4.16,303.79,14.89
3/1/06,4.59,315.06,11.27
6/1/06,4.99,318.73,3.67
9/1/06,5.25,314.26,-4.47
12/1/06,5.24,320.68,6.42
3/1/07,5.26,318.32,-2.36
6/1/07,5.25,313.7,-4.62
9/1/07,4.94,306.56,-7.14
12/1/07,4.24,291.09,-15.47
3/1/08,2.61,277.26,-13.83
6/1/08,2,261.66,-15.6
9/1/08,1.81,242.22,-19.44
12/1/08,0.16,226.26,-15.96
3/1/09,0.18,215.49,-10.77
6/1/09,0.21,202.31,-13.18
9/1/09,0.15,200.04,-2.27
12/1/09,0.12,196.52,-3.52
3/1/10,0.16,191.5,-5.02
6/1/10,0.18,186.93,-4.57
9/1/10,0.19,179.93,-7
12/1/10,0.18,172.55,-7.38
3/1/11,0.14,167.57,-4.98
6/1/11,0.09,161.75,-5.82
9/1/11,0.08,162.85,1.1
12/1/11,0.07,167.83,4.98
3/1/12,0.13,173.19,5.36
6/1/12,0.16,183.5,10.31
9/1/12,0.14,193.45,9.95
12/1/12,0.16,198.65,5.2
3/1/13,0.14,206.35,7.7
6/1/13,0.09,216.53,10.18
9/1/13,0.08,220.71,4.18
12/1/13,0.09,228.1,7.39
3/1/14,0.08,230.58,2.48
6/1/14,0.1,232.11,1.53
9/1/14,0.09,234.42,2.31
12/1/14,0.12,237.5,3.08
3/1/15,0.11,243.21,5.71
6/1/15,0.13,246.21,3
9/1/15,0.14,252.55,6.34
12/1/15,0.24,256.89,4.34
3/1/16,0.36,261.06,4.17
6/1/16,0.38,266.48,5.42
9/1/16,0.4,267.87,1.39
12/1/16,0.54,275.87,8
3/1/17,0.79,280.26,4.39
6/1/17,1.04,287.28,7.02
9/1/17,1.15,293.55,6.27
12/1/17,1.3,297.98,4.43
3/1/18,1.51,307.29,9.31
6/1/18,1.82,310.2,2.91
9/1/18,1.95,316.15,5.95
12/1/18,2.27,323.43,7.28
3/1/19,2.41,327.09,3.66
6/1/19,2.38,333.39,6.3
9/1/19,2.04,340.1,6.71
12/1/19,1.55,346.94,6.84
3/1/20,0.65,356.04,9.1
6/1/20,0.08,363.84,7.8
