date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,99.16,-0.84
9/1/91,5.45,98.77,-0.39
12/1/91,4.43,99.11,0.34
3/1/92,3.98,99.03,-0.08
6/1/92,3.76,97.5,-1.53
9/1/92,3.22,96.94,-0.56
12/1/92,2.92,95.49,-1.45
3/1/93,3.07,93.64,-1.85
6/1/93,3.04,92.51,-1.13
9/1/93,3.09,90.76,-1.75
12/1/93,2.96,89.91,-0.85
3/1/94,3.34,88.83,-1.08
6/1/94,4.25,88.08,-0.75
9/1/94,4.73,87.48,-0.6
12/1/94,5.45,86.68,-0.8
3/1/95,5.98,86.16,-0.52
6/1/95,6,85.55,-0.61
9/1/95,5.8,85.5,-0.05
12/1/95,5.6,85.05,-0.45
3/1/96,5.31,85,-0.05
6/1/96,5.27,84.41,-0.59
9/1/96,5.3,84.56,0.15
12/1/96,5.29,85.09,0.53
3/1/97,5.39,84.62,-0.47
6/1/97,5.56,86.22,1.6
9/1/97,5.54,87.31,1.09
12/1/97,5.5,88.83,1.52
3/1/98,5.49,90.86,2.03
6/1/98,5.56,93.51,2.65
9/1/98,5.51,95.59,2.08
12/1/98,4.68,97.91,2.32
3/1/99,4.81,100.41,2.5
6/1/99,4.76,102.76,2.35
9/1/99,5.22,105.13,2.37
12/1/99,5.3,108.09,2.96
3/1/00,5.85,111.52,3.43
6/1/00,6.53,114.9,3.38
9/1/00,6.52,118.68,3.78
12/1/00,6.4,123.47,4.79
3/1/01,5.31,127.78,4.31
6/1/01,3.97,131.2,3.42
9/1/01,3.07,133.99,2.79
12/1/01,1.82,137.67,3.68
3/1/02,1.73,142.22,4.55
6/1/02,1.75,148.41,6.19
9/1/02,1.75,155.21,6.8
12/1/02,1.24,161.34,6.13
3/1/03,1.25,167.46,6.12
6/1/03,1.22,173.43,5.97
9/1/03,1.01,180.45,7.02
12/1/03,0.98,191.22,10.77
3/1/04,1,201.16,9.94
6/1/04,1.03,213.64,12.48
9/1/04,1.61,227.75,14.11
12/1/04,2.16,239.71,11.96
3/1/05,2.63,252.23,12.52
6/1/05,3.04,265.04,12.81
9/1/05,3.62,277.07,12.03
12/1/05,4.16,283.76,6.69
3/1/06,4.59,286.81,3.05
6/1/06,4.99,284.71,-2.1
9/1/06,5.25,279.03,-5.68
12/1/06,5.24,273.83,-5.2
3/1/07,5.26,272.97,-0.86
6/1/07,5.25,266.7,-6.27
9/1/07,4.94,251.98,-14.72
12/1/07,4.24,233.95,-18.03
3/1/08,2.61,213.92,-20.03
6/1/08,2,194.01,-19.91
9/1/08,1.81,181.08,-12.93
12/1/08,0.16,170.75,-10.33
3/1/09,0.18,164.46,-6.29
6/1/09,0.21,162.24,-2.22
9/1/09,0.15,165.07,2.83
12/1/09,0.12,167.46,2.39
3/1/10,0.16,167.07,-0.39
6/1/10,0.18,166.33,-0.74
9/1/10,0.19,162.84,-3.49
12/1/10,0.18,159.72,-3.12
3/1/11,0.14,155.89,-3.83
6/1/11,0.09,152.69,-3.2
9/1/11,0.08,152.18,-0.51
12/1/11,0.07,152.43,0.25
3/1/12,0.13,154.28,1.85
6/1/12,0.16,158.72,4.44
9/1/12,0.14,162.48,3.76
12/1/12,0.16,169.86,7.38
3/1/13,0.14,178.63,8.77
6/1/13,0.09,188.48,9.85
9/1/13,0.08,196.74,8.26
12/1/13,0.09,200.95,4.21
3/1/14,0.08,205.29,4.34
6/1/14,0.1,208.78,3.49
9/1/14,0.09,212.37,3.59
12/1/14,0.12,216.08,3.71
3/1/15,0.11,220.44,4.36
6/1/15,0.13,223.43,2.99
9/1/15,0.14,227.27,3.84
12/1/15,0.24,232.14,4.87
3/1/16,0.36,236.1,3.96
6/1/16,0.38,239.67,3.57
9/1/16,0.4,243.54,3.87
12/1/16,0.54,248.06,4.52
3/1/17,0.79,252.76,4.7
6/1/17,1.04,258.28,5.52
9/1/17,1.15,263.81,5.53
12/1/17,1.3,268.78,4.97
3/1/18,1.51,274.75,5.97
6/1/18,1.82,276.82,2.07
9/1/18,1.95,279.93,3.11
12/1/18,2.27,282.85,2.92
3/1/19,2.41,284.19,1.34
6/1/19,2.38,288.46,4.27
9/1/19,2.04,291.84,3.38
12/1/19,1.55,295.59,3.75
3/1/20,0.65,300.91,5.32
6/1/20,0.08,300.65,-0.26
