date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.1,0.1
9/1/91,5.45,101.15,1.05
12/1/91,4.43,102.96,1.81
3/1/92,3.98,105.44,2.48
6/1/92,3.76,107.85,2.41
9/1/92,3.22,109.74,1.89
12/1/92,2.92,113.54,3.8
3/1/93,3.07,115.66,2.12
6/1/93,3.04,119.34,3.68
9/1/93,3.09,123.61,4.27
12/1/93,2.96,127.88,4.27
3/1/94,3.34,131.9,4.02
6/1/94,4.25,135.6,3.7
9/1/94,4.73,138.24,2.64
12/1/94,5.45,140.14,1.9
3/1/95,5.98,141.88,1.74
6/1/95,6,143.7,1.82
9/1/95,5.8,146.13,2.43
12/1/95,5.6,148.26,2.13
3/1/96,5.31,150.14,1.88
6/1/96,5.27,152.05,1.91
9/1/96,5.3,153.43,1.38
12/1/96,5.29,156.13,2.7
3/1/97,5.39,157.39,1.26
6/1/97,5.56,159.4,2.01
9/1/97,5.54,161.2,1.8
12/1/97,5.5,163.61,2.41
3/1/98,5.49,166.15,2.54
6/1/98,5.56,168.67,2.52
9/1/98,5.51,171.65,2.98
12/1/98,4.68,175.81,4.16
3/1/99,4.81,179.74,3.93
6/1/99,4.76,184.62,4.88
9/1/99,5.22,190.51,5.89
12/1/99,5.3,194.62,4.11
3/1/00,5.85,200.12,5.5
6/1/00,6.53,205.31,5.19
9/1/00,6.52,211.26,5.95
12/1/00,6.4,217.02,5.76
3/1/01,5.31,223.44,6.42
6/1/01,3.97,226.75,3.31
9/1/01,3.07,228.38,1.63
12/1/01,1.82,230.3,1.92
3/1/02,1.73,233.88,3.58
6/1/02,1.75,234.72,0.84
9/1/02,1.75,237.26,2.54
12/1/02,1.24,239.47,2.21
3/1/03,1.25,240.52,1.05
6/1/03,1.22,240.73,0.21
9/1/03,1.01,242.38,1.65
12/1/03,0.98,244.15,1.77
3/1/04,1,246.37,2.22
6/1/04,1.03,250.51,4.14
9/1/04,1.61,253.16,2.65
12/1/04,2.16,254.57,1.41
3/1/05,2.63,259.24,4.67
6/1/05,3.04,261.19,1.95
9/1/05,3.62,264.97,3.78
12/1/05,4.16,269.7,4.73
3/1/06,4.59,271.31,1.61
6/1/06,4.99,271.96,0.65
9/1/06,5.25,272.76,0.8
12/1/06,5.24,276.05,3.29
3/1/07,5.26,275.69,-0.36
6/1/07,5.25,275.66,-0.03
9/1/07,4.94,274.63,-1.03
12/1/07,4.24,270.58,-4.05
3/1/08,2.61,266.81,-3.77
6/1/08,2,265.97,-0.84
9/1/08,1.81,261.85,-4.12
12/1/08,0.16,256.29,-5.56
3/1/09,0.18,261.83,5.54
6/1/09,0.21,261.76,-0.07
9/1/09,0.15,262.6,0.84
12/1/09,0.12,262.11,-0.49
3/1/10,0.16,263.04,0.93
6/1/10,0.18,259.08,-3.96
9/1/10,0.19,254.58,-4.5
12/1/10,0.18,256.84,2.26
3/1/11,0.14,251.37,-5.47
6/1/11,0.09,248.34,-3.03
9/1/11,0.08,251.83,3.49
12/1/11,0.07,250.9,-0.93
3/1/12,0.13,252.38,1.48
6/1/12,0.16,261.76,9.38
9/1/12,0.14,267.56,5.8
12/1/12,0.16,273.43,5.87
3/1/13,0.14,277.72,4.29
6/1/13,0.09,286.24,8.52
9/1/13,0.08,291.53,5.29
12/1/13,0.09,296.84,5.31
3/1/14,0.08,302.45,5.61
6/1/14,0.1,306.75,4.3
9/1/14,0.09,313,6.25
12/1/14,0.12,323,10
3/1/15,0.11,336.15,13.15
6/1/15,0.13,341.89,5.74
9/1/15,0.14,352.31,10.42
12/1/15,0.24,358.18,5.87
3/1/16,0.36,367.55,9.37
6/1/16,0.38,376.25,8.7
9/1/16,0.4,387.27,11.02
12/1/16,0.54,397.08,9.81
3/1/17,0.79,404.5,7.42
6/1/17,1.04,414.4,9.9
9/1/17,1.15,421.72,7.32
12/1/17,1.3,434.21,12.49
3/1/18,1.51,446.98,12.77
6/1/18,1.82,452.29,5.31
9/1/18,1.95,459.6,7.31
12/1/18,2.27,463.6,4
3/1/19,2.41,468.44,4.84
6/1/19,2.38,477.91,9.47
9/1/19,2.04,483.95,6.04
12/1/19,1.55,492.52,8.57
3/1/20,0.65,501.54,9.02
6/1/20,0.08,499.09,-2.45
