date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,97.98,-2.02
9/1/91,5.45,96.26,-1.72
12/1/91,4.43,95.82,-0.44
3/1/92,3.98,97.41,1.59
6/1/92,3.76,95.4,-2.01
9/1/92,3.22,94.3,-1.1
12/1/92,2.92,95.29,0.99
3/1/93,3.07,92.59,-2.7
6/1/93,3.04,91.65,-0.94
9/1/93,3.09,91.42,-0.23
12/1/93,2.96,91.29,-0.13
3/1/94,3.34,91.46,0.17
6/1/94,4.25,91.77,0.31
9/1/94,4.73,91.67,-0.1
12/1/94,5.45,91.37,-0.3
3/1/95,5.98,90.82,-0.55
6/1/95,6,90.42,-0.4
9/1/95,5.8,90.8,0.38
12/1/95,5.6,90.76,-0.04
3/1/96,5.31,91.1,0.34
6/1/96,5.27,91.4,0.3
9/1/96,5.3,90.74,-0.66
12/1/96,5.29,90.59,-0.15
3/1/97,5.39,91.15,0.56
6/1/97,5.56,91.91,0.76
9/1/97,5.54,92.4,0.49
12/1/97,5.5,93.23,0.83
3/1/98,5.49,94,0.77
6/1/98,5.56,95.52,1.52
9/1/98,5.51,97.36,1.84
12/1/98,4.68,99.44,2.08
3/1/99,4.81,101.77,2.33
6/1/99,4.76,103.64,1.87
9/1/99,5.22,105.67,2.03
12/1/99,5.3,107.93,2.26
3/1/00,5.85,110.61,2.68
6/1/00,6.53,113.5,2.89
9/1/00,6.52,115.01,1.51
12/1/00,6.4,117.67,2.66
3/1/01,5.31,120.66,2.99
6/1/01,3.97,123.59,2.93
9/1/01,3.07,127.16,3.57
12/1/01,1.82,129.87,2.71
3/1/02,1.73,132.95,3.08
6/1/02,1.75,137.14,4.19
9/1/02,1.75,141.09,3.95
12/1/02,1.24,145.85,4.76
3/1/03,1.25,149.57,3.72
6/1/03,1.22,151.9,2.33
9/1/03,1.01,155.78,3.88
12/1/03,0.98,159.66,3.88
3/1/04,1,163.45,3.79
6/1/04,1.03,168.73,5.28
9/1/04,1.61,174.43,5.7
12/1/04,2.16,178.53,4.1
3/1/05,2.63,183.06,4.53
6/1/05,3.04,187.03,3.97
9/1/05,3.62,190.56,3.53
12/1/05,4.16,194.13,3.57
3/1/06,4.59,196.65,2.52
6/1/06,4.99,196.88,0.23
9/1/06,5.25,194.2,-2.68
12/1/06,5.24,194.71,0.51
3/1/07,5.26,197.49,2.78
6/1/07,5.25,195.74,-1.75
9/1/07,4.94,195.73,-0.01
12/1/07,4.24,193.35,-2.38
3/1/08,2.61,189.86,-3.49
6/1/08,2,186.67,-3.19
9/1/08,1.81,182.84,-3.83
12/1/08,0.16,179.96,-2.88
3/1/09,0.18,178.08,-1.88
6/1/09,0.21,174.35,-3.73
9/1/09,0.15,173.35,-1
12/1/09,0.12,172.1,-1.25
3/1/10,0.16,170.23,-1.87
6/1/10,0.18,169.56,-0.67
9/1/10,0.19,167.32,-2.24
12/1/10,0.18,165.81,-1.51
3/1/11,0.14,164.62,-1.19
6/1/11,0.09,164.42,-0.2
9/1/11,0.08,161.57,-2.85
12/1/11,0.07,160.93,-0.64
3/1/12,0.13,159.47,-1.46
6/1/12,0.16,158.87,-0.6
9/1/12,0.14,159.84,0.97
12/1/12,0.16,160.17,0.33
3/1/13,0.14,159.85,-0.32
6/1/13,0.09,161.22,1.37
9/1/13,0.08,161.89,0.67
12/1/13,0.09,161.43,-0.46
3/1/14,0.08,163.08,1.65
6/1/14,0.1,161,-2.08
9/1/14,0.09,161.8,0.8
12/1/14,0.12,161.25,-0.55
3/1/15,0.11,162.56,1.31
6/1/15,0.13,163.45,0.89
9/1/15,0.14,163.04,-0.41
12/1/15,0.24,163.66,0.62
3/1/16,0.36,163.62,-0.04
6/1/16,0.38,164.25,0.63
9/1/16,0.4,164.13,-0.12
12/1/16,0.54,165.63,1.5
3/1/17,0.79,165.91,0.28
6/1/17,1.04,167.36,1.45
9/1/17,1.15,169.47,2.11
12/1/17,1.3,170.7,1.23
3/1/18,1.51,171.71,1.01
6/1/18,1.82,171.08,-0.63
9/1/18,1.95,172.72,1.64
12/1/18,2.27,173.92,1.2
3/1/19,2.41,174.89,0.97
6/1/19,2.38,176.42,1.53
9/1/19,2.04,176.48,0.06
12/1/19,1.55,177.35,0.87
3/1/20,0.65,180.67,3.32
6/1/20,0.08,181.37,0.7
