date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,99.34,-0.66
9/1/91,5.45,96.4,-2.94
12/1/91,4.43,98.71,2.31
3/1/92,3.98,99.52,0.81
6/1/92,3.76,98.92,-0.6
9/1/92,3.22,99.3,0.38
12/1/92,2.92,98.46,-0.84
3/1/93,3.07,93.16,-5.3
6/1/93,3.04,96.8,3.64
9/1/93,3.09,96.3,-0.5
12/1/93,2.96,90.9,-5.4
3/1/94,3.34,95.39,4.49
6/1/94,4.25,96.23,0.84
9/1/94,4.73,97.43,1.2
12/1/94,5.45,92.04,-5.39
3/1/95,5.98,91.67,-0.37
6/1/95,6,88.32,-3.35
9/1/95,5.8,90.2,1.88
12/1/95,5.6,94.31,4.11
3/1/96,5.31,92.9,-1.41
6/1/96,5.27,93.56,0.66
9/1/96,5.3,92.32,-1.24
12/1/96,5.29,97,4.68
3/1/97,5.39,88.81,-8.19
6/1/97,5.56,95.05,6.24
9/1/97,5.54,90.46,-4.59
12/1/97,5.5,94.22,3.76
3/1/98,5.49,96.53,2.31
6/1/98,5.56,98.97,2.44
9/1/98,5.51,103.61,4.64
12/1/98,4.68,106.98,3.37
3/1/99,4.81,107.51,0.53
6/1/99,4.76,109.12,1.61
9/1/99,5.22,115.29,6.17
12/1/99,5.3,116.95,1.66
3/1/00,5.85,125.52,8.57
6/1/00,6.53,126.97,1.45
9/1/00,6.52,130.5,3.53
12/1/00,6.4,131.68,1.18
3/1/01,5.31,140.21,8.53
6/1/01,3.97,145.14,4.93
9/1/01,3.07,152.85,7.71
12/1/01,1.82,158.54,5.69
3/1/02,1.73,166.7,8.16
6/1/02,1.75,175.49,8.79
9/1/02,1.75,179.95,4.46
12/1/02,1.24,189.89,9.94
3/1/03,1.25,186.93,-2.96
6/1/03,1.22,203.22,16.29
9/1/03,1.01,211.99,8.77
12/1/03,0.98,216.3,4.31
3/1/04,1,239.26,22.96
6/1/04,1.03,245.68,6.42
9/1/04,1.61,248.84,3.16
12/1/04,2.16,273.24,24.4
3/1/05,2.63,280.9,7.66
6/1/05,3.04,309.35,28.45
9/1/05,3.62,322.05,12.7
12/1/05,4.16,319.07,-2.98
3/1/06,4.59,320.19,1.12
6/1/06,4.99,320,-0.19
9/1/06,5.25,327.96,7.96
12/1/06,5.24,332.32,4.36
3/1/07,5.26,335.11,2.79
6/1/07,5.25,338.26,3.15
9/1/07,4.94,336.93,-1.33
12/1/07,4.24,328.6,-8.33
3/1/08,2.61,331.04,2.44
6/1/08,2,317.39,-13.65
9/1/08,1.81,318.83,1.44
12/1/08,0.16,312.43,-6.4
3/1/09,0.18,301.45,-10.98
6/1/09,0.21,307.71,6.26
9/1/09,0.15,306.27,-1.44
12/1/09,0.12,318.1,11.83
3/1/10,0.16,322.24,4.14
6/1/10,0.18,308.04,-14.2
9/1/10,0.19,321.85,13.81
12/1/10,0.18,317.57,-4.28
3/1/11,0.14,311.17,-6.4
6/1/11,0.09,330.7,19.53
9/1/11,0.08,321.09,-9.61
12/1/11,0.07,332.87,11.78
3/1/12,0.13,339.76,6.89
6/1/12,0.16,343.15,3.39
9/1/12,0.14,357.71,14.56
12/1/12,0.16,360.34,2.63
3/1/13,0.14,381.53,21.19
6/1/13,0.09,388.74,7.21
9/1/13,0.08,409.57,20.83
12/1/13,0.09,395.07,-14.5
3/1/14,0.08,428.46,33.39
6/1/14,0.1,418.88,-9.58
9/1/14,0.09,412.28,-6.6
12/1/14,0.12,430.44,18.16
3/1/15,0.11,431.08,0.64
6/1/15,0.13,448.85,17.77
9/1/15,0.14,471.99,23.14
12/1/15,0.24,456.88,-15.11
3/1/16,0.36,439.88,-17
6/1/16,0.38,482.64,42.76
9/1/16,0.4,468.58,-14.06
12/1/16,0.54,482.14,13.56
3/1/17,0.79,496.86,14.72
6/1/17,1.04,502.59,5.73
9/1/17,1.15,514.4,11.81
12/1/17,1.3,518.92,4.52
3/1/18,1.51,534.53,15.61
6/1/18,1.82,556.98,22.45
9/1/18,1.95,526.5,-30.48
12/1/18,2.27,556.8,30.3
3/1/19,2.41,561.1,4.3
6/1/19,2.38,557.69,-3.41
9/1/19,2.04,563.12,5.43
12/1/19,1.55,584.77,21.65
3/1/20,0.65,583.06,-1.71
6/1/20,0.08,565.72,-17.34
