date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,99.73,-0.27
9/1/91,5.45,99.63,-0.1
12/1/91,4.43,100.28,0.65
3/1/92,3.98,100.65,0.37
6/1/92,3.76,99.7,-0.95
9/1/92,3.22,99.12,-0.58
12/1/92,2.92,100.3,1.18
3/1/93,3.07,99.06,-1.24
6/1/93,3.04,99.46,0.4
9/1/93,3.09,98.79,-0.67
12/1/93,2.96,98.13,-0.66
3/1/94,3.34,96.99,-1.14
6/1/94,4.25,99.87,2.88
9/1/94,4.73,99.36,-0.51
12/1/94,5.45,99.66,0.3
3/1/95,5.98,99.99,0.33
6/1/95,6,99.44,-0.55
9/1/95,5.8,99.32,-0.12
12/1/95,5.6,99.28,-0.04
3/1/96,5.31,99.6,0.32
6/1/96,5.27,99.65,0.05
9/1/96,5.3,100.28,0.63
12/1/96,5.29,100.32,0.04
3/1/97,5.39,100.25,-0.07
6/1/97,5.56,100.84,0.59
9/1/97,5.54,101.84,1
12/1/97,5.5,100.99,-0.85
3/1/98,5.49,102.83,1.84
6/1/98,5.56,103.54,0.71
9/1/98,5.51,105.5,1.96
12/1/98,4.68,105.84,0.34
3/1/99,4.81,107.94,2.1
6/1/99,4.76,109.72,1.78
9/1/99,5.22,111.1,1.38
12/1/99,5.3,112.67,1.57
3/1/00,5.85,114.34,1.67
6/1/00,6.53,116.27,1.93
9/1/00,6.52,118.16,1.89
12/1/00,6.4,121.4,3.24
3/1/01,5.31,123.83,2.43
6/1/01,3.97,125.8,1.97
9/1/01,3.07,127.62,1.82
12/1/01,1.82,131.34,3.72
3/1/02,1.73,133.31,1.97
6/1/02,1.75,137.43,4.12
9/1/02,1.75,141.71,4.28
12/1/02,1.24,144.64,2.93
3/1/03,1.25,147.74,3.1
6/1/03,1.22,151.7,3.96
9/1/03,1.01,154.73,3.03
12/1/03,0.98,159.96,5.23
3/1/04,1,165.57,5.61
6/1/04,1.03,169.97,4.4
9/1/04,1.61,179.32,9.35
12/1/04,2.16,183.96,4.64
3/1/05,2.63,189.28,5.32
6/1/05,3.04,197.09,7.81
9/1/05,3.62,201.74,4.65
12/1/05,4.16,208.39,6.65
3/1/06,4.59,214.62,6.23
6/1/06,4.99,214.7,0.08
9/1/06,5.25,218.05,3.35
12/1/06,5.24,221.77,3.72
3/1/07,5.26,217.6,-4.17
6/1/07,5.25,219.2,1.6
9/1/07,4.94,221.03,1.83
12/1/07,4.24,215.67,-5.36
3/1/08,2.61,212.65,-3.02
6/1/08,2,207.84,-4.81
9/1/08,1.81,203.49,-4.35
12/1/08,0.16,197.68,-5.81
3/1/09,0.18,200.23,2.55
6/1/09,0.21,203.81,3.58
9/1/09,0.15,192.46,-11.35
12/1/09,0.12,189.66,-2.8
3/1/10,0.16,189.4,-0.26
6/1/10,0.18,185.97,-3.43
9/1/10,0.19,184.65,-1.32
12/1/10,0.18,187.12,2.47
3/1/11,0.14,180.93,-6.19
6/1/11,0.09,173.15,-7.78
9/1/11,0.08,170.47,-2.68
12/1/11,0.07,175.81,5.34
3/1/12,0.13,169.93,-5.88
6/1/12,0.16,172.77,2.84
9/1/12,0.14,175.72,2.95
12/1/12,0.16,176.26,0.54
3/1/13,0.14,178.74,2.48
6/1/13,0.09,180.12,1.38
9/1/13,0.08,182.25,2.13
12/1/13,0.09,180.66,-1.59
3/1/14,0.08,178.94,-1.72
6/1/14,0.1,182.74,3.8
9/1/14,0.09,180.75,-1.99
12/1/14,0.12,178.86,-1.89
3/1/15,0.11,185.71,6.85
6/1/15,0.13,184.28,-1.43
9/1/15,0.14,186.66,2.38
12/1/15,0.24,188.22,1.56
3/1/16,0.36,190.61,2.39
6/1/16,0.38,192.29,1.68
9/1/16,0.4,191.76,-0.53
12/1/16,0.54,192.75,0.99
3/1/17,0.79,192.39,-0.36
6/1/17,1.04,193.19,0.8
9/1/17,1.15,195.83,2.64
12/1/17,1.3,197.39,1.56
3/1/18,1.51,205.85,8.46
6/1/18,1.82,206.17,0.32
9/1/18,1.95,206.05,-0.12
12/1/18,2.27,203.75,-2.3
3/1/19,2.41,205.22,1.47
6/1/19,2.38,210.18,4.96
9/1/19,2.04,214.37,4.19
12/1/19,1.55,219.98,5.61
3/1/20,0.65,221.28,1.3
6/1/20,0.08,221.99,0.71
