date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.27,0.27
9/1/91,5.45,99.91,-0.36
12/1/91,4.43,100.4,0.49
3/1/92,3.98,101.22,0.82
6/1/92,3.76,100.8,-0.42
9/1/92,3.22,101.88,1.08
12/1/92,2.92,102.26,0.38
3/1/93,3.07,102.51,0.25
6/1/93,3.04,103.68,1.17
9/1/93,3.09,104.1,0.42
12/1/93,2.96,105.13,1.03
3/1/94,3.34,105.86,0.73
6/1/94,4.25,106.33,0.47
9/1/94,4.73,107.42,1.09
12/1/94,5.45,108.16,0.74
3/1/95,5.98,108.66,0.5
6/1/95,6,108.9,0.24
9/1/95,5.8,110.06,1.16
12/1/95,5.6,110.32,0.26
3/1/96,5.31,110.81,0.49
6/1/96,5.27,111.79,0.98
9/1/96,5.3,112.32,0.53
12/1/96,5.29,112.47,0.15
3/1/97,5.39,113.61,1.14
6/1/97,5.56,114.07,0.46
9/1/97,5.54,114.56,0.49
12/1/97,5.5,115.88,1.32
3/1/98,5.49,117.48,1.6
6/1/98,5.56,118.75,1.27
9/1/98,5.51,120.01,1.26
12/1/98,4.68,121.31,1.3
3/1/99,4.81,122.96,1.65
6/1/99,4.76,124.99,2.03
9/1/99,5.22,126.63,1.64
12/1/99,5.3,128.8,2.17
3/1/00,5.85,131.3,2.5
6/1/00,6.53,133.58,2.28
9/1/00,6.52,136.43,2.85
12/1/00,6.4,139.73,3.3
3/1/01,5.31,143.17,3.44
6/1/01,3.97,147,3.83
9/1/01,3.07,151.18,4.18
12/1/01,1.82,155.23,4.05
3/1/02,1.73,159.1,3.87
6/1/02,1.75,163.97,4.87
9/1/02,1.75,168.44,4.47
12/1/02,1.24,173.58,5.14
3/1/03,1.25,179.32,5.74
6/1/03,1.22,184.37,5.05
9/1/03,1.01,190.2,5.83
12/1/03,0.98,197.61,7.41
3/1/04,1,205.62,8.01
6/1/04,1.03,215.7,10.08
9/1/04,1.61,227.34,11.64
12/1/04,2.16,239.12,11.78
3/1/05,2.63,254.62,15.5
6/1/05,3.04,271.41,16.79
9/1/05,3.62,288.77,17.36
12/1/05,4.16,300.72,11.95
3/1/06,4.59,308.27,7.55
6/1/06,4.99,311.26,2.99
9/1/06,5.25,310.64,-0.62
12/1/06,5.24,310.25,-0.39
3/1/07,5.26,307.97,-2.28
6/1/07,5.25,303.63,-4.34
9/1/07,4.94,289.23,-14.4
12/1/07,4.24,277.1,-12.13
3/1/08,2.61,257.3,-19.8
6/1/08,2,236.4,-20.9
9/1/08,1.81,217.85,-18.55
12/1/08,0.16,203.85,-14
3/1/09,0.18,194.72,-9.13
6/1/09,0.21,189.31,-5.41
9/1/09,0.15,186.41,-2.9
12/1/09,0.12,185.48,-0.93
3/1/10,0.16,183.51,-1.97
6/1/10,0.18,180.5,-3.01
9/1/10,0.19,176.21,-4.29
12/1/10,0.18,173.24,-2.97
3/1/11,0.14,166.1,-7.14
6/1/11,0.09,166.47,0.37
9/1/11,0.08,168.85,2.38
12/1/11,0.07,169.92,1.07
3/1/12,0.13,173.15,3.23
6/1/12,0.16,177.65,4.5
9/1/12,0.14,181.17,3.52
12/1/12,0.16,184.59,3.42
3/1/13,0.14,190.78,6.19
6/1/13,0.09,196.9,6.12
9/1/13,0.08,202.45,5.55
12/1/13,0.09,207.43,4.98
3/1/14,0.08,210.01,2.58
6/1/14,0.1,213.48,3.47
9/1/14,0.09,217.3,3.82
12/1/14,0.12,222.7,5.4
3/1/15,0.11,228,5.3
6/1/15,0.13,232.77,4.77
9/1/15,0.14,238.09,5.32
12/1/15,0.24,243.96,5.87
3/1/16,0.36,249.26,5.3
6/1/16,0.38,254.85,5.59
9/1/16,0.4,261.95,7.1
12/1/16,0.54,267.34,5.39
3/1/17,0.79,272.91,5.57
6/1/17,1.04,278.02,5.11
9/1/17,1.15,283.12,5.1
12/1/17,1.3,289.59,6.47
3/1/18,1.51,295.68,6.09
6/1/18,1.82,301.71,6.03
9/1/18,1.95,307.13,5.42
12/1/18,2.27,310.42,3.29
3/1/19,2.41,315.03,4.61
6/1/19,2.38,319.37,4.34
9/1/19,2.04,323.73,4.36
12/1/19,1.55,330.38,6.65
3/1/20,0.65,337.73,7.35
6/1/20,0.08,341.22,3.49
