date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,99.74,-0.26
9/1/91,5.45,99.84,0.1
12/1/91,4.43,100.69,0.85
3/1/92,3.98,101.8,1.11
6/1/92,3.76,100.75,-1.05
9/1/92,3.22,102.83,2.08
12/1/92,2.92,102.77,-0.06
3/1/93,3.07,103.38,0.61
6/1/93,3.04,104.3,0.92
9/1/93,3.09,104.83,0.53
12/1/93,2.96,105.74,0.91
3/1/94,3.34,106.54,0.8
6/1/94,4.25,107.83,1.29
9/1/94,4.73,108.94,1.11
12/1/94,5.45,109.87,0.93
3/1/95,5.98,110.81,0.94
6/1/95,6,111.89,1.08
9/1/95,5.8,113.36,1.47
12/1/95,5.6,114.8,1.44
3/1/96,5.31,116.34,1.54
6/1/96,5.27,117.3,0.96
9/1/96,5.3,118.43,1.13
12/1/96,5.29,118.85,0.42
3/1/97,5.39,120.9,2.05
6/1/97,5.56,121.9,1
9/1/97,5.54,123.29,1.39
12/1/97,5.5,124.87,1.58
3/1/98,5.49,126.71,1.84
6/1/98,5.56,128.74,2.03
9/1/98,5.51,130.78,2.04
12/1/98,4.68,132.96,2.18
3/1/99,4.81,135.51,2.55
6/1/99,4.76,137.62,2.11
9/1/99,5.22,140.39,2.77
12/1/99,5.3,142.54,2.15
3/1/00,5.85,144.7,2.16
6/1/00,6.53,147.5,2.8
9/1/00,6.52,149.23,1.73
12/1/00,6.4,151.68,2.45
3/1/01,5.31,153.62,1.94
6/1/01,3.97,155.75,2.13
9/1/01,3.07,157.24,1.49
12/1/01,1.82,158.92,1.68
3/1/02,1.73,161.38,2.46
6/1/02,1.75,161.84,0.46
9/1/02,1.75,163.85,2.01
12/1/02,1.24,166.13,2.28
3/1/03,1.25,168.08,1.95
6/1/03,1.22,168.59,0.51
9/1/03,1.01,170.16,1.57
12/1/03,0.98,170.99,0.83
3/1/04,1,172.63,1.64
6/1/04,1.03,174.53,1.9
9/1/04,1.61,176.76,2.23
12/1/04,2.16,178.93,2.17
3/1/05,2.63,181.45,2.52
6/1/05,3.04,184.3,2.85
9/1/05,3.62,187.2,2.9
12/1/05,4.16,191.08,3.88
3/1/06,4.59,193.63,2.55
6/1/06,4.99,195.19,1.56
9/1/06,5.25,196,0.81
12/1/06,5.24,199.4,3.4
3/1/07,5.26,200.37,0.97
6/1/07,5.25,201.55,1.18
9/1/07,4.94,198.55,-3
12/1/07,4.24,197.01,-1.54
3/1/08,2.61,193.46,-3.55
6/1/08,2,189.15,-4.31
9/1/08,1.81,183.97,-5.18
12/1/08,0.16,174.73,-9.24
3/1/09,0.18,177.21,2.48
6/1/09,0.21,171.87,-5.34
9/1/09,0.15,173.64,1.77
12/1/09,0.12,168.81,-4.83
3/1/10,0.16,164.33,-4.48
6/1/10,0.18,165.67,1.34
9/1/10,0.19,157.69,-7.98
12/1/10,0.18,152.85,-4.84
3/1/11,0.14,151.58,-1.27
6/1/11,0.09,146.99,-4.59
9/1/11,0.08,147.1,0.11
12/1/11,0.07,148.89,1.79
3/1/12,0.13,147.52,-1.37
6/1/12,0.16,151.55,4.03
9/1/12,0.14,155.14,3.59
12/1/12,0.16,158.43,3.29
3/1/13,0.14,162.4,3.97
6/1/13,0.09,166.85,4.45
9/1/13,0.08,169.94,3.09
12/1/13,0.09,172.86,2.92
3/1/14,0.08,178.99,6.13
6/1/14,0.1,178.01,-0.98
9/1/14,0.09,180.16,2.15
12/1/14,0.12,184.97,4.81
3/1/15,0.11,187.77,2.8
6/1/15,0.13,190.93,3.16
9/1/15,0.14,194.21,3.28
12/1/15,0.24,196.82,2.61
3/1/16,0.36,199.86,3.04
6/1/16,0.38,203.64,3.78
9/1/16,0.4,207.05,3.41
12/1/16,0.54,210.94,3.89
3/1/17,0.79,214.01,3.07
6/1/17,1.04,218.35,4.34
9/1/17,1.15,221.43,3.08
12/1/17,1.3,225.24,3.81
3/1/18,1.51,230.52,5.28
6/1/18,1.82,234.96,4.44
9/1/18,1.95,240.19,5.23
12/1/18,2.27,243.3,3.11
3/1/19,2.41,247.24,3.94
6/1/19,2.38,252.02,4.78
9/1/19,2.04,253.12,1.1
12/1/19,1.55,260.2,7.08
3/1/20,0.65,264.84,4.64
6/1/20,0.08,267.44,2.6
