date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,97.51,-2.49
9/1/91,5.45,99.43,1.92
12/1/91,4.43,98.5,-0.93
3/1/92,3.98,102.98,4.48
6/1/92,3.76,97.41,-5.57
9/1/92,3.22,101.79,4.38
12/1/92,2.92,102.02,0.23
3/1/93,3.07,101.66,-0.36
6/1/93,3.04,102.84,1.18
9/1/93,3.09,99.15,-3.69
12/1/93,2.96,100.41,1.26
3/1/94,3.34,98.78,-1.63
6/1/94,4.25,99.9,1.12
9/1/94,4.73,99.65,-0.25
12/1/94,5.45,97.83,-1.82
3/1/95,5.98,98.51,0.68
6/1/95,6,95.18,-3.33
9/1/95,5.8,94.56,-0.62
12/1/95,5.6,94.71,0.15
3/1/96,5.31,90.51,-4.2
6/1/96,5.27,93.07,2.56
9/1/96,5.3,89.46,-3.61
12/1/96,5.29,89.18,-0.28
3/1/97,5.39,83.11,-6.07
6/1/97,5.56,82.28,-0.83
9/1/97,5.54,83.21,0.93
12/1/97,5.5,82.12,-1.09
3/1/98,5.49,83.99,1.87
6/1/98,5.56,84.66,0.67
9/1/98,5.51,82.62,-2.04
12/1/98,4.68,82.68,0.06
3/1/99,4.81,84.61,1.93
6/1/99,4.76,81.92,-2.69
9/1/99,5.22,82.69,0.77
12/1/99,5.3,85.26,2.57
3/1/00,5.85,89.98,4.72
6/1/00,6.53,88.99,-0.99
9/1/00,6.52,89.43,0.44
12/1/00,6.4,92.35,2.92
3/1/01,5.31,95.62,3.27
6/1/01,3.97,97.85,2.23
9/1/01,3.07,99.28,1.43
12/1/01,1.82,101.03,1.75
3/1/02,1.73,102.16,1.13
6/1/02,1.75,107.62,5.46
9/1/02,1.75,110.91,3.29
12/1/02,1.24,113.47,2.56
3/1/03,1.25,117.45,3.98
6/1/03,1.22,119.16,1.71
9/1/03,1.01,128.66,9.5
12/1/03,0.98,137.57,8.91
3/1/04,1,141.46,3.89
6/1/04,1.03,152.11,10.65
9/1/04,1.61,164.56,12.45
12/1/04,2.16,168.71,4.15
3/1/05,2.63,178.78,10.07
6/1/05,3.04,192.69,13.91
9/1/05,3.62,202.62,9.93
12/1/05,4.16,203.88,1.26
3/1/06,4.59,214.2,10.32
6/1/06,4.99,211.65,-2.55
9/1/06,5.25,209.06,-2.59
12/1/06,5.24,213.33,4.27
3/1/07,5.26,215.46,2.13
6/1/07,5.25,214.07,-1.39
9/1/07,4.94,210.31,-3.76
12/1/07,4.24,206.74,-3.57
3/1/08,2.61,205.71,-1.03
6/1/08,2,204.53,-1.18
9/1/08,1.81,195.3,-9.23
12/1/08,0.16,200.11,4.81
3/1/09,0.18,192.06,-8.05
6/1/09,0.21,179.77,-12.29
9/1/09,0.15,182.59,2.82
12/1/09,0.12,178.94,-3.65
3/1/10,0.16,176.67,-2.27
6/1/10,0.18,177.16,0.49
9/1/10,0.19,172.12,-5.04
12/1/10,0.18,175.81,3.69
3/1/11,0.14,157.14,-18.67
6/1/11,0.09,167.13,9.99
9/1/11,0.08,171.23,4.1
12/1/11,0.07,165,-6.23
3/1/12,0.13,169.01,4.01
6/1/12,0.16,177.21,8.2
9/1/12,0.14,176.45,-0.76
12/1/12,0.16,182.16,5.71
3/1/13,0.14,188.37,6.21
6/1/13,0.09,192.01,3.64
9/1/13,0.08,193.86,1.85
12/1/13,0.09,195.66,1.8
3/1/14,0.08,204.39,8.73
6/1/14,0.1,199.61,-4.78
9/1/14,0.09,206.1,6.49
12/1/14,0.12,210.03,3.93
3/1/15,0.11,213.21,3.18
6/1/15,0.13,214.89,1.68
9/1/15,0.14,215.68,0.79
12/1/15,0.24,222.11,6.43
3/1/16,0.36,222.09,-0.02
6/1/16,0.38,220.7,-1.39
9/1/16,0.4,221.34,0.64
12/1/16,0.54,231.58,10.24
3/1/17,0.79,225.86,-5.72
6/1/17,1.04,239.94,14.08
9/1/17,1.15,248.37,8.43
12/1/17,1.3,247.97,-0.4
3/1/18,1.51,244.71,-3.26
6/1/18,1.82,249.88,5.17
9/1/18,1.95,253.33,3.45
12/1/18,2.27,256.34,3.01
3/1/19,2.41,257.42,1.08
6/1/19,2.38,258.74,1.32
9/1/19,2.04,265.77,7.03
12/1/19,1.55,268.2,2.43
3/1/20,0.65,278.87,10.67
6/1/20,0.08,278.26,-0.61
