date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.64,0.64
9/1/91,5.45,101.4,0.76
12/1/91,4.43,102.64,1.24
3/1/92,3.98,103.78,1.14
6/1/92,3.76,106.14,2.36
9/1/92,3.22,107.18,1.04
12/1/92,2.92,108.39,1.21
3/1/93,3.07,110.93,2.54
6/1/93,3.04,112.3,1.37
9/1/93,3.09,114.58,2.28
12/1/93,2.96,117.62,3.04
3/1/94,3.34,118.85,1.23
6/1/94,4.25,119.94,1.09
9/1/94,4.73,121.69,1.75
12/1/94,5.45,122.53,0.84
3/1/95,5.98,123.63,1.1
6/1/95,6,125.42,1.79
9/1/95,5.8,127.32,1.9
12/1/95,5.6,128.55,1.23
3/1/96,5.31,130.25,1.7
6/1/96,5.27,131.19,0.94
9/1/96,5.3,132.42,1.23
12/1/96,5.29,133.18,0.76
3/1/97,5.39,134.13,0.95
6/1/97,5.56,135.38,1.25
9/1/97,5.54,136.08,0.7
12/1/97,5.5,137.74,1.66
3/1/98,5.49,139.66,1.92
6/1/98,5.56,141.26,1.6
9/1/98,5.51,142.84,1.58
12/1/98,4.68,146.18,3.34
3/1/99,4.81,146.49,0.31
6/1/99,4.76,149.05,2.56
9/1/99,5.22,150.27,1.22
12/1/99,5.3,152.04,1.77
3/1/00,5.85,153.79,1.75
6/1/00,6.53,155.13,1.34
9/1/00,6.52,156.92,1.79
12/1/00,6.4,157.33,0.41
3/1/01,5.31,159.47,2.14
6/1/01,3.97,160.63,1.16
9/1/01,3.07,161.81,1.18
12/1/01,1.82,163.54,1.73
3/1/02,1.73,164.26,0.72
6/1/02,1.75,166.06,1.8
9/1/02,1.75,168.01,1.95
12/1/02,1.24,169.89,1.88
3/1/03,1.25,171.49,1.6
6/1/03,1.22,172.49,1
9/1/03,1.01,174.4,1.91
12/1/03,0.98,175.65,1.25
3/1/04,1,177.58,1.93
6/1/04,1.03,180.06,2.48
9/1/04,1.61,181.55,1.49
12/1/04,2.16,184.67,3.12
3/1/05,2.63,184.65,-0.02
6/1/05,3.04,188.69,4.04
9/1/05,3.62,188.45,-0.24
12/1/05,4.16,190.56,2.11
3/1/06,4.59,193.05,2.49
6/1/06,4.99,194.52,1.47
9/1/06,5.25,195.13,0.61
12/1/06,5.24,195.59,0.46
3/1/07,5.26,197.55,1.96
6/1/07,5.25,197.9,0.35
9/1/07,4.94,199.07,1.17
12/1/07,4.24,197.86,-1.21
3/1/08,2.61,198.01,0.15
6/1/08,2,196.52,-1.49
9/1/08,1.81,195.12,-1.4
12/1/08,0.16,195.98,0.86
3/1/09,0.18,193.78,-2.2
6/1/09,0.21,193.5,-0.28
9/1/09,0.15,195.45,1.95
12/1/09,0.12,194.7,-0.75
3/1/10,0.16,194.23,-0.47
6/1/10,0.18,195.3,1.07
9/1/10,0.19,190.09,-5.21
12/1/10,0.18,193.62,3.53
3/1/11,0.14,188.57,-5.05
6/1/11,0.09,190.51,1.94
9/1/11,0.08,191.3,0.79
12/1/11,0.07,192.12,0.82
3/1/12,0.13,194.9,2.78
6/1/12,0.16,194.46,-0.44
9/1/12,0.14,195.81,1.35
12/1/12,0.16,197.43,1.62
3/1/13,0.14,198.78,1.35
6/1/13,0.09,201.74,2.96
9/1/13,0.08,202.67,0.93
12/1/13,0.09,204.95,2.28
3/1/14,0.08,205.5,0.55
6/1/14,0.1,206.2,0.7
9/1/14,0.09,208.1,1.9
12/1/14,0.12,209.41,1.31
3/1/15,0.11,211.44,2.03
6/1/15,0.13,213.25,1.81
9/1/15,0.14,214.78,1.53
12/1/15,0.24,218.96,4.18
3/1/16,0.36,219.7,0.74
6/1/16,0.38,222.11,2.41
9/1/16,0.4,225.47,3.36
12/1/16,0.54,226.93,1.46
3/1/17,0.79,229.67,2.74
6/1/17,1.04,231.49,1.82
9/1/17,1.15,233.97,2.48
12/1/17,1.3,236.94,2.97
3/1/18,1.51,238.74,1.8
6/1/18,1.82,244.11,5.37
9/1/18,1.95,245.38,1.27
12/1/18,2.27,248.25,2.87
3/1/19,2.41,250,1.75
6/1/19,2.38,250.22,0.22
9/1/19,2.04,253.33,3.11
12/1/19,1.55,254.53,1.2
3/1/20,0.65,258.44,3.91
6/1/20,0.08,261.88,3.44
