date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.65,0.65
9/1/91,5.45,102.38,1.73
12/1/91,4.43,105.27,2.89
3/1/92,3.98,106.91,1.64
6/1/92,3.76,109.17,2.26
9/1/92,3.22,111.02,1.85
12/1/92,2.92,113.85,2.83
3/1/93,3.07,116.43,2.58
6/1/93,3.04,117.95,1.52
9/1/93,3.09,122.88,4.93
12/1/93,2.96,124.11,1.23
3/1/94,3.34,126.13,2.02
6/1/94,4.25,129.41,3.28
9/1/94,4.73,131.34,1.93
12/1/94,5.45,132.02,0.68
3/1/95,5.98,134.31,2.29
6/1/95,6,134.63,0.32
9/1/95,5.8,135.54,0.91
12/1/95,5.6,136.68,1.14
3/1/96,5.31,136.92,0.24
6/1/96,5.27,137.38,0.46
9/1/96,5.3,137.9,0.52
12/1/96,5.29,139.14,1.24
3/1/97,5.39,139.05,-0.09
6/1/97,5.56,139.71,0.66
9/1/97,5.54,140.81,1.1
12/1/97,5.5,141.2,0.39
3/1/98,5.49,142.29,1.09
6/1/98,5.56,143.04,0.75
9/1/98,5.51,143.79,0.75
12/1/98,4.68,144.42,0.63
3/1/99,4.81,145.93,1.51
6/1/99,4.76,147.45,1.52
9/1/99,5.22,147.72,0.27
12/1/99,5.3,149.75,2.03
3/1/00,5.85,150.81,1.06
6/1/00,6.53,150.95,0.14
9/1/00,6.52,150.43,-0.52
12/1/00,6.4,153.92,3.49
3/1/01,5.31,155.44,1.52
6/1/01,3.97,156.87,1.43
9/1/01,3.07,157.57,0.7
12/1/01,1.82,158.37,0.8
3/1/02,1.73,159.03,0.66
6/1/02,1.75,161.12,2.09
9/1/02,1.75,162.26,1.14
12/1/02,1.24,164.28,2.02
3/1/03,1.25,167.15,2.87
6/1/03,1.22,168.18,1.03
9/1/03,1.01,171.8,3.62
12/1/03,0.98,174.09,2.29
3/1/04,1,177.02,2.93
6/1/04,1.03,183.43,6.41
9/1/04,1.61,189.63,6.2
12/1/04,2.16,193.44,3.81
3/1/05,2.63,201.41,7.97
6/1/05,3.04,206.65,5.24
9/1/05,3.62,217.23,10.58
12/1/05,4.16,228.23,11
3/1/06,4.59,236.07,7.84
6/1/06,4.99,246.02,9.95
9/1/06,5.25,249.52,3.5
12/1/06,5.24,257.28,7.76
3/1/07,5.26,259.51,2.23
6/1/07,5.25,262.16,2.65
9/1/07,4.94,260.87,-1.29
12/1/07,4.24,260.12,-0.75
3/1/08,2.61,259.41,-0.71
6/1/08,2,249.7,-9.71
9/1/08,1.81,244.43,-5.27
12/1/08,0.16,235.98,-8.45
3/1/09,0.18,237.19,1.21
6/1/09,0.21,231.72,-5.47
9/1/09,0.15,223.07,-8.65
12/1/09,0.12,217.81,-5.26
3/1/10,0.16,209.29,-8.52
6/1/10,0.18,204.91,-4.38
9/1/10,0.19,196.62,-8.29
12/1/10,0.18,189.45,-7.17
3/1/11,0.14,180.54,-8.91
6/1/11,0.09,178.16,-2.38
9/1/11,0.08,182.13,3.97
12/1/11,0.07,183.08,0.95
3/1/12,0.13,186.01,2.93
6/1/12,0.16,195.47,9.46
9/1/12,0.14,198.54,3.07
12/1/12,0.16,202.5,3.96
3/1/13,0.14,209.15,6.65
6/1/13,0.09,211.19,2.04
9/1/13,0.08,217.01,5.82
12/1/13,0.09,217.94,0.93
3/1/14,0.08,222.54,4.6
6/1/14,0.1,222.98,0.44
9/1/14,0.09,225.4,2.42
12/1/14,0.12,228.28,2.88
3/1/15,0.11,230.82,2.54
6/1/15,0.13,238.42,7.6
9/1/15,0.14,240.34,1.92
12/1/15,0.24,250.78,10.44
3/1/16,0.36,252.38,1.6
6/1/16,0.38,256.45,4.07
9/1/16,0.4,264.22,7.77
12/1/16,0.54,267.32,3.1
3/1/17,0.79,277.36,10.04
6/1/17,1.04,281.4,4.04
9/1/17,1.15,287.1,5.7
12/1/17,1.3,300,12.9
3/1/18,1.51,305.75,5.75
6/1/18,1.82,319.9,14.15
9/1/18,1.95,328.53,8.63
12/1/18,2.27,336.82,8.29
3/1/19,2.41,346.65,9.83
6/1/19,2.38,356.95,10.3
9/1/19,2.04,366.9,9.95
12/1/19,1.55,378.96,12.06
3/1/20,0.65,390.96,12
6/1/20,0.08,395.44,4.48
