date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.36,0.36
9/1/91,5.45,101.19,0.83
12/1/91,4.43,102.25,1.06
3/1/92,3.98,103.3,1.05
6/1/92,3.76,104.28,0.98
9/1/92,3.22,104.89,0.61
12/1/92,2.92,106.58,1.69
3/1/93,3.07,107.38,0.8
6/1/93,3.04,108.4,1.02
9/1/93,3.09,109.94,1.54
12/1/93,2.96,110.67,0.73
3/1/94,3.34,112.66,1.99
6/1/94,4.25,113.84,1.18
9/1/94,4.73,114.61,0.77
12/1/94,5.45,115.49,0.88
3/1/95,5.98,116.12,0.63
6/1/95,6,117.38,1.26
9/1/95,5.8,118.41,1.03
12/1/95,5.6,119.04,0.63
3/1/96,5.31,120.21,1.17
6/1/96,5.27,121.08,0.87
9/1/96,5.3,121.52,0.44
12/1/96,5.29,122.27,0.75
3/1/97,5.39,122.61,0.34
6/1/97,5.56,123.31,0.7
9/1/97,5.54,123.96,0.65
12/1/97,5.5,124.59,0.63
3/1/98,5.49,125.54,0.95
6/1/98,5.56,126.26,0.72
9/1/98,5.51,127.59,1.33
12/1/98,4.68,129.49,1.9
3/1/99,4.81,131.1,1.61
6/1/99,4.76,132.74,1.64
9/1/99,5.22,134.71,1.97
12/1/99,5.3,136.58,1.87
3/1/00,5.85,138.57,1.99
6/1/00,6.53,140.9,2.33
9/1/00,6.52,143.29,2.39
12/1/00,6.4,145.49,2.2
3/1/01,5.31,148.27,2.78
6/1/01,3.97,150.75,2.48
9/1/01,3.07,153.06,2.31
12/1/01,1.82,155.19,2.13
3/1/02,1.73,157.91,2.72
6/1/02,1.75,160.48,2.57
9/1/02,1.75,163.12,2.64
12/1/02,1.24,166.14,3.02
3/1/03,1.25,168.75,2.61
6/1/03,1.22,171.82,3.07
9/1/03,1.01,174.62,2.8
12/1/03,0.98,178.18,3.56
3/1/04,1,180.78,2.6
6/1/04,1.03,183.76,2.98
9/1/04,1.61,187.02,3.26
12/1/04,2.16,189.5,2.48
3/1/05,2.63,192.95,3.45
6/1/05,3.04,196.24,3.29
9/1/05,3.62,199.87,3.63
12/1/05,4.16,203.04,3.17
3/1/06,4.59,206.27,3.23
6/1/06,4.99,208.32,2.05
9/1/06,5.25,208.94,0.62
12/1/06,5.24,209.09,0.15
3/1/07,5.26,213.11,4.02
6/1/07,5.25,210.47,-2.64
9/1/07,4.94,208.5,-1.97
12/1/07,4.24,206.61,-1.89
3/1/08,2.61,203.14,-3.47
6/1/08,2,199.08,-4.06
9/1/08,1.81,193.98,-5.1
12/1/08,0.16,189.88,-4.1
3/1/09,0.18,185.95,-3.93
6/1/09,0.21,182.85,-3.1
9/1/09,0.15,182.72,-0.13
12/1/09,0.12,180.18,-2.54
3/1/10,0.16,179.03,-1.15
6/1/10,0.18,177.58,-1.45
9/1/10,0.19,174.03,-3.55
12/1/10,0.18,172.53,-1.5
3/1/11,0.14,168.7,-3.83
6/1/11,0.09,164.69,-4.01
9/1/11,0.08,165.79,1.1
12/1/11,0.07,162.52,-3.27
3/1/12,0.13,162.95,0.43
6/1/12,0.16,163.55,0.6
9/1/12,0.14,164.56,1.01
12/1/12,0.16,164.04,-0.52
3/1/13,0.14,166.4,2.36
6/1/13,0.09,169.49,3.09
9/1/13,0.08,170.67,1.18
12/1/13,0.09,173.04,2.37
3/1/14,0.08,173.6,0.56
6/1/14,0.1,174.72,1.12
9/1/14,0.09,176.49,1.77
12/1/14,0.12,177.6,1.11
3/1/15,0.11,178.67,1.07
6/1/15,0.13,180.84,2.17
9/1/15,0.14,181.69,0.85
12/1/15,0.24,182.2,0.51
3/1/16,0.36,183.78,1.58
6/1/16,0.38,185.4,1.62
9/1/16,0.4,188.47,3.07
12/1/16,0.54,191.33,2.86
3/1/17,0.79,193.21,1.88
6/1/17,1.04,192.57,-0.64
9/1/17,1.15,194.73,2.16
12/1/17,1.3,196.92,2.19
3/1/18,1.51,198.79,1.87
6/1/18,1.82,200.26,1.47
9/1/18,1.95,201.75,1.49
12/1/18,2.27,203.1,1.35
3/1/19,2.41,204.44,1.34
6/1/19,2.38,206.05,1.61
9/1/19,2.04,206.96,0.91
12/1/19,1.55,208.68,1.72
3/1/20,0.65,210.47,1.79
6/1/20,0.08,211.13,0.66
