date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.63,0.63
9/1/91,5.45,101,0.37
12/1/91,4.43,101.55,0.55
3/1/92,3.98,102.25,0.7
6/1/92,3.76,104.48,2.23
9/1/92,3.22,105.32,0.84
12/1/92,2.92,106.02,0.7
3/1/93,3.07,106.85,0.83
6/1/93,3.04,109.11,2.26
9/1/93,3.09,110.23,1.12
12/1/93,2.96,111.66,1.43
3/1/94,3.34,112.34,0.68
6/1/94,4.25,114.4,2.06
9/1/94,4.73,115.24,0.84
12/1/94,5.45,116.32,1.08
3/1/95,5.98,118.12,1.8
6/1/95,6,119.17,1.05
9/1/95,5.8,120.84,1.67
12/1/95,5.6,121.32,0.48
3/1/96,5.31,122.26,0.94
6/1/96,5.27,124.92,2.66
9/1/96,5.3,125.86,0.94
12/1/96,5.29,126.52,0.66
3/1/97,5.39,126.1,-0.42
6/1/97,5.56,128.31,2.21
9/1/97,5.54,128.91,0.6
12/1/97,5.5,129.6,0.69
3/1/98,5.49,130.16,0.56
6/1/98,5.56,132.24,2.08
9/1/98,5.51,133.09,0.85
12/1/98,4.68,134.89,1.8
3/1/99,4.81,135.21,0.32
6/1/99,4.76,136.94,1.73
9/1/99,5.22,138.88,1.94
12/1/99,5.3,138.59,-0.29
3/1/00,5.85,140.84,2.25
6/1/00,6.53,142.12,1.28
9/1/00,6.52,143.4,1.28
12/1/00,6.4,142.65,-0.75
3/1/01,5.31,144.08,1.43
6/1/01,3.97,145.72,1.64
9/1/01,3.07,146.33,0.61
12/1/01,1.82,147.46,1.13
3/1/02,1.73,147.81,0.35
6/1/02,1.75,149.29,1.48
9/1/02,1.75,150.34,1.05
12/1/02,1.24,149.78,-0.56
3/1/03,1.25,151.15,1.37
6/1/03,1.22,153.33,2.18
9/1/03,1.01,154.94,1.61
12/1/03,0.98,154.99,0.05
3/1/04,1,155,0.01
6/1/04,1.03,159.11,4.11
9/1/04,1.61,160.64,1.53
12/1/04,2.16,159.81,-0.83
3/1/05,2.63,160.41,0.6
6/1/05,3.04,163.58,3.17
9/1/05,3.62,164.88,1.3
12/1/05,4.16,165.18,0.3
3/1/06,4.59,164.56,-0.62
6/1/06,4.99,168.18,3.62
9/1/06,5.25,169.12,0.94
12/1/06,5.24,167.28,-1.84
3/1/07,5.26,167.68,0.4
6/1/07,5.25,170.68,3
9/1/07,4.94,170.94,0.26
12/1/07,4.24,165.55,-5.39
3/1/08,2.61,164.11,-1.44
6/1/08,2,163.94,-0.17
9/1/08,1.81,164.55,0.61
12/1/08,0.16,158.06,-6.49
3/1/09,0.18,157.76,-0.3
6/1/09,0.21,160.53,2.77
9/1/09,0.15,159.45,-1.08
12/1/09,0.12,158.41,-1.04
3/1/10,0.16,155.19,-3.22
6/1/10,0.18,159.45,4.26
9/1/10,0.19,159.13,-0.32
12/1/10,0.18,156.17,-2.96
3/1/11,0.14,152.36,-3.81
6/1/11,0.09,157.13,4.77
9/1/11,0.08,157.78,0.65
12/1/11,0.07,157.07,-0.71
3/1/12,0.13,153.68,-3.39
6/1/12,0.16,159.27,5.59
9/1/12,0.14,158.97,-0.3
12/1/12,0.16,159.22,0.25
3/1/13,0.14,159.31,0.09
6/1/13,0.09,164.27,4.96
9/1/13,0.08,167.06,2.79
12/1/13,0.09,165.21,-1.85
3/1/14,0.08,164.87,-0.34
6/1/14,0.1,168.51,3.64
9/1/14,0.09,170.83,2.32
12/1/14,0.12,169.69,-1.14
3/1/15,0.11,170.49,0.8
6/1/15,0.13,176.02,5.53
9/1/15,0.14,177.12,1.1
12/1/15,0.24,176.38,-0.74
3/1/16,0.36,176.55,0.17
6/1/16,0.38,184.03,7.48
9/1/16,0.4,186.75,2.72
12/1/16,0.54,186.69,-0.06
3/1/17,0.79,186.53,-0.16
6/1/17,1.04,193.01,6.48
9/1/17,1.15,196.07,3.06
12/1/17,1.3,198.64,2.57
3/1/18,1.51,201.1,2.46
6/1/18,1.82,209.22,8.12
9/1/18,1.95,211.98,2.76
12/1/18,2.27,211.29,-0.69
3/1/19,2.41,215.48,4.19
6/1/19,2.38,221.95,6.47
9/1/19,2.04,227.37,5.42
12/1/19,1.55,226.23,-1.14
3/1/20,0.65,230.72,4.49
6/1/20,0.08,238.93,8.21
