date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,99.59,-0.41
9/1/91,5.45,99.22,-0.37
12/1/91,4.43,100.68,1.46
3/1/92,3.98,101.55,0.87
6/1/92,3.76,101.68,0.13
9/1/92,3.22,103.25,1.57
12/1/92,2.92,104.23,0.98
3/1/93,3.07,105.27,1.04
6/1/93,3.04,106.59,1.32
9/1/93,3.09,108.67,2.08
12/1/93,2.96,110.55,1.88
3/1/94,3.34,112.27,1.72
6/1/94,4.25,114.6,2.33
9/1/94,4.73,115.45,0.85
12/1/94,5.45,116.41,0.96
3/1/95,5.98,118.67,2.26
6/1/95,6,119.92,1.25
9/1/95,5.8,121.45,1.53
12/1/95,5.6,123.34,1.89
3/1/96,5.31,124.31,0.97
6/1/96,5.27,125.93,1.62
9/1/96,5.3,126.86,0.93
12/1/96,5.29,127.31,0.45
3/1/97,5.39,127.79,0.48
6/1/97,5.56,129.9,2.11
9/1/97,5.54,131.89,1.99
12/1/97,5.5,133.42,1.53
3/1/98,5.49,136.02,2.6
6/1/98,5.56,136.43,0.41
9/1/98,5.51,138.57,2.14
12/1/98,4.68,142.69,4.12
3/1/99,4.81,144.69,2
6/1/99,4.76,145.82,1.13
9/1/99,5.22,147.2,1.38
12/1/99,5.3,147.62,0.42
3/1/00,5.85,150.39,2.77
6/1/00,6.53,151.7,1.31
9/1/00,6.52,153.41,1.71
12/1/00,6.4,154.28,0.87
3/1/01,5.31,155.9,1.62
6/1/01,3.97,158.36,2.46
9/1/01,3.07,159.75,1.39
12/1/01,1.82,162.32,2.57
3/1/02,1.73,162.93,0.61
6/1/02,1.75,164.24,1.31
9/1/02,1.75,165.79,1.55
12/1/02,1.24,167.45,1.66
3/1/03,1.25,169.38,1.93
6/1/03,1.22,169.8,0.42
9/1/03,1.01,172.94,3.14
12/1/03,0.98,174.25,1.31
3/1/04,1,176.37,2.12
6/1/04,1.03,178.69,2.32
9/1/04,1.61,179.2,0.51
12/1/04,2.16,181.2,2
3/1/05,2.63,182.96,1.76
6/1/05,3.04,185.31,2.35
9/1/05,3.62,186.75,1.44
12/1/05,4.16,188.28,1.53
3/1/06,4.59,192.18,3.9
6/1/06,4.99,192.36,0.18
9/1/06,5.25,194.72,2.36
12/1/06,5.24,195.74,1.02
3/1/07,5.26,197.83,2.09
6/1/07,5.25,198.98,1.15
9/1/07,4.94,199.7,0.72
12/1/07,4.24,198.94,-0.76
3/1/08,2.61,197.46,-1.48
6/1/08,2,197.07,-0.39
9/1/08,1.81,194.84,-2.23
12/1/08,0.16,194.73,-0.11
3/1/09,0.18,195.81,1.08
6/1/09,0.21,193.52,-2.29
9/1/09,0.15,193.97,0.45
12/1/09,0.12,194.93,0.96
3/1/10,0.16,190.74,-4.19
6/1/10,0.18,194.33,3.59
9/1/10,0.19,189.63,-4.7
12/1/10,0.18,189.16,-0.47
3/1/11,0.14,185.06,-4.1
6/1/11,0.09,184.78,-0.28
9/1/11,0.08,185.65,0.87
12/1/11,0.07,185.55,-0.1
3/1/12,0.13,186.59,1.04
6/1/12,0.16,188.07,1.48
9/1/12,0.14,191.47,3.4
12/1/12,0.16,191.33,-0.14
3/1/13,0.14,189.3,-2.03
6/1/13,0.09,193.46,4.16
9/1/13,0.08,194.44,0.98
12/1/13,0.09,193.94,-0.5
3/1/14,0.08,199.37,5.43
6/1/14,0.1,200.47,1.1
9/1/14,0.09,201.97,1.5
12/1/14,0.12,203.47,1.5
3/1/15,0.11,205.51,2.04
6/1/15,0.13,206.34,0.83
9/1/15,0.14,208.83,2.49
12/1/15,0.24,210.66,1.83
3/1/16,0.36,214.87,4.21
6/1/16,0.38,217.93,3.06
9/1/16,0.4,219.49,1.56
12/1/16,0.54,224.92,5.43
3/1/17,0.79,224.3,-0.62
6/1/17,1.04,227.85,3.55
9/1/17,1.15,230.4,2.55
12/1/17,1.3,233.23,2.83
3/1/18,1.51,237.2,3.97
6/1/18,1.82,240.54,3.34
9/1/18,1.95,241.63,1.09
12/1/18,2.27,247.02,5.39
3/1/19,2.41,249.88,2.86
6/1/19,2.38,252.32,2.44
9/1/19,2.04,257.73,5.41
12/1/19,1.55,259.8,2.07
3/1/20,0.65,263.48,3.68
6/1/20,0.08,266.87,3.39
