date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.32,0.32
9/1/91,5.45,100.29,-0.03
12/1/91,4.43,101.68,1.39
3/1/92,3.98,103.34,1.66
6/1/92,3.76,103.38,0.04
9/1/92,3.22,105.39,2.01
12/1/92,2.92,106.82,1.43
3/1/93,3.07,107.66,0.84
6/1/93,3.04,109.47,1.81
9/1/93,3.09,110.44,0.97
12/1/93,2.96,111.56,1.12
3/1/94,3.34,114.33,2.77
6/1/94,4.25,115.48,1.15
9/1/94,4.73,116.89,1.41
12/1/94,5.45,117.87,0.98
3/1/95,5.98,118.9,1.03
6/1/95,6,120.39,1.49
9/1/95,5.8,121.55,1.16
12/1/95,5.6,123.55,2
3/1/96,5.31,123.76,0.21
6/1/96,5.27,125.31,1.55
9/1/96,5.3,126.94,1.63
12/1/96,5.29,128.11,1.17
3/1/97,5.39,129.56,1.45
6/1/97,5.56,130.27,0.71
9/1/97,5.54,131.53,1.26
12/1/97,5.5,132.11,0.58
3/1/98,5.49,133.07,0.96
6/1/98,5.56,135.47,2.4
9/1/98,5.51,136.39,0.92
12/1/98,4.68,138.54,2.15
3/1/99,4.81,140.48,1.94
6/1/99,4.76,142.07,1.59
9/1/99,5.22,144.08,2.01
12/1/99,5.3,145.32,1.24
3/1/00,5.85,147.64,2.32
6/1/00,6.53,148.44,0.8
9/1/00,6.52,149.62,1.18
12/1/00,6.4,150.75,1.13
3/1/01,5.31,151.9,1.15
6/1/01,3.97,153.42,1.52
9/1/01,3.07,154.68,1.26
12/1/01,1.82,156.26,1.58
3/1/02,1.73,157.01,0.75
6/1/02,1.75,158.81,1.8
9/1/02,1.75,159.29,0.48
12/1/02,1.24,161.92,2.63
3/1/03,1.25,163.39,1.47
6/1/03,1.22,165.39,2
9/1/03,1.01,167.7,2.31
12/1/03,0.98,168.9,1.2
3/1/04,1,172.61,3.71
6/1/04,1.03,172.71,0.1
9/1/04,1.61,174.63,1.92
12/1/04,2.16,177.29,2.66
3/1/05,2.63,178.62,1.33
6/1/05,3.04,180.53,1.91
9/1/05,3.62,182.64,2.11
12/1/05,4.16,184.47,1.83
3/1/06,4.59,188.01,3.54
6/1/06,4.99,187.78,-0.23
9/1/06,5.25,188.63,0.85
12/1/06,5.24,189.36,0.73
3/1/07,5.26,191.16,1.8
6/1/07,5.25,192.2,1.04
9/1/07,4.94,191.31,-0.89
12/1/07,4.24,191.49,0.18
3/1/08,2.61,190.01,-1.48
6/1/08,2,190.2,0.19
9/1/08,1.81,189.79,-0.41
12/1/08,0.16,187.36,-2.43
3/1/09,0.18,187.21,-0.15
6/1/09,0.21,187.16,-0.05
9/1/09,0.15,187.22,0.06
12/1/09,0.12,186.84,-0.38
3/1/10,0.16,186.52,-0.32
6/1/10,0.18,185.69,-0.83
9/1/10,0.19,185.52,-0.17
12/1/10,0.18,186.65,1.13
3/1/11,0.14,183.27,-3.38
6/1/11,0.09,181.78,-1.49
9/1/11,0.08,182.74,0.96
12/1/11,0.07,181.83,-0.91
3/1/12,0.13,184.58,2.75
6/1/12,0.16,185.64,1.06
9/1/12,0.14,184.78,-0.86
12/1/12,0.16,186.54,1.76
3/1/13,0.14,187.36,0.82
6/1/13,0.09,189.55,2.19
9/1/13,0.08,191.96,2.41
12/1/13,0.09,191.64,-0.32
3/1/14,0.08,191.35,-0.29
6/1/14,0.1,193.9,2.55
9/1/14,0.09,194.99,1.09
12/1/14,0.12,196.89,1.9
3/1/15,0.11,199.65,2.76
6/1/15,0.13,200.65,1
9/1/15,0.14,202.77,2.12
12/1/15,0.24,207.2,4.43
3/1/16,0.36,208.65,1.45
6/1/16,0.38,210.27,1.62
9/1/16,0.4,213.71,3.44
12/1/16,0.54,215.38,1.67
3/1/17,0.79,219.37,3.99
6/1/17,1.04,224.06,4.69
9/1/17,1.15,227.6,3.54
12/1/17,1.3,230.06,2.46
3/1/18,1.51,233.23,3.17
6/1/18,1.82,234.64,1.41
9/1/18,1.95,237.48,2.84
12/1/18,2.27,241.74,4.26
3/1/19,2.41,243.2,1.46
6/1/19,2.38,248.66,5.46
9/1/19,2.04,250.11,1.45
12/1/19,1.55,253.48,3.37
3/1/20,0.65,256.8,3.32
6/1/20,0.08,260.25,3.45
