date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,102.02,2.02
9/1/91,5.45,103.62,1.6
12/1/91,4.43,104.32,0.7
3/1/92,3.98,105.79,1.47
6/1/92,3.76,107.12,1.33
9/1/92,3.22,108.46,1.34
12/1/92,2.92,110.61,2.15
3/1/93,3.07,111.72,1.11
6/1/93,3.04,112.95,1.23
9/1/93,3.09,115.45,2.5
12/1/93,2.96,118.24,2.79
3/1/94,3.34,120.22,1.98
6/1/94,4.25,121.82,1.6
9/1/94,4.73,123.38,1.56
12/1/94,5.45,122.28,-1.1
3/1/95,5.98,123.94,1.66
6/1/95,6,126.64,2.7
9/1/95,5.8,128.39,1.75
12/1/95,5.6,130.03,1.64
3/1/96,5.31,132.17,2.14
6/1/96,5.27,133.06,0.89
9/1/96,5.3,134.03,0.97
12/1/96,5.29,135.66,1.63
3/1/97,5.39,137.17,1.51
6/1/97,5.56,137.99,0.82
9/1/97,5.54,138.96,0.97
12/1/97,5.5,140.68,1.72
3/1/98,5.49,142.62,1.94
6/1/98,5.56,144.16,1.54
9/1/98,5.51,146.48,2.32
12/1/98,4.68,148.41,1.93
3/1/99,4.81,148.71,0.3
6/1/99,4.76,150.26,1.55
9/1/99,5.22,151.95,1.69
12/1/99,5.3,152.51,0.56
3/1/00,5.85,154.39,1.88
6/1/00,6.53,156.36,1.97
9/1/00,6.52,156.9,0.54
12/1/00,6.4,157.27,0.37
3/1/01,5.31,159.13,1.86
6/1/01,3.97,160.66,1.53
9/1/01,3.07,162.54,1.88
12/1/01,1.82,164.99,2.45
3/1/02,1.73,164.66,-0.33
6/1/02,1.75,167.65,2.99
9/1/02,1.75,169.3,1.65
12/1/02,1.24,171.65,2.35
3/1/03,1.25,174.52,2.87
6/1/03,1.22,175.46,0.94
9/1/03,1.01,178.63,3.17
12/1/03,0.98,181.38,2.75
3/1/04,1,183.66,2.28
6/1/04,1.03,187.55,3.89
9/1/04,1.61,190.08,2.53
12/1/04,2.16,192.46,2.38
3/1/05,2.63,195.19,2.73
6/1/05,3.04,199.21,4.02
9/1/05,3.62,202.42,3.21
12/1/05,4.16,213.49,11.07
3/1/06,4.59,218.96,5.47
6/1/06,4.99,223.05,4.09
9/1/06,5.25,227.38,4.33
12/1/06,5.24,230.91,3.53
3/1/07,5.26,233.47,2.56
6/1/07,5.25,235.12,1.65
9/1/07,4.94,236.67,1.55
12/1/07,4.24,235.43,-1.24
3/1/08,2.61,234.29,-1.14
6/1/08,2,232.95,-1.34
9/1/08,1.81,230.3,-2.65
12/1/08,0.16,228.91,-1.39
3/1/09,0.18,229.68,0.77
6/1/09,0.21,229.17,-0.51
9/1/09,0.15,227.04,-2.13
12/1/09,0.12,227.97,0.93
3/1/10,0.16,228.26,0.29
6/1/10,0.18,227.65,-0.61
9/1/10,0.19,227.87,0.22
12/1/10,0.18,225.28,-2.59
3/1/11,0.14,221.39,-3.89
6/1/11,0.09,222.21,0.82
9/1/11,0.08,222.74,0.53
12/1/11,0.07,223.38,0.64
3/1/12,0.13,222.81,-0.57
6/1/12,0.16,225.63,2.82
9/1/12,0.14,228.66,3.03
12/1/12,0.16,229.42,0.76
3/1/13,0.14,234.97,5.55
6/1/13,0.09,236.73,1.76
9/1/13,0.08,235.76,-0.97
12/1/13,0.09,239.21,3.45
3/1/14,0.08,240.08,0.87
6/1/14,0.1,241.63,1.55
9/1/14,0.09,245.2,3.57
12/1/14,0.12,246.35,1.15
3/1/15,0.11,249.61,3.26
6/1/15,0.13,251.3,1.69
9/1/15,0.14,254.2,2.9
12/1/15,0.24,255.69,1.49
3/1/16,0.36,258.86,3.17
6/1/16,0.38,259.7,0.84
9/1/16,0.4,260.95,1.25
12/1/16,0.54,266.62,5.67
3/1/17,0.79,265.62,-1
6/1/17,1.04,268.82,3.2
9/1/17,1.15,271.98,3.16
12/1/17,1.3,272.93,0.95
3/1/18,1.51,274.21,1.28
6/1/18,1.82,275.78,1.57
9/1/18,1.95,275.57,-0.21
12/1/18,2.27,279.58,4.01
3/1/19,2.41,281.48,1.9
6/1/19,2.38,283.99,2.51
9/1/19,2.04,285.83,1.84
12/1/19,1.55,288.46,2.63
3/1/20,0.65,291.35,2.89
6/1/20,0.08,293.68,2.33
