date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,98.03,-1.97
9/1/91,5.45,96.95,-1.08
12/1/91,4.43,97.5,0.55
3/1/92,3.98,98.66,1.16
6/1/92,3.76,95.76,-2.9
9/1/92,3.22,96.33,0.57
12/1/92,2.92,96.68,0.35
3/1/93,3.07,94.96,-1.72
6/1/93,3.04,96.19,1.23
9/1/93,3.09,96.58,0.39
12/1/93,2.96,96.51,-0.07
3/1/94,3.34,97,0.49
6/1/94,4.25,97.23,0.23
9/1/94,4.73,97.46,0.23
12/1/94,5.45,97.89,0.43
3/1/95,5.98,98.2,0.31
6/1/95,6,98.62,0.42
9/1/95,5.8,99.3,0.68
12/1/95,5.6,99.94,0.64
3/1/96,5.31,101.29,1.35
6/1/96,5.27,102.22,0.93
9/1/96,5.3,103.14,0.92
12/1/96,5.29,104.49,1.35
3/1/97,5.39,104.81,0.32
6/1/97,5.56,106.94,2.13
9/1/97,5.54,108.2,1.26
12/1/97,5.5,110.5,2.3
3/1/98,5.49,112.84,2.34
6/1/98,5.56,115.68,2.84
9/1/98,5.51,118.7,3.02
12/1/98,4.68,121.35,2.65
3/1/99,4.81,124.73,3.38
6/1/99,4.76,128.48,3.75
9/1/99,5.22,132.37,3.89
12/1/99,5.3,136.23,3.86
3/1/00,5.85,140.8,4.57
6/1/00,6.53,146.34,5.54
9/1/00,6.52,150.77,4.43
12/1/00,6.4,156.62,5.85
3/1/01,5.31,162.77,6.15
6/1/01,3.97,167.83,5.06
9/1/01,3.07,172.9,5.07
12/1/01,1.82,177.45,4.55
3/1/02,1.73,182.62,5.17
6/1/02,1.75,189.38,6.76
9/1/02,1.75,196.56,7.18
12/1/02,1.24,202.4,5.84
3/1/03,1.25,206.34,3.94
6/1/03,1.22,210.88,4.54
9/1/03,1.01,214.89,4.01
12/1/03,0.98,222.9,8.01
3/1/04,1,227.5,4.6
6/1/04,1.03,232.47,4.97
9/1/04,1.61,238.09,5.62
12/1/04,2.16,243.04,4.95
3/1/05,2.63,247.28,4.24
6/1/05,3.04,250.94,3.66
9/1/05,3.62,252.3,1.36
12/1/05,4.16,251.89,-0.41
3/1/06,4.59,250.37,-1.52
6/1/06,4.99,246.29,-4.08
9/1/06,5.25,243.37,-2.92
12/1/06,5.24,240.66,-2.71
3/1/07,5.26,238.64,-2.02
6/1/07,5.25,238.57,-0.07
9/1/07,4.94,235.26,-3.31
12/1/07,4.24,231.41,-3.85
3/1/08,2.61,229.21,-2.2
6/1/08,2,221.96,-7.25
9/1/08,1.81,218.78,-3.18
12/1/08,0.16,217.17,-1.61
3/1/09,0.18,219.67,2.5
6/1/09,0.21,215.59,-4.08
9/1/09,0.15,214.88,-0.71
12/1/09,0.12,215.26,0.38
3/1/10,0.16,215,-0.26
6/1/10,0.18,214.07,-0.93
9/1/10,0.19,212.51,-1.56
12/1/10,0.18,212.59,0.08
3/1/11,0.14,209.12,-3.47
6/1/11,0.09,208.98,-0.14
9/1/11,0.08,208.03,-0.95
12/1/11,0.07,207.07,-0.96
3/1/12,0.13,206.82,-0.25
6/1/12,0.16,207.61,0.79
9/1/12,0.14,209.53,1.92
12/1/12,0.16,211.8,2.27
3/1/13,0.14,215.37,3.57
6/1/13,0.09,218.45,3.08
9/1/13,0.08,221.5,3.05
12/1/13,0.09,223.53,2.03
3/1/14,0.08,223.87,0.34
6/1/14,0.1,228.89,5.02
9/1/14,0.09,230.33,1.44
12/1/14,0.12,232.33,2
3/1/15,0.11,234.69,2.36
6/1/15,0.13,238.39,3.7
9/1/15,0.14,240.11,1.72
12/1/15,0.24,242.67,2.56
3/1/16,0.36,246.13,3.46
6/1/16,0.38,248.81,2.68
9/1/16,0.4,253.34,4.53
12/1/16,0.54,257.62,4.28
3/1/17,0.79,261.33,3.71
6/1/17,1.04,266.99,5.66
9/1/17,1.15,271.04,4.05
12/1/17,1.3,274.51,3.47
3/1/18,1.51,279.04,4.53
6/1/18,1.82,283.54,4.5
9/1/18,1.95,286.07,2.53
12/1/18,2.27,290.93,4.86
3/1/19,2.41,293.71,2.78
6/1/19,2.38,295.03,1.32
9/1/19,2.04,298.92,3.89
12/1/19,1.55,303.25,4.33
3/1/20,0.65,307.99,4.74
6/1/20,0.08,309.9,1.91
