date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.13,0.13
9/1/91,5.45,99.64,-0.49
12/1/91,4.43,101.02,1.38
3/1/92,3.98,102.85,1.83
6/1/92,3.76,100.41,-2.44
9/1/92,3.22,102.13,1.72
12/1/92,2.92,102.13,0
3/1/93,3.07,101.13,-1
6/1/93,3.04,101.26,0.13
9/1/93,3.09,101.87,0.61
12/1/93,2.96,101.81,-0.06
3/1/94,3.34,102.02,0.21
6/1/94,4.25,102.74,0.72
9/1/94,4.73,101.83,-0.91
12/1/94,5.45,101.35,-0.48
3/1/95,5.98,101.32,-0.03
6/1/95,6,100.71,-0.61
9/1/95,5.8,101.89,1.18
12/1/95,5.6,101.95,0.06
3/1/96,5.31,102.38,0.43
6/1/96,5.27,102.17,-0.21
9/1/96,5.3,102.29,0.12
12/1/96,5.29,102.19,-0.1
3/1/97,5.39,102.79,0.6
6/1/97,5.56,102.14,-0.65
9/1/97,5.54,102.44,0.3
12/1/97,5.5,103.48,1.04
3/1/98,5.49,104.45,0.97
6/1/98,5.56,104.84,0.39
9/1/98,5.51,105.45,0.61
12/1/98,4.68,106.96,1.51
3/1/99,4.81,108.83,1.87
6/1/99,4.76,110.28,1.45
9/1/99,5.22,111.33,1.05
12/1/99,5.3,113.46,2.13
3/1/00,5.85,114.96,1.5
6/1/00,6.53,117.91,2.95
9/1/00,6.52,120.04,2.13
12/1/00,6.4,121.81,1.77
3/1/01,5.31,125.23,3.42
6/1/01,3.97,128.65,3.42
9/1/01,3.07,132.1,3.45
12/1/01,1.82,136.14,4.04
3/1/02,1.73,139.99,3.85
6/1/02,1.75,144.89,4.9
9/1/02,1.75,150.42,5.53
12/1/02,1.24,156.44,6.02
3/1/03,1.25,159.15,2.71
6/1/03,1.22,165.71,6.56
9/1/03,1.01,172.51,6.8
12/1/03,0.98,179.14,6.63
3/1/04,1,186.84,7.7
6/1/04,1.03,195.07,8.23
9/1/04,1.61,205.06,9.99
12/1/04,2.16,214.28,9.22
3/1/05,2.63,224.76,10.48
6/1/05,3.04,236.73,11.97
9/1/05,3.62,247.13,10.4
12/1/05,4.16,254.58,7.45
3/1/06,4.59,259.15,4.57
6/1/06,4.99,263.64,4.49
9/1/06,5.25,262.26,-1.38
12/1/06,5.24,265.17,2.91
3/1/07,5.26,268.87,3.7
6/1/07,5.25,267.31,-1.56
9/1/07,4.94,263.11,-4.2
12/1/07,4.24,259.66,-3.45
3/1/08,2.61,248.93,-10.73
6/1/08,2,236.69,-12.24
9/1/08,1.81,231.04,-5.65
12/1/08,0.16,220.19,-10.85
3/1/09,0.18,221.37,1.18
6/1/09,0.21,216.81,-4.56
9/1/09,0.15,215.61,-1.2
12/1/09,0.12,211.39,-4.22
3/1/10,0.16,211.57,0.18
6/1/10,0.18,210.69,-0.88
9/1/10,0.19,204.9,-5.79
12/1/10,0.18,205.85,0.95
3/1/11,0.14,200.57,-5.28
6/1/11,0.09,197.61,-2.96
9/1/11,0.08,199,1.39
12/1/11,0.07,197.85,-1.15
3/1/12,0.13,197.38,-0.47
6/1/12,0.16,203.26,5.88
9/1/12,0.14,203.66,0.4
12/1/12,0.16,206.44,2.78
3/1/13,0.14,210.47,4.03
6/1/13,0.09,212.85,2.38
9/1/13,0.08,216.35,3.5
12/1/13,0.09,217.67,1.32
3/1/14,0.08,217.95,0.28
6/1/14,0.1,218.71,0.76
9/1/14,0.09,217.52,-1.19
12/1/14,0.12,219.18,1.66
3/1/15,0.11,219.51,0.33
6/1/15,0.13,221.56,2.05
9/1/15,0.14,222.83,1.27
12/1/15,0.24,222.41,-0.42
3/1/16,0.36,227.48,5.07
6/1/16,0.38,230.06,2.58
9/1/16,0.4,229.05,-1.01
12/1/16,0.54,235.31,6.26
3/1/17,0.79,236.4,1.09
6/1/17,1.04,238.29,1.89
9/1/17,1.15,241.69,3.4
12/1/17,1.3,243.97,2.28
3/1/18,1.51,247.16,3.19
6/1/18,1.82,247.51,0.35
9/1/18,1.95,249.09,1.58
12/1/18,2.27,249.56,0.47
3/1/19,2.41,250.13,0.57
6/1/19,2.38,253.53,3.4
9/1/19,2.04,255.42,1.89
12/1/19,1.55,259.04,3.62
3/1/20,0.65,261.55,2.51
6/1/20,0.08,260.68,-0.87
