date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,101.07,1.07
9/1/91,5.45,100.91,-0.16
12/1/91,4.43,100.88,-0.03
3/1/92,3.98,102.15,1.27
6/1/92,3.76,99.53,-2.62
9/1/92,3.22,100.17,0.64
12/1/92,2.92,101.04,0.87
3/1/93,3.07,95.07,-5.97
6/1/93,3.04,99.84,4.77
9/1/93,3.09,97.44,-2.4
12/1/93,2.96,97.87,0.43
3/1/94,3.34,98.24,0.37
6/1/94,4.25,98.64,0.4
9/1/94,4.73,97.41,-1.23
12/1/94,5.45,97.24,-0.17
3/1/95,5.98,97.22,-0.02
6/1/95,6,98.41,1.19
9/1/95,5.8,98.66,0.25
12/1/95,5.6,97.96,-0.7
3/1/96,5.31,101.26,3.3
6/1/96,5.27,100.77,-0.49
9/1/96,5.3,102.53,1.76
12/1/96,5.29,101.35,-1.18
3/1/97,5.39,102.1,0.75
6/1/97,5.56,102.52,0.42
9/1/97,5.54,102.79,0.27
12/1/97,5.5,105.78,2.99
3/1/98,5.49,106.41,0.63
6/1/98,5.56,107.92,1.51
9/1/98,5.51,109.17,1.25
12/1/98,4.68,112.67,3.5
3/1/99,4.81,113.53,0.86
6/1/99,4.76,116.07,2.54
9/1/99,5.22,118.76,2.69
12/1/99,5.3,121.01,2.25
3/1/00,5.85,122.14,1.13
6/1/00,6.53,127.06,4.92
9/1/00,6.52,129.83,2.77
12/1/00,6.4,132.85,3.02
3/1/01,5.31,137.04,4.19
6/1/01,3.97,139.69,2.65
9/1/01,3.07,145.16,5.47
12/1/01,1.82,147.03,1.87
3/1/02,1.73,152.17,5.14
6/1/02,1.75,156.84,4.67
9/1/02,1.75,161.87,5.03
12/1/02,1.24,165.65,3.78
3/1/03,1.25,169.81,4.16
6/1/03,1.22,173.32,3.51
9/1/03,1.01,177.29,3.97
12/1/03,0.98,186.15,8.86
3/1/04,1,185.82,-0.33
6/1/04,1.03,194.38,8.56
9/1/04,1.61,199.65,5.27
12/1/04,2.16,203.55,3.9
3/1/05,2.63,209.63,6.08
6/1/05,3.04,213.93,4.3
9/1/05,3.62,217.94,4.01
12/1/05,4.16,219.78,1.84
3/1/06,4.59,219.88,0.1
6/1/06,4.99,219.24,-0.64
9/1/06,5.25,219.47,0.23
12/1/06,5.24,218.56,-0.91
3/1/07,5.26,219.06,0.5
6/1/07,5.25,220.15,1.09
9/1/07,4.94,219.14,-1.01
12/1/07,4.24,219.81,0.67
3/1/08,2.61,216.14,-3.67
6/1/08,2,214.75,-1.39
9/1/08,1.81,213.92,-0.83
12/1/08,0.16,205.38,-8.54
3/1/09,0.18,211.15,5.77
6/1/09,0.21,210.24,-0.91
9/1/09,0.15,205.27,-4.97
12/1/09,0.12,203.74,-1.53
3/1/10,0.16,203.04,-0.7
6/1/10,0.18,199.63,-3.41
9/1/10,0.19,202.05,2.42
12/1/10,0.18,200.32,-1.73
3/1/11,0.14,196.44,-3.88
6/1/11,0.09,195.62,-0.82
9/1/11,0.08,197.85,2.23
12/1/11,0.07,198.69,0.84
3/1/12,0.13,194.34,-4.35
6/1/12,0.16,195.74,1.4
9/1/12,0.14,193.08,-2.66
12/1/12,0.16,198.2,5.12
3/1/13,0.14,202.52,4.32
6/1/13,0.09,200.85,-1.67
9/1/13,0.08,201.37,0.52
12/1/13,0.09,199.82,-1.55
3/1/14,0.08,203.64,3.82
6/1/14,0.1,204.49,0.85
9/1/14,0.09,207.62,3.13
12/1/14,0.12,204.23,-3.39
3/1/15,0.11,205.81,1.58
6/1/15,0.13,212.74,6.93
9/1/15,0.14,211.01,-1.73
12/1/15,0.24,212.29,1.28
3/1/16,0.36,218.16,5.87
6/1/16,0.38,217.22,-0.94
9/1/16,0.4,220.75,3.53
12/1/16,0.54,228.78,8.03
3/1/17,0.79,227.88,-0.9
6/1/17,1.04,231.72,3.84
9/1/17,1.15,235.47,3.75
12/1/17,1.3,238.7,3.23
3/1/18,1.51,239.39,0.69
6/1/18,1.82,247.71,8.32
9/1/18,1.95,248.96,1.25
12/1/18,2.27,254.11,5.15
3/1/19,2.41,256.53,2.42
6/1/19,2.38,260.93,4.4
9/1/19,2.04,266.72,5.79
12/1/19,1.55,267.04,0.32
3/1/20,0.65,276.75,9.71
6/1/20,0.08,277.85,1.1
