date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.86,0.86
9/1/91,5.45,101.29,0.43
12/1/91,4.43,102.25,0.96
3/1/92,3.98,103.73,1.48
6/1/92,3.76,103.93,0.2
9/1/92,3.22,104.84,0.91
12/1/92,2.92,105.97,1.13
3/1/93,3.07,105.65,-0.32
6/1/93,3.04,107.02,1.37
9/1/93,3.09,108,0.98
12/1/93,2.96,109.29,1.29
3/1/94,3.34,110.64,1.35
6/1/94,4.25,112.13,1.49
9/1/94,4.73,113.88,1.75
12/1/94,5.45,115.63,1.75
3/1/95,5.98,117.87,2.24
6/1/95,6,120.27,2.4
9/1/95,5.8,122.67,2.4
12/1/95,5.6,125.31,2.64
3/1/96,5.31,127.82,2.51
6/1/96,5.27,130.32,2.5
9/1/96,5.3,132.66,2.34
12/1/96,5.29,134.79,2.13
3/1/97,5.39,136.97,2.18
6/1/97,5.56,139.02,2.05
9/1/97,5.54,140.66,1.64
12/1/97,5.5,143.02,2.36
3/1/98,5.49,145.08,2.06
6/1/98,5.56,147.46,2.38
9/1/98,5.51,149.93,2.47
12/1/98,4.68,152.69,2.76
3/1/99,4.81,155.27,2.58
6/1/99,4.76,157.7,2.43
9/1/99,5.22,160.27,2.57
12/1/99,5.3,162.87,2.6
3/1/00,5.85,165.85,2.98
6/1/00,6.53,168.8,2.95
9/1/00,6.52,171.15,2.35
12/1/00,6.4,173.18,2.03
3/1/01,5.31,175.35,2.17
6/1/01,3.97,177.25,1.9
9/1/01,3.07,179.5,2.25
12/1/01,1.82,181.19,1.69
3/1/02,1.73,183.03,1.84
6/1/02,1.75,184.76,1.73
9/1/02,1.75,186.08,1.32
12/1/02,1.24,188.18,2.1
3/1/03,1.25,189.75,1.57
6/1/03,1.22,190.35,0.6
9/1/03,1.01,192.7,2.35
12/1/03,0.98,194.19,1.49
3/1/04,1,195.81,1.62
6/1/04,1.03,196.93,1.12
9/1/04,1.61,198.09,1.16
12/1/04,2.16,199.74,1.65
3/1/05,2.63,200.51,0.77
6/1/05,3.04,200.76,0.25
9/1/05,3.62,201.05,0.29
12/1/05,4.16,199.97,-1.08
3/1/06,4.59,197.69,-2.28
6/1/06,4.99,196.31,-1.38
9/1/06,5.25,194.26,-2.05
12/1/06,5.24,191.44,-2.82
3/1/07,5.26,189.24,-2.2
6/1/07,5.25,185.69,-3.55
9/1/07,4.94,180.1,-5.59
12/1/07,4.24,173.65,-6.45
3/1/08,2.61,168.82,-4.83
6/1/08,2,162.31,-6.51
9/1/08,1.81,157.9,-4.41
12/1/08,0.16,151.47,-6.43
3/1/09,0.18,157.88,6.41
6/1/09,0.21,151.99,-5.89
9/1/09,0.15,148.23,-3.76
12/1/09,0.12,146.52,-1.71
3/1/10,0.16,144.37,-2.15
6/1/10,0.18,144.7,0.33
9/1/10,0.19,143.41,-1.29
12/1/10,0.18,142.89,-0.52
3/1/11,0.14,139.57,-3.32
6/1/11,0.09,137.71,-1.86
9/1/11,0.08,140.12,2.41
12/1/11,0.07,141.04,0.92
3/1/12,0.13,141.66,0.62
6/1/12,0.16,145.86,4.2
9/1/12,0.14,148.15,2.29
12/1/12,0.16,151.05,2.9
3/1/13,0.14,156.09,5.04
6/1/13,0.09,159.88,3.79
9/1/13,0.08,162.67,2.79
12/1/13,0.09,164.57,1.9
3/1/14,0.08,167.86,3.29
6/1/14,0.1,170.26,2.4
9/1/14,0.09,173.75,3.49
12/1/14,0.12,176.31,2.56
3/1/15,0.11,177.93,1.62
6/1/15,0.13,181.51,3.58
9/1/15,0.14,182.72,1.21
12/1/15,0.24,187,4.28
3/1/16,0.36,189.59,2.59
6/1/16,0.38,191.96,2.37
9/1/16,0.4,195.94,3.98
12/1/16,0.54,199.23,3.29
3/1/17,0.79,203.47,4.24
6/1/17,1.04,207.45,3.98
9/1/17,1.15,210.96,3.51
12/1/17,1.3,215.12,4.16
3/1/18,1.51,219.74,4.62
6/1/18,1.82,223.19,3.45
9/1/18,1.95,227,3.81
12/1/18,2.27,231.25,4.25
3/1/19,2.41,234.43,3.18
6/1/19,2.38,237.63,3.2
9/1/19,2.04,240.37,2.74
12/1/19,1.55,243.54,3.17
3/1/20,0.65,247.39,3.85
6/1/20,0.08,249.78,2.39
