date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,98.75,-1.25
9/1/91,5.45,99.25,0.5
12/1/91,4.43,100.34,1.09
3/1/92,3.98,101.24,0.9
6/1/92,3.76,102.16,0.92
9/1/92,3.22,103.48,1.32
12/1/92,2.92,104.37,0.89
3/1/93,3.07,105.55,1.18
6/1/93,3.04,107,1.45
9/1/93,3.09,108.27,1.27
12/1/93,2.96,109.48,1.21
3/1/94,3.34,111.33,1.85
6/1/94,4.25,112.23,0.9
9/1/94,4.73,112.64,0.41
12/1/94,5.45,113.9,1.26
3/1/95,5.98,114.17,0.27
6/1/95,6,115.66,1.49
9/1/95,5.8,117.53,1.87
12/1/95,5.6,118.98,1.45
3/1/96,5.31,120.19,1.21
6/1/96,5.27,121.84,1.65
9/1/96,5.3,122.63,0.79
12/1/96,5.29,124.48,1.85
3/1/97,5.39,125.46,0.98
6/1/97,5.56,126.12,0.66
9/1/97,5.54,127.75,1.63
12/1/97,5.5,128.74,0.99
3/1/98,5.49,130.84,2.1
6/1/98,5.56,133.05,2.21
9/1/98,5.51,136.15,3.1
12/1/98,4.68,139.55,3.4
3/1/99,4.81,142.35,2.8
6/1/99,4.76,146.66,4.31
9/1/99,5.22,150.07,3.41
12/1/99,5.3,153.71,3.64
3/1/00,5.85,158.49,4.78
6/1/00,6.53,162.83,4.34
9/1/00,6.52,167.1,4.27
12/1/00,6.4,172.01,4.91
3/1/01,5.31,176.86,4.85
6/1/01,3.97,181.77,4.91
9/1/01,3.07,186.31,4.54
12/1/01,1.82,189.67,3.36
3/1/02,1.73,193.69,4.02
6/1/02,1.75,198.71,5.02
9/1/02,1.75,203.36,4.65
12/1/02,1.24,207.51,4.15
3/1/03,1.25,212.05,4.54
6/1/03,1.22,215.65,3.6
9/1/03,1.01,219.24,3.59
12/1/03,0.98,224.85,5.61
3/1/04,1,228.25,3.4
6/1/04,1.03,231.53,3.28
9/1/04,1.61,235.89,4.36
12/1/04,2.16,239.17,3.28
3/1/05,2.63,241.8,2.63
6/1/05,3.04,245.34,3.54
9/1/05,3.62,248.64,3.3
12/1/05,4.16,251.99,3.35
3/1/06,4.59,252.04,0.05
6/1/06,4.99,251.87,-0.17
9/1/06,5.25,250.21,-1.66
12/1/06,5.24,249.38,-0.83
3/1/07,5.26,251.47,2.09
6/1/07,5.25,248.96,-2.51
9/1/07,4.94,244.99,-3.97
12/1/07,4.24,238.96,-6.03
3/1/08,2.61,234.93,-4.03
6/1/08,2,228.34,-6.59
9/1/08,1.81,224.37,-3.97
12/1/08,0.16,216.52,-7.85
3/1/09,0.18,219.52,3
6/1/09,0.21,215.9,-3.62
9/1/09,0.15,212.26,-3.64
12/1/09,0.12,212.36,0.1
3/1/10,0.16,209.47,-2.89
6/1/10,0.18,210.32,0.85
9/1/10,0.19,206.3,-4.02
12/1/10,0.18,204.68,-1.62
3/1/11,0.14,196.03,-8.65
6/1/11,0.09,194.11,-1.92
9/1/11,0.08,195.85,1.74
12/1/11,0.07,197.12,1.27
3/1/12,0.13,196.97,-0.15
6/1/12,0.16,200.57,3.6
9/1/12,0.14,204.41,3.84
12/1/12,0.16,207.31,2.9
3/1/13,0.14,212.74,5.43
6/1/13,0.09,215.19,2.45
9/1/13,0.08,220.7,5.51
12/1/13,0.09,221.36,0.66
3/1/14,0.08,225.16,3.8
6/1/14,0.1,226.98,1.82
9/1/14,0.09,226.77,-0.21
12/1/14,0.12,230,3.23
3/1/15,0.11,230.19,0.19
6/1/15,0.13,236.02,5.83
9/1/15,0.14,238.05,2.03
12/1/15,0.24,242.13,4.08
3/1/16,0.36,245.6,3.47
6/1/16,0.38,248.24,2.64
9/1/16,0.4,252.89,4.65
12/1/16,0.54,256.71,3.82
3/1/17,0.79,261.15,4.44
6/1/17,1.04,265.24,4.09
9/1/17,1.15,268.57,3.33
12/1/17,1.3,272.75,4.18
3/1/18,1.51,278.47,5.72
6/1/18,1.82,282.49,4.02
9/1/18,1.95,286.87,4.38
12/1/18,2.27,289.31,2.44
3/1/19,2.41,296.06,6.75
6/1/19,2.38,296.8,0.74
9/1/19,2.04,300.7,3.9
12/1/19,1.55,304.76,4.06
3/1/20,0.65,309.31,4.55
6/1/20,0.08,313.21,3.9
