date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.45,0.45
9/1/91,5.45,100.6,0.15
12/1/91,4.43,101.93,1.33
3/1/92,3.98,102.57,0.64
6/1/92,3.76,102.99,0.42
9/1/92,3.22,103.48,0.49
12/1/92,2.92,104.1,0.62
3/1/93,3.07,104.15,0.05
6/1/93,3.04,106.03,1.88
9/1/93,3.09,107.41,1.38
12/1/93,2.96,108.98,1.57
3/1/94,3.34,110.61,1.63
6/1/94,4.25,111.87,1.26
9/1/94,4.73,113.14,1.27
12/1/94,5.45,113.82,0.68
3/1/95,5.98,115.21,1.39
6/1/95,6,116.27,1.06
9/1/95,5.8,118.03,1.76
12/1/95,5.6,119.2,1.17
3/1/96,5.31,120.07,0.87
6/1/96,5.27,121.84,1.77
9/1/96,5.3,122.74,0.9
12/1/96,5.29,123.98,1.24
3/1/97,5.39,125.19,1.21
6/1/97,5.56,125.35,0.16
9/1/97,5.54,126.25,0.9
12/1/97,5.5,127.76,1.51
3/1/98,5.49,129.21,1.45
6/1/98,5.56,130.8,1.59
9/1/98,5.51,132.64,1.84
12/1/98,4.68,134.72,2.08
3/1/99,4.81,136.87,2.15
6/1/99,4.76,138.39,1.52
9/1/99,5.22,140.39,2
12/1/99,5.3,141.51,1.12
3/1/00,5.85,143.59,2.08
6/1/00,6.53,146.38,2.79
9/1/00,6.52,147.59,1.21
12/1/00,6.4,150.29,2.7
3/1/01,5.31,151.55,1.26
6/1/01,3.97,154.86,3.31
9/1/01,3.07,156.79,1.93
12/1/01,1.82,158.64,1.85
3/1/02,1.73,160.21,1.57
6/1/02,1.75,162.1,1.89
9/1/02,1.75,164.06,1.96
12/1/02,1.24,166.7,2.64
3/1/03,1.25,169.14,2.44
6/1/03,1.22,170.61,1.47
9/1/03,1.01,173.61,3
12/1/03,0.98,176.3,2.69
3/1/04,1,179.14,2.84
6/1/04,1.03,181.01,1.87
9/1/04,1.61,183.07,2.06
12/1/04,2.16,186.51,3.44
3/1/05,2.63,188.17,1.66
6/1/05,3.04,191.77,3.6
9/1/05,3.62,194.28,2.51
12/1/05,4.16,197.39,3.11
3/1/06,4.59,200.08,2.69
6/1/06,4.99,200.56,0.48
9/1/06,5.25,202.05,1.49
12/1/06,5.24,203.18,1.13
3/1/07,5.26,204.71,1.53
6/1/07,5.25,204.01,-0.7
9/1/07,4.94,204.06,0.05
12/1/07,4.24,201.18,-2.88
3/1/08,2.61,196.88,-4.3
6/1/08,2,196.33,-0.55
9/1/08,1.81,192.87,-3.46
12/1/08,0.16,190.64,-2.23
3/1/09,0.18,191.43,0.79
6/1/09,0.21,189.66,-1.77
9/1/09,0.15,187.97,-1.69
12/1/09,0.12,189.05,1.08
3/1/10,0.16,184.83,-4.22
6/1/10,0.18,186.91,2.08
9/1/10,0.19,182.9,-4.01
12/1/10,0.18,177.94,-4.96
3/1/11,0.14,175.26,-2.68
6/1/11,0.09,174.24,-1.02
9/1/11,0.08,176.09,1.85
12/1/11,0.07,176.69,0.6
3/1/12,0.13,177.52,0.83
6/1/12,0.16,178.69,1.17
9/1/12,0.14,179.13,0.44
12/1/12,0.16,180.96,1.83
3/1/13,0.14,183.28,2.32
6/1/13,0.09,184.59,1.31
9/1/13,0.08,186.56,1.97
12/1/13,0.09,187.12,0.56
3/1/14,0.08,188.56,1.44
6/1/14,0.1,190.36,1.8
9/1/14,0.09,192.21,1.85
12/1/14,0.12,195.1,2.89
3/1/15,0.11,194.91,-0.19
6/1/15,0.13,197.89,2.98
9/1/15,0.14,200.29,2.4
12/1/15,0.24,202.9,2.61
3/1/16,0.36,208.74,5.84
6/1/16,0.38,207.49,-1.25
9/1/16,0.4,211.28,3.79
12/1/16,0.54,214,2.72
3/1/17,0.79,215.68,1.68
6/1/17,1.04,220.54,4.86
9/1/17,1.15,222.78,2.24
12/1/17,1.3,225.28,2.5
3/1/18,1.51,230.7,5.42
6/1/18,1.82,232.97,2.27
9/1/18,1.95,237.29,4.32
12/1/18,2.27,241.12,3.83
3/1/19,2.41,242.38,1.26
6/1/19,2.38,246.58,4.2
9/1/19,2.04,249.74,3.16
12/1/19,1.55,255.35,5.61
3/1/20,0.65,259.77,4.42
6/1/20,0.08,262.44,2.67
