date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,99.13,-0.87
9/1/91,5.45,99.41,0.28
12/1/91,4.43,101.02,1.61
3/1/92,3.98,103.47,2.45
6/1/92,3.76,103.82,0.35
9/1/92,3.22,104.12,0.3
12/1/92,2.92,104.4,0.28
3/1/93,3.07,105.4,1
6/1/93,3.04,106.42,1.02
9/1/93,3.09,108.28,1.86
12/1/93,2.96,109.83,1.55
3/1/94,3.34,111.51,1.68
6/1/94,4.25,113.26,1.75
9/1/94,4.73,114.37,1.11
12/1/94,5.45,115.84,1.47
3/1/95,5.98,116.49,0.65
6/1/95,6,118.03,1.54
9/1/95,5.8,119.21,1.18
12/1/95,5.6,120.41,1.2
3/1/96,5.31,120.91,0.5
6/1/96,5.27,121.66,0.75
9/1/96,5.3,124.39,2.73
12/1/96,5.29,124.83,0.44
3/1/97,5.39,125.52,0.69
6/1/97,5.56,126.57,1.05
9/1/97,5.54,126.94,0.37
12/1/97,5.5,127.83,0.89
3/1/98,5.49,130.04,2.21
6/1/98,5.56,131.25,1.21
9/1/98,5.51,132.12,0.87
12/1/98,4.68,134.6,2.48
3/1/99,4.81,136.32,1.72
6/1/99,4.76,137.39,1.07
9/1/99,5.22,138.65,1.26
12/1/99,5.3,138.45,-0.2
3/1/00,5.85,139.53,1.08
6/1/00,6.53,141.69,2.16
9/1/00,6.52,142.99,1.3
12/1/00,6.4,142.98,-0.01
3/1/01,5.31,143.5,0.52
6/1/01,3.97,144.9,1.4
9/1/01,3.07,146.28,1.38
12/1/01,1.82,147.65,1.37
3/1/02,1.73,148.37,0.72
6/1/02,1.75,147.72,-0.65
9/1/02,1.75,150.14,2.42
12/1/02,1.24,152.56,2.42
3/1/03,1.25,153.56,1
6/1/03,1.22,154.16,0.6
9/1/03,1.01,155.18,1.02
12/1/03,0.98,155.73,0.55
3/1/04,1,158.05,2.32
6/1/04,1.03,160.43,2.38
9/1/04,1.61,162.35,1.92
12/1/04,2.16,162.81,0.46
3/1/05,2.63,166.89,4.08
6/1/05,3.04,168.59,1.7
9/1/05,3.62,173.24,4.65
12/1/05,4.16,178.46,5.22
3/1/06,4.59,181.63,3.17
6/1/06,4.99,185.96,4.33
9/1/06,5.25,188.56,2.6
12/1/06,5.24,191.96,3.4
3/1/07,5.26,197,5.04
6/1/07,5.25,194.41,-2.59
9/1/07,4.94,193.48,-0.93
12/1/07,4.24,194.29,0.81
3/1/08,2.61,193.05,-1.24
6/1/08,2,191.71,-1.34
9/1/08,1.81,185.86,-5.85
12/1/08,0.16,186.87,1.01
3/1/09,0.18,181.04,-5.83
6/1/09,0.21,181.87,0.83
9/1/09,0.15,182.64,0.77
12/1/09,0.12,178.24,-4.4
3/1/10,0.16,176.14,-2.1
6/1/10,0.18,175.94,-0.2
9/1/10,0.19,177.13,1.19
12/1/10,0.18,173.14,-3.99
3/1/11,0.14,171.8,-1.34
6/1/11,0.09,172.77,0.97
9/1/11,0.08,172.36,-0.41
12/1/11,0.07,175.74,3.38
3/1/12,0.13,173.79,-1.95
6/1/12,0.16,173.78,-0.01
9/1/12,0.14,176.87,3.09
12/1/12,0.16,176.53,-0.34
3/1/13,0.14,180,3.47
6/1/13,0.09,180.63,0.63
9/1/13,0.08,178,-2.63
12/1/13,0.09,178.6,0.6
3/1/14,0.08,179.72,1.12
6/1/14,0.1,181.42,1.7
9/1/14,0.09,182.68,1.26
12/1/14,0.12,182.61,-0.07
3/1/15,0.11,185.14,2.53
6/1/15,0.13,185.21,0.07
9/1/15,0.14,186.95,1.74
12/1/15,0.24,190.64,3.69
3/1/16,0.36,190.9,0.26
6/1/16,0.38,191.25,0.35
9/1/16,0.4,192.45,1.2
12/1/16,0.54,195.91,3.46
3/1/17,0.79,196.06,0.15
6/1/17,1.04,196.42,0.36
9/1/17,1.15,200.55,4.13
12/1/17,1.3,195.4,-5.15
3/1/18,1.51,201.19,5.79
6/1/18,1.82,204.08,2.89
9/1/18,1.95,206.01,1.93
12/1/18,2.27,209.78,3.77
3/1/19,2.41,205.95,-3.83
6/1/19,2.38,211.66,5.71
9/1/19,2.04,213.61,1.95
12/1/19,1.55,214.79,1.18
3/1/20,0.65,218.92,4.13
6/1/20,0.08,219.25,0.33
