date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,104.61,4.61
9/1/91,5.45,107.07,2.46
12/1/91,4.43,109.87,2.8
3/1/92,3.98,112.03,2.16
6/1/92,3.76,113.59,1.56
9/1/92,3.22,117.7,4.11
12/1/92,2.92,120.72,3.02
3/1/93,3.07,124.89,4.17
6/1/93,3.04,128.65,3.76
9/1/93,3.09,131.43,2.78
12/1/93,2.96,136.13,4.7
3/1/94,3.34,137.52,1.39
6/1/94,4.25,144.77,7.25
9/1/94,4.73,143.18,-1.59
12/1/94,5.45,146.23,3.05
3/1/95,5.98,148.19,1.96
6/1/95,6,149.61,1.42
9/1/95,5.8,153.5,3.89
12/1/95,5.6,153.51,0.01
3/1/96,5.31,154.36,0.85
6/1/96,5.27,157.17,2.81
9/1/96,5.3,159.13,1.96
12/1/96,5.29,158.48,-0.65
3/1/97,5.39,161.75,3.27
6/1/97,5.56,160.6,-1.15
9/1/97,5.54,159.89,-0.71
12/1/97,5.5,161.89,2
3/1/98,5.49,163.27,1.38
6/1/98,5.56,163.87,0.6
9/1/98,5.51,164.64,0.77
12/1/98,4.68,166.28,1.64
3/1/99,4.81,166.53,0.25
6/1/99,4.76,169.38,2.85
9/1/99,5.22,171.98,2.6
12/1/99,5.3,172.49,0.51
3/1/00,5.85,174.37,1.88
6/1/00,6.53,175.91,1.54
9/1/00,6.52,178.62,2.71
12/1/00,6.4,179.39,0.77
3/1/01,5.31,185.94,6.55
6/1/01,3.97,185.95,0.01
9/1/01,3.07,185.96,0.01
12/1/01,1.82,190.83,4.87
3/1/02,1.73,194.65,3.82
6/1/02,1.75,195.48,0.83
9/1/02,1.75,200.37,4.89
12/1/02,1.24,204.51,4.14
3/1/03,1.25,207.16,2.65
6/1/03,1.22,213.77,6.61
9/1/03,1.01,219.09,5.32
12/1/03,0.98,222.89,3.8
3/1/04,1,226.15,3.26
6/1/04,1.03,234.34,8.19
9/1/04,1.61,240.69,6.35
12/1/04,2.16,245.72,5.03
3/1/05,2.63,252.52,6.8
6/1/05,3.04,261.78,9.26
9/1/05,3.62,267.18,5.4
12/1/05,4.16,275.48,8.3
3/1/06,4.59,285.77,10.29
6/1/06,4.99,290.61,4.84
9/1/06,5.25,298.2,7.59
12/1/06,5.24,303.18,4.98
3/1/07,5.26,306.71,3.53
6/1/07,5.25,313.17,6.46
9/1/07,4.94,313.6,0.43
12/1/07,4.24,317.8,4.2
3/1/08,2.61,315.96,-1.84
6/1/08,2,312.52,-3.44
9/1/08,1.81,311.62,-0.9
12/1/08,0.16,301.63,-9.99
3/1/09,0.18,305.94,4.31
6/1/09,0.21,300.58,-5.36
9/1/09,0.15,300.06,-0.52
12/1/09,0.12,298.78,-1.28
3/1/10,0.16,296.99,-1.79
6/1/10,0.18,293.19,-3.8
9/1/10,0.19,290.65,-2.54
12/1/10,0.18,280.82,-9.83
3/1/11,0.14,274.12,-6.7
6/1/11,0.09,286.16,12.04
9/1/11,0.08,282.54,-3.62
12/1/11,0.07,286.61,4.07
3/1/12,0.13,286.57,-0.04
6/1/12,0.16,289.8,3.23
9/1/12,0.14,292.2,2.4
12/1/12,0.16,301.67,9.47
3/1/13,0.14,306.8,5.13
6/1/13,0.09,307.83,1.03
9/1/13,0.08,308.34,0.51
12/1/13,0.09,313.47,5.13
3/1/14,0.08,316.36,2.89
6/1/14,0.1,320.62,4.26
9/1/14,0.09,325.45,4.83
12/1/14,0.12,324.38,-1.07
3/1/15,0.11,331.18,6.8
6/1/15,0.13,331.98,0.8
9/1/15,0.14,336.98,5
12/1/15,0.24,339.4,2.42
3/1/16,0.36,344.17,4.77
6/1/16,0.38,347.88,3.71
9/1/16,0.4,350.55,2.67
12/1/16,0.54,362.57,12.02
3/1/17,0.79,358.09,-4.48
6/1/17,1.04,369.1,11.01
9/1/17,1.15,374.98,5.88
12/1/17,1.3,379.48,4.5
3/1/18,1.51,382.85,3.37
6/1/18,1.82,389.86,7.01
9/1/18,1.95,395.31,5.45
12/1/18,2.27,401.7,6.39
3/1/19,2.41,399.29,-2.41
6/1/19,2.38,414.83,15.54
9/1/19,2.04,417.84,3.01
12/1/19,1.55,423.03,5.19
3/1/20,0.65,437.96,14.93
6/1/20,0.08,435.88,-2.08
