date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.11,0.11
9/1/91,5.45,99.76,-0.35
12/1/91,4.43,101.05,1.29
3/1/92,3.98,102,0.95
6/1/92,3.76,102.07,0.07
9/1/92,3.22,103.44,1.37
12/1/92,2.92,104.23,0.79
3/1/93,3.07,104.04,-0.19
6/1/93,3.04,105.76,1.72
9/1/93,3.09,106.67,0.91
12/1/93,2.96,107.88,1.21
3/1/94,3.34,109.36,1.48
6/1/94,4.25,111.07,1.71
9/1/94,4.73,112.77,1.7
12/1/94,5.45,114.18,1.41
3/1/95,5.98,115.44,1.26
6/1/95,6,116.17,0.73
9/1/95,5.8,117.67,1.5
12/1/95,5.6,119.05,1.38
3/1/96,5.31,120.7,1.65
6/1/96,5.27,121.81,1.11
9/1/96,5.3,123.62,1.81
12/1/96,5.29,124.19,0.57
3/1/97,5.39,125.81,1.62
6/1/97,5.56,127.47,1.66
9/1/97,5.54,128.11,0.64
12/1/97,5.5,129.75,1.64
3/1/98,5.49,130.7,0.95
6/1/98,5.56,132.04,1.34
9/1/98,5.51,133.49,1.45
12/1/98,4.68,135.06,1.57
3/1/99,4.81,136.54,1.48
6/1/99,4.76,138.11,1.57
9/1/99,5.22,139.19,1.08
12/1/99,5.3,140.98,1.79
3/1/00,5.85,141.57,0.59
6/1/00,6.53,143.27,1.7
9/1/00,6.52,145.1,1.83
12/1/00,6.4,146.05,0.95
3/1/01,5.31,147.56,1.51
6/1/01,3.97,148.49,0.93
9/1/01,3.07,149.28,0.79
12/1/01,1.82,149.7,0.42
3/1/02,1.73,151.43,1.73
6/1/02,1.75,152.32,0.89
9/1/02,1.75,153.78,1.46
12/1/02,1.24,155.07,1.29
3/1/03,1.25,156.35,1.28
6/1/03,1.22,157.38,1.03
9/1/03,1.01,158.46,1.08
12/1/03,0.98,159.91,1.45
3/1/04,1,161.41,1.5
6/1/04,1.03,164.97,3.56
9/1/04,1.61,166.11,1.14
12/1/04,2.16,169.19,3.08
3/1/05,2.63,172.45,3.26
6/1/05,3.04,174.95,2.5
9/1/05,3.62,178.61,3.66
12/1/05,4.16,182.6,3.99
3/1/06,4.59,186.35,3.75
6/1/06,4.99,188.77,2.42
9/1/06,5.25,192.18,3.41
12/1/06,5.24,196.41,4.23
3/1/07,5.26,198.6,2.19
6/1/07,5.25,199.4,0.8
9/1/07,4.94,201.4,2
12/1/07,4.24,200.41,-0.99
3/1/08,2.61,200.1,-0.31
6/1/08,2,200.72,0.62
9/1/08,1.81,196.67,-4.05
12/1/08,0.16,192.11,-4.56
3/1/09,0.18,197.09,4.98
6/1/09,0.21,193.07,-4.02
9/1/09,0.15,191.17,-1.9
12/1/09,0.12,188.08,-3.09
3/1/10,0.16,185.12,-2.96
6/1/10,0.18,183.71,-1.41
9/1/10,0.19,180.11,-3.6
12/1/10,0.18,181.36,1.25
3/1/11,0.14,173.37,-7.99
6/1/11,0.09,173.14,-0.23
9/1/11,0.08,173.57,0.43
12/1/11,0.07,175.33,1.76
3/1/12,0.13,173.18,-2.15
6/1/12,0.16,173.61,0.43
9/1/12,0.14,175.08,1.47
12/1/12,0.16,175.05,-0.03
3/1/13,0.14,179.94,4.89
6/1/13,0.09,180.58,0.64
9/1/13,0.08,182.88,2.3
12/1/13,0.09,183.81,0.93
3/1/14,0.08,184.96,1.15
6/1/14,0.1,187.97,3.01
9/1/14,0.09,187.73,-0.24
12/1/14,0.12,189.45,1.72
3/1/15,0.11,192.81,3.36
6/1/15,0.13,196.04,3.23
9/1/15,0.14,199.64,3.6
12/1/15,0.24,202.23,2.59
3/1/16,0.36,204.92,2.69
6/1/16,0.38,207.57,2.65
9/1/16,0.4,211.76,4.19
12/1/16,0.54,215.35,3.59
3/1/17,0.79,215.93,0.58
6/1/17,1.04,222.81,6.88
9/1/17,1.15,225.36,2.55
12/1/17,1.3,229.97,4.61
3/1/18,1.51,235.25,5.28
6/1/18,1.82,238.31,3.06
9/1/18,1.95,241.94,3.63
12/1/18,2.27,245.2,3.26
3/1/19,2.41,248.12,2.92
6/1/19,2.38,253.35,5.23
9/1/19,2.04,256.06,2.71
12/1/19,1.55,261.12,5.06
3/1/20,0.65,266.14,5.02
6/1/20,0.08,268.39,2.25
