date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,99.8,-0.2
9/1/91,5.45,99.25,-0.55
12/1/91,4.43,100.58,1.33
3/1/92,3.98,102.14,1.56
6/1/92,3.76,103.2,1.06
9/1/92,3.22,103.5,0.3
12/1/92,2.92,105.26,1.76
3/1/93,3.07,107.09,1.83
6/1/93,3.04,109.34,2.25
9/1/93,3.09,112.21,2.87
12/1/93,2.96,113.87,1.66
3/1/94,3.34,114.59,0.72
6/1/94,4.25,116.92,2.33
9/1/94,4.73,118.05,1.13
12/1/94,5.45,119.28,1.23
3/1/95,5.98,121.76,2.48
6/1/95,6,122.22,0.46
9/1/95,5.8,119.99,-2.23
12/1/95,5.6,123.38,3.39
3/1/96,5.31,123.13,-0.25
6/1/96,5.27,123.89,0.76
9/1/96,5.3,126.24,2.35
12/1/96,5.29,125.92,-0.32
3/1/97,5.39,127.11,1.19
6/1/97,5.56,127.02,-0.09
9/1/97,5.54,129.21,2.19
12/1/97,5.5,129.58,0.37
3/1/98,5.49,128.86,-0.72
6/1/98,5.56,131.88,3.02
9/1/98,5.51,133.49,1.61
12/1/98,4.68,136.05,2.56
3/1/99,4.81,135.03,-1.02
6/1/99,4.76,136.04,1.01
9/1/99,5.22,136.29,0.25
12/1/99,5.3,135.85,-0.44
3/1/00,5.85,139.57,3.72
6/1/00,6.53,139.02,-0.55
9/1/00,6.52,140.28,1.26
12/1/00,6.4,138.02,-2.26
3/1/01,5.31,142.94,4.92
6/1/01,3.97,142.84,-0.1
9/1/01,3.07,142.17,-0.67
12/1/01,1.82,147.04,4.87
3/1/02,1.73,147.15,0.11
6/1/02,1.75,150.06,2.91
9/1/02,1.75,152.64,2.58
12/1/02,1.24,156.34,3.7
3/1/03,1.25,157.72,1.38
6/1/03,1.22,159.22,1.5
9/1/03,1.01,161.73,2.51
12/1/03,0.98,164.01,2.28
3/1/04,1,166.36,2.35
6/1/04,1.03,170.16,3.8
9/1/04,1.61,173.77,3.61
12/1/04,2.16,176.49,2.72
3/1/05,2.63,179.86,3.37
6/1/05,3.04,183.36,3.5
9/1/05,3.62,186.02,2.66
12/1/05,4.16,191.12,5.1
3/1/06,4.59,190.15,-0.97
6/1/06,4.99,197.27,7.12
9/1/06,5.25,198.16,0.89
12/1/06,5.24,200.12,1.96
3/1/07,5.26,203.09,2.97
6/1/07,5.25,204.67,1.58
9/1/07,4.94,207.1,2.43
12/1/07,4.24,206.56,-0.54
3/1/08,2.61,209.42,2.86
6/1/08,2,210.09,0.67
9/1/08,1.81,211.22,1.13
12/1/08,0.16,210.88,-0.34
3/1/09,0.18,209.99,-0.89
6/1/09,0.21,214.58,4.59
9/1/09,0.15,214.66,0.08
12/1/09,0.12,214.35,-0.31
3/1/10,0.16,221.22,6.87
6/1/10,0.18,216.13,-5.09
9/1/10,0.19,215.88,-0.25
12/1/10,0.18,222.23,6.35
3/1/11,0.14,222.59,0.36
6/1/11,0.09,224.76,2.17
9/1/11,0.08,227.79,3.03
12/1/11,0.07,232.15,4.36
3/1/12,0.13,236.05,3.9
6/1/12,0.16,242.55,6.5
9/1/12,0.14,247.17,4.62
12/1/12,0.16,253.63,6.46
3/1/13,0.14,256.62,2.99
6/1/13,0.09,261.26,4.64
9/1/13,0.08,267.25,5.99
12/1/13,0.09,267.84,0.59
3/1/14,0.08,275.73,7.89
6/1/14,0.1,278.24,2.51
9/1/14,0.09,285.56,7.32
12/1/14,0.12,289.99,4.43
3/1/15,0.11,295.28,5.29
6/1/15,0.13,294.3,-0.98
9/1/15,0.14,296.45,2.15
12/1/15,0.24,300.11,3.66
3/1/16,0.36,300.66,0.55
6/1/16,0.38,301.86,1.2
9/1/16,0.4,303.94,2.08
12/1/16,0.54,304.45,0.51
3/1/17,0.79,303.09,-1.36
6/1/17,1.04,305.94,2.85
9/1/17,1.15,307.56,1.62
12/1/17,1.3,307.48,-0.08
3/1/18,1.51,308.8,1.32
6/1/18,1.82,310.74,1.94
9/1/18,1.95,309.57,-1.17
12/1/18,2.27,312.65,3.08
3/1/19,2.41,320.97,8.32
6/1/19,2.38,321.16,0.19
9/1/19,2.04,321.23,0.07
12/1/19,1.55,321.27,0.04
3/1/20,0.65,322.44,1.17
6/1/20,0.08,324.62,2.18
