date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,101.15,1.15
9/1/91,5.45,101.57,0.42
12/1/91,4.43,101.6,0.03
3/1/92,3.98,106.14,4.54
6/1/92,3.76,106.66,0.52
9/1/92,3.22,108.5,1.84
12/1/92,2.92,110.36,1.86
3/1/93,3.07,112.21,1.85
6/1/93,3.04,114.02,1.81
9/1/93,3.09,116.06,2.04
12/1/93,2.96,119.8,3.74
3/1/94,3.34,120.18,0.38
6/1/94,4.25,120.76,0.58
9/1/94,4.73,123.02,2.26
12/1/94,5.45,123.68,0.66
3/1/95,5.98,125.51,1.83
6/1/95,6,127.84,2.33
9/1/95,5.8,128.97,1.13
12/1/95,5.6,130.17,1.2
3/1/96,5.31,131.71,1.54
6/1/96,5.27,133.88,2.17
9/1/96,5.3,135.62,1.74
12/1/96,5.29,136.68,1.06
3/1/97,5.39,138.64,1.96
6/1/97,5.56,140.83,2.19
9/1/97,5.54,141.62,0.79
12/1/97,5.5,144.2,2.58
3/1/98,5.49,147.01,2.81
6/1/98,5.56,146.74,-0.27
9/1/98,5.51,147.68,0.94
12/1/98,4.68,153.65,5.97
3/1/99,4.81,153.91,0.26
6/1/99,4.76,154.95,1.04
9/1/99,5.22,156.27,1.32
12/1/99,5.3,156.73,0.46
3/1/00,5.85,158.14,1.41
6/1/00,6.53,159.87,1.73
9/1/00,6.52,160.87,1
12/1/00,6.4,161.99,1.12
3/1/01,5.31,162.39,0.4
6/1/01,3.97,164.64,2.25
9/1/01,3.07,165.66,1.02
12/1/01,1.82,166.45,0.79
3/1/02,1.73,168.4,1.95
6/1/02,1.75,169.78,1.38
9/1/02,1.75,171.25,1.47
12/1/02,1.24,173.59,2.34
3/1/03,1.25,175.57,1.98
6/1/03,1.22,176.81,1.24
9/1/03,1.01,178.35,1.54
12/1/03,0.98,179.87,1.52
3/1/04,1,182.42,2.55
6/1/04,1.03,182.39,-0.03
9/1/04,1.61,186.62,4.23
12/1/04,2.16,188.33,1.71
3/1/05,2.63,190.13,1.8
6/1/05,3.04,189.42,-0.71
9/1/05,3.62,192.02,2.6
12/1/05,4.16,193.63,1.61
3/1/06,4.59,194.36,0.73
6/1/06,4.99,196.53,2.17
9/1/06,5.25,197,0.47
12/1/06,5.24,196.98,-0.02
3/1/07,5.26,198.33,1.35
6/1/07,5.25,199.35,1.02
9/1/07,4.94,197.98,-1.37
12/1/07,4.24,196.36,-1.62
3/1/08,2.61,194.15,-2.21
6/1/08,2,191.83,-2.32
9/1/08,1.81,190.93,-0.9
12/1/08,0.16,191.2,0.27
3/1/09,0.18,190.03,-1.17
6/1/09,0.21,192.28,2.25
9/1/09,0.15,193.29,1.01
12/1/09,0.12,193.73,0.44
3/1/10,0.16,189.86,-3.87
6/1/10,0.18,193.28,3.42
9/1/10,0.19,190.28,-3
12/1/10,0.18,187.33,-2.95
3/1/11,0.14,188.76,1.43
6/1/11,0.09,187.59,-1.17
9/1/11,0.08,189.48,1.89
12/1/11,0.07,190.12,0.64
3/1/12,0.13,191.81,1.69
6/1/12,0.16,194.18,2.37
9/1/12,0.14,194.72,0.54
12/1/12,0.16,199.27,4.55
3/1/13,0.14,201.31,2.04
6/1/13,0.09,201.67,0.36
9/1/13,0.08,203.11,1.44
12/1/13,0.09,207.43,4.32
3/1/14,0.08,207.25,-0.18
6/1/14,0.1,209.41,2.16
9/1/14,0.09,212.04,2.63
12/1/14,0.12,213.75,1.71
3/1/15,0.11,216.97,3.22
6/1/15,0.13,219.13,2.16
9/1/15,0.14,222.98,3.85
12/1/15,0.24,223.59,0.61
3/1/16,0.36,222.88,-0.71
6/1/16,0.38,228.8,5.92
9/1/16,0.4,231.89,3.09
12/1/16,0.54,233.56,1.67
3/1/17,0.79,238.4,4.84
6/1/17,1.04,242.69,4.29
9/1/17,1.15,245.46,2.77
12/1/17,1.3,252.41,6.95
3/1/18,1.51,257.41,5
6/1/18,1.82,259.16,1.75
9/1/18,1.95,262.98,3.82
12/1/18,2.27,267.52,4.54
3/1/19,2.41,267.36,-0.16
6/1/19,2.38,274.57,7.21
9/1/19,2.04,278.13,3.56
12/1/19,1.55,277.71,-0.42
3/1/20,0.65,285.87,8.16
6/1/20,0.08,287.81,1.94
