date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,98.5,-1.5
9/1/91,5.45,97.29,-1.21
12/1/91,4.43,95.51,-1.78
3/1/92,3.98,95.82,0.31
6/1/92,3.76,94.22,-1.6
9/1/92,3.22,92.93,-1.29
12/1/92,2.92,93.6,0.67
3/1/93,3.07,91.42,-2.18
6/1/93,3.04,92.41,0.99
9/1/93,3.09,92.45,0.04
12/1/93,2.96,92.87,0.42
3/1/94,3.34,94.47,1.6
6/1/94,4.25,93.31,-1.16
9/1/94,4.73,93.3,-0.01
12/1/94,5.45,93.98,0.68
3/1/95,5.98,92.51,-1.47
6/1/95,6,94.75,2.24
9/1/95,5.8,95.72,0.97
12/1/95,5.6,95.76,0.04
3/1/96,5.31,96.52,0.76
6/1/96,5.27,96.56,0.04
9/1/96,5.3,98.94,2.38
12/1/96,5.29,98.35,-0.59
3/1/97,5.39,99.89,1.54
6/1/97,5.56,101.74,1.85
9/1/97,5.54,102.36,0.62
12/1/97,5.5,104.4,2.04
3/1/98,5.49,106.23,1.83
6/1/98,5.56,108.52,2.29
9/1/98,5.51,111.31,2.79
12/1/98,4.68,113.6,2.29
3/1/99,4.81,116.16,2.56
6/1/99,4.76,120.29,4.13
9/1/99,5.22,122.11,1.82
12/1/99,5.3,125.52,3.41
3/1/00,5.85,130.72,5.2
6/1/00,6.53,134.82,4.1
9/1/00,6.52,139.05,4.23
12/1/00,6.4,146.3,7.25
3/1/01,5.31,149.72,3.42
6/1/01,3.97,154.48,4.76
9/1/01,3.07,160.29,5.81
12/1/01,1.82,163.79,3.5
3/1/02,1.73,167.12,3.33
6/1/02,1.75,173.6,6.48
9/1/02,1.75,180.77,7.17
12/1/02,1.24,184.92,4.15
3/1/03,1.25,189.73,4.81
6/1/03,1.22,194.14,4.41
9/1/03,1.01,198.09,3.95
12/1/03,0.98,204.13,6.04
3/1/04,1,209.47,5.34
6/1/04,1.03,213.14,3.67
9/1/04,1.61,216.37,3.23
12/1/04,2.16,223.96,7.59
3/1/05,2.63,228.38,4.42
6/1/05,3.04,231.53,3.15
9/1/05,3.62,236.07,4.54
12/1/05,4.16,237.99,1.92
3/1/06,4.59,236.89,-1.1
6/1/06,4.99,236.16,-0.73
9/1/06,5.25,233.77,-2.39
12/1/06,5.24,229.76,-4.01
3/1/07,5.26,231.79,2.03
6/1/07,5.25,230.75,-1.04
9/1/07,4.94,226.96,-3.79
12/1/07,4.24,221.89,-5.07
3/1/08,2.61,218.62,-3.27
6/1/08,2,214.13,-4.49
9/1/08,1.81,209.58,-4.55
12/1/08,0.16,203.77,-5.81
3/1/09,0.18,208.9,5.13
6/1/09,0.21,204.3,-4.6
9/1/09,0.15,198.42,-5.88
12/1/09,0.12,200.59,2.17
3/1/10,0.16,194.97,-5.62
6/1/10,0.18,195.66,0.69
9/1/10,0.19,198.09,2.43
12/1/10,0.18,193.84,-4.25
3/1/11,0.14,188.49,-5.35
6/1/11,0.09,186.98,-1.51
9/1/11,0.08,187.85,0.87
12/1/11,0.07,189.51,1.66
3/1/12,0.13,185.76,-3.75
6/1/12,0.16,186.99,1.23
9/1/12,0.14,186.77,-0.22
12/1/12,0.16,189.02,2.25
3/1/13,0.14,191.37,2.35
6/1/13,0.09,195.6,4.23
9/1/13,0.08,195.61,0.01
12/1/13,0.09,195.95,0.34
3/1/14,0.08,199.63,3.68
6/1/14,0.1,199.56,-0.07
9/1/14,0.09,202.78,3.22
12/1/14,0.12,202.94,0.16
3/1/15,0.11,208.64,5.7
6/1/15,0.13,208.67,0.03
9/1/15,0.14,212.83,4.16
12/1/15,0.24,214.77,1.94
3/1/16,0.36,214.63,-0.14
6/1/16,0.38,219.78,5.15
9/1/16,0.4,221.08,1.3
12/1/16,0.54,223.92,2.84
3/1/17,0.79,233.05,9.13
6/1/17,1.04,231.41,-1.64
9/1/17,1.15,235.61,4.2
12/1/17,1.3,239.46,3.85
3/1/18,1.51,243.78,4.32
6/1/18,1.82,246.21,2.43
9/1/18,1.95,249.02,2.81
12/1/18,2.27,254.25,5.23
3/1/19,2.41,254.57,0.32
6/1/19,2.38,262.25,7.68
9/1/19,2.04,264.97,2.72
12/1/19,1.55,269.61,4.64
3/1/20,0.65,273.14,3.53
6/1/20,0.08,276.23,3.09
