date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,99.3,-0.7
9/1/91,5.45,99.01,-0.29
12/1/91,4.43,99.75,0.74
3/1/92,3.98,101.18,1.43
6/1/92,3.76,100.45,-0.73
9/1/92,3.22,100.54,0.09
12/1/92,2.92,101.49,0.95
3/1/93,3.07,100.53,-0.96
6/1/93,3.04,101.27,0.74
9/1/93,3.09,101.3,0.03
12/1/93,2.96,101.97,0.67
3/1/94,3.34,102.38,0.41
6/1/94,4.25,102.08,-0.3
9/1/94,4.73,102.22,0.14
12/1/94,5.45,101.6,-0.62
3/1/95,5.98,101.59,-0.01
6/1/95,6,101.48,-0.11
9/1/95,5.8,101.97,0.49
12/1/95,5.6,101.75,-0.22
3/1/96,5.31,102.03,0.28
6/1/96,5.27,102.73,0.7
9/1/96,5.3,102.51,-0.22
12/1/96,5.29,102.81,0.3
3/1/97,5.39,102.83,0.02
6/1/97,5.56,103.58,0.75
9/1/97,5.54,103.88,0.3
12/1/97,5.5,105.42,1.54
3/1/98,5.49,106.9,1.48
6/1/98,5.56,108.11,1.21
9/1/98,5.51,109.46,1.35
12/1/98,4.68,110.6,1.14
3/1/99,4.81,112.54,1.94
6/1/99,4.76,114.98,2.44
9/1/99,5.22,117.68,2.7
12/1/99,5.3,119.87,2.19
3/1/00,5.85,123.07,3.2
6/1/00,6.53,126.1,3.03
9/1/00,6.52,129.04,2.94
12/1/00,6.4,133.21,4.17
3/1/01,5.31,137,3.79
6/1/01,3.97,140.07,3.07
9/1/01,3.07,145.17,5.1
12/1/01,1.82,149.27,4.1
3/1/02,1.73,153.87,4.6
6/1/02,1.75,159.95,6.08
9/1/02,1.75,166.33,6.38
12/1/02,1.24,172.68,6.35
3/1/03,1.25,176.77,4.09
6/1/03,1.22,183.21,6.44
9/1/03,1.01,188.66,5.45
12/1/03,0.98,195.13,6.47
3/1/04,1,201.88,6.75
6/1/04,1.03,208.97,7.09
9/1/04,1.61,216.25,7.28
12/1/04,2.16,224.21,7.96
3/1/05,2.63,231.62,7.41
6/1/05,3.04,239.26,7.64
9/1/05,3.62,247.83,8.57
12/1/05,4.16,253.46,5.63
3/1/06,4.59,256.54,3.08
6/1/06,4.99,258.72,2.18
9/1/06,5.25,257.14,-1.58
12/1/06,5.24,255.86,-1.28
3/1/07,5.26,257.14,1.28
6/1/07,5.25,256.38,-0.76
9/1/07,4.94,252.27,-4.11
12/1/07,4.24,250.59,-1.68
3/1/08,2.61,245.24,-5.35
6/1/08,2,238.83,-6.41
9/1/08,1.81,233.48,-5.35
12/1/08,0.16,229.12,-4.36
3/1/09,0.18,227.7,-1.42
6/1/09,0.21,222.26,-5.44
9/1/09,0.15,220.14,-2.12
12/1/09,0.12,218.61,-1.53
3/1/10,0.16,220.13,1.52
6/1/10,0.18,217,-3.13
9/1/10,0.19,214.78,-2.22
12/1/10,0.18,213.43,-1.35
3/1/11,0.14,208.51,-4.92
6/1/11,0.09,204.95,-3.56
9/1/11,0.08,203.56,-1.39
12/1/11,0.07,201.05,-2.51
3/1/12,0.13,200.17,-0.88
6/1/12,0.16,200.44,0.27
9/1/12,0.14,200.59,0.15
12/1/12,0.16,200.82,0.23
3/1/13,0.14,202.04,1.22
6/1/13,0.09,205.38,3.34
9/1/13,0.08,205.94,0.56
12/1/13,0.09,206.56,0.62
3/1/14,0.08,207.31,0.75
6/1/14,0.1,209.28,1.97
9/1/14,0.09,209.74,0.46
12/1/14,0.12,211.7,1.96
3/1/15,0.11,212.93,1.23
6/1/15,0.13,211.76,-1.17
9/1/15,0.14,214.07,2.31
12/1/15,0.24,215.16,1.09
3/1/16,0.36,216.08,0.92
6/1/16,0.38,219.18,3.1
9/1/16,0.4,219.65,0.47
12/1/16,0.54,221.48,1.83
3/1/17,0.79,221.64,0.16
6/1/17,1.04,226.15,4.51
9/1/17,1.15,229.69,3.54
12/1/17,1.3,230.98,1.29
3/1/18,1.51,234.12,3.14
6/1/18,1.82,235.57,1.45
9/1/18,1.95,237.54,1.97
12/1/18,2.27,239.41,1.87
3/1/19,2.41,241.43,2.02
6/1/19,2.38,243.34,1.91
9/1/19,2.04,246.3,2.96
12/1/19,1.55,250.62,4.32
3/1/20,0.65,253.16,2.54
6/1/20,0.08,254.29,1.13
