date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.88,0.88
9/1/91,5.45,100.8,-0.08
12/1/91,4.43,103.49,2.69
3/1/92,3.98,106.25,2.76
6/1/92,3.76,106.14,-0.11
9/1/92,3.22,107.96,1.82
12/1/92,2.92,110.32,2.36
3/1/93,3.07,111.76,1.44
6/1/93,3.04,115.29,3.53
9/1/93,3.09,118.08,2.79
12/1/93,2.96,120.38,2.3
3/1/94,3.34,124.99,4.61
6/1/94,4.25,126.88,1.89
9/1/94,4.73,130.66,3.78
12/1/94,5.45,133.07,2.41
3/1/95,5.98,133.36,0.29
6/1/95,6,135.66,2.3
9/1/95,5.8,137.37,1.71
12/1/95,5.6,136.86,-0.51
3/1/96,5.31,137.32,0.46
6/1/96,5.27,138.93,1.61
9/1/96,5.3,138.35,-0.58
12/1/96,5.29,138.01,-0.34
3/1/97,5.39,139.13,1.12
6/1/97,5.56,140.01,0.88
9/1/97,5.54,138.73,-1.28
12/1/97,5.5,139.28,0.55
3/1/98,5.49,139.89,0.61
6/1/98,5.56,140.28,0.39
9/1/98,5.51,141.76,1.48
12/1/98,4.68,143.26,1.5
3/1/99,4.81,144.07,0.81
6/1/99,4.76,143.2,-0.87
9/1/99,5.22,144.23,1.03
12/1/99,5.3,146.04,1.81
3/1/00,5.85,145.24,-0.8
6/1/00,6.53,145.46,0.22
9/1/00,6.52,146.11,0.65
12/1/00,6.4,145.28,-0.83
3/1/01,5.31,148.74,3.46
6/1/01,3.97,149.34,0.6
9/1/01,3.07,150.62,1.28
12/1/01,1.82,150.92,0.3
3/1/02,1.73,152.95,2.03
6/1/02,1.75,155.91,2.96
9/1/02,1.75,158.03,2.12
12/1/02,1.24,161.02,2.99
3/1/03,1.25,162.78,1.76
6/1/03,1.22,165.04,2.26
9/1/03,1.01,168.29,3.25
12/1/03,0.98,171.46,3.17
3/1/04,1,174.59,3.13
6/1/04,1.03,178.59,4
9/1/04,1.61,182.57,3.98
12/1/04,2.16,185.87,3.3
3/1/05,2.63,192.71,6.84
6/1/05,3.04,199.31,6.6
9/1/05,3.62,206.99,7.68
12/1/05,4.16,214.39,7.4
3/1/06,4.59,221.19,6.8
6/1/06,4.99,228.53,7.34
9/1/06,5.25,233.38,4.85
12/1/06,5.24,237.88,4.5
3/1/07,5.26,241.25,3.37
6/1/07,5.25,242.63,1.38
9/1/07,4.94,241.83,-0.8
12/1/07,4.24,239.36,-2.47
3/1/08,2.61,240.89,1.53
6/1/08,2,236.29,-4.6
9/1/08,1.81,233.2,-3.09
12/1/08,0.16,230.24,-2.96
3/1/09,0.18,223.63,-6.61
6/1/09,0.21,223.62,-0.01
9/1/09,0.15,221.07,-2.55
12/1/09,0.12,221.54,0.47
3/1/10,0.16,221.19,-0.35
6/1/10,0.18,213.19,-8
9/1/10,0.19,210.66,-2.53
12/1/10,0.18,209.08,-1.58
3/1/11,0.14,204.39,-4.69
6/1/11,0.09,200.2,-4.19
9/1/11,0.08,201.07,0.87
12/1/11,0.07,199.74,-1.33
3/1/12,0.13,199.84,0.1
6/1/12,0.16,203.18,3.34
9/1/12,0.14,203.6,0.42
12/1/12,0.16,201.32,-2.28
3/1/13,0.14,205.15,3.83
6/1/13,0.09,205.98,0.83
9/1/13,0.08,207.11,1.13
12/1/13,0.09,205.72,-1.39
3/1/14,0.08,207.56,1.84
6/1/14,0.1,209.91,2.35
9/1/14,0.09,208.99,-0.92
12/1/14,0.12,211.79,2.8
3/1/15,0.11,211.18,-0.61
6/1/15,0.13,212.6,1.42
9/1/15,0.14,218.4,5.8
12/1/15,0.24,214.32,-4.08
3/1/16,0.36,215.9,1.58
6/1/16,0.38,220.59,4.69
9/1/16,0.4,219.79,-0.8
12/1/16,0.54,224.5,4.71
3/1/17,0.79,226.63,2.13
6/1/17,1.04,228.05,1.42
9/1/17,1.15,230.97,2.92
12/1/17,1.3,235.24,4.27
3/1/18,1.51,234.96,-0.28
6/1/18,1.82,238.35,3.39
9/1/18,1.95,241.02,2.67
12/1/18,2.27,244.27,3.25
3/1/19,2.41,248.27,4
6/1/19,2.38,250.37,2.1
9/1/19,2.04,256.52,6.15
12/1/19,1.55,258.11,1.59
3/1/20,0.65,266.35,8.24
6/1/20,0.08,269.75,3.4
