date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,99.9,-0.1
9/1/91,5.45,100.01,0.11
12/1/91,4.43,101.42,1.41
3/1/92,3.98,103.06,1.64
6/1/92,3.76,101.37,-1.69
9/1/92,3.22,103.37,2
12/1/92,2.92,103.98,0.61
3/1/93,3.07,104.08,0.1
6/1/93,3.04,105.03,0.95
9/1/93,3.09,105.24,0.21
12/1/93,2.96,106.27,1.03
3/1/94,3.34,107.62,1.35
6/1/94,4.25,108.17,0.55
9/1/94,4.73,109.46,1.29
12/1/94,5.45,109.99,0.53
3/1/95,5.98,110.6,0.61
6/1/95,6,112.6,2
9/1/95,5.8,113.15,0.55
12/1/95,5.6,113.52,0.37
3/1/96,5.31,114.17,0.65
6/1/96,5.27,114.81,0.64
9/1/96,5.3,115.14,0.33
12/1/96,5.29,115.53,0.39
3/1/97,5.39,116.84,1.31
6/1/97,5.56,116.82,-0.02
9/1/97,5.54,117.95,1.13
12/1/97,5.5,117.81,-0.14
3/1/98,5.49,117.02,-0.79
6/1/98,5.56,118.33,1.31
9/1/98,5.51,118.76,0.43
12/1/98,4.68,119.94,1.18
3/1/99,4.81,120.81,0.87
6/1/99,4.76,120.81,0
9/1/99,5.22,122.43,1.62
12/1/99,5.3,123.64,1.21
3/1/00,5.85,124.28,0.64
6/1/00,6.53,126.01,1.73
9/1/00,6.52,126.11,0.1
12/1/00,6.4,128.24,2.13
3/1/01,5.31,131.11,2.87
6/1/01,3.97,133.61,2.5
9/1/01,3.07,135.49,1.88
12/1/01,1.82,138.06,2.57
3/1/02,1.73,140.63,2.57
6/1/02,1.75,142.67,2.04
9/1/02,1.75,146.19,3.52
12/1/02,1.24,149.96,3.77
3/1/03,1.25,153.83,3.87
6/1/03,1.22,157.63,3.8
9/1/03,1.01,164.79,7.16
12/1/03,0.98,174.98,10.19
3/1/04,1,186.98,12
6/1/04,1.03,205.1,18.12
9/1/04,1.61,220.17,15.07
12/1/04,2.16,230.66,10.49
3/1/05,2.63,240.46,9.8
6/1/05,3.04,254.64,14.18
9/1/05,3.62,258.26,3.62
12/1/05,4.16,269.61,11.35
3/1/06,4.59,274.42,4.81
6/1/06,4.99,271.96,-2.46
9/1/06,5.25,268.52,-3.44
12/1/06,5.24,266.7,-1.82
3/1/07,5.26,264.61,-2.09
6/1/07,5.25,259.33,-5.28
9/1/07,4.94,249.15,-10.18
12/1/07,4.24,234.87,-14.28
3/1/08,2.61,217.86,-17.01
6/1/08,2,198.25,-19.61
9/1/08,1.81,182.35,-15.9
12/1/08,0.16,161.4,-20.95
3/1/09,0.18,151.27,-10.13
6/1/09,0.21,142.26,-9.01
9/1/09,0.15,133.84,-8.42
12/1/09,0.12,134.37,0.53
3/1/10,0.16,132.13,-2.24
6/1/10,0.18,131.34,-0.79
9/1/10,0.19,127.75,-3.59
12/1/10,0.18,124.54,-3.21
3/1/11,0.14,119.13,-5.41
6/1/11,0.09,114.71,-4.42
9/1/11,0.08,113.71,-1
12/1/11,0.07,111.75,-1.96
3/1/12,0.13,112.29,0.54
6/1/12,0.16,120.33,8.04
9/1/12,0.14,125.48,5.15
12/1/12,0.16,131.46,5.98
3/1/13,0.14,139.42,7.96
6/1/13,0.09,148.24,8.82
9/1/13,0.08,154.95,6.71
12/1/13,0.09,161.23,6.28
3/1/14,0.08,164.98,3.75
6/1/14,0.1,167.79,2.81
9/1/14,0.09,171.92,4.13
12/1/14,0.12,176.11,4.19
3/1/15,0.11,180.95,4.84
6/1/15,0.13,184.66,3.71
9/1/15,0.14,191.8,7.14
12/1/15,0.24,194.36,2.56
3/1/16,0.36,199.99,5.63
6/1/16,0.38,204.03,4.04
9/1/16,0.4,206.4,2.37
12/1/16,0.54,213,6.6
3/1/17,0.79,216.06,3.06
6/1/17,1.04,219.62,3.56
9/1/17,1.15,227.53,7.91
12/1/17,1.3,238.78,11.25
3/1/18,1.51,244.82,6.04
6/1/18,1.82,255.01,10.19
9/1/18,1.95,260.5,5.49
12/1/18,2.27,264.35,3.85
3/1/19,2.41,270,5.65
6/1/19,2.38,272.72,2.72
9/1/19,2.04,274.83,2.11
12/1/19,1.55,274.61,-0.22
3/1/20,0.65,281.79,7.18
6/1/20,0.08,282.95,1.16
