date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,98.93,-1.07
9/1/91,5.45,99.02,0.09
12/1/91,4.43,99.86,0.84
3/1/92,3.98,101.09,1.23
6/1/92,3.76,99.96,-1.13
9/1/92,3.22,100.34,0.38
12/1/92,2.92,101.97,1.63
3/1/93,3.07,99.89,-2.08
6/1/93,3.04,101,1.11
9/1/93,3.09,100.21,-0.79
12/1/93,2.96,100.22,0.01
3/1/94,3.34,99.61,-0.61
6/1/94,4.25,99.6,-0.01
9/1/94,4.73,99.11,-0.49
12/1/94,5.45,98.3,-0.81
3/1/95,5.98,98.5,0.2
6/1/95,6,98.51,0.01
9/1/95,5.8,98.78,0.27
12/1/95,5.6,98.13,-0.65
3/1/96,5.31,99.57,1.44
6/1/96,5.27,98.75,-0.82
9/1/96,5.3,98.95,0.2
12/1/96,5.29,98.92,-0.03
3/1/97,5.39,99.3,0.38
6/1/97,5.56,100.35,1.05
9/1/97,5.54,100.44,0.09
12/1/97,5.5,101.14,0.7
3/1/98,5.49,102.08,0.94
6/1/98,5.56,103.97,1.89
9/1/98,5.51,105.83,1.86
12/1/98,4.68,107.6,1.77
3/1/99,4.81,109.25,1.65
6/1/99,4.76,111.84,2.59
9/1/99,5.22,114.4,2.56
12/1/99,5.3,116.91,2.51
3/1/00,5.85,119.61,2.7
6/1/00,6.53,121.84,2.23
9/1/00,6.52,125.08,3.24
12/1/00,6.4,128.41,3.33
3/1/01,5.31,131.1,2.69
6/1/01,3.97,134.41,3.31
9/1/01,3.07,137.96,3.55
12/1/01,1.82,141.69,3.73
3/1/02,1.73,145.77,4.08
6/1/02,1.75,149.99,4.22
9/1/02,1.75,154.71,4.72
12/1/02,1.24,158.26,3.55
3/1/03,1.25,164.78,6.52
6/1/03,1.22,167.11,2.33
9/1/03,1.01,172.1,4.99
12/1/03,0.98,177.62,5.52
3/1/04,1,182.49,4.87
6/1/04,1.03,187.21,4.72
9/1/04,1.61,190.72,3.51
12/1/04,2.16,196.92,6.2
3/1/05,2.63,201.11,4.19
6/1/05,3.04,203.62,2.51
9/1/05,3.62,210.15,6.53
12/1/05,4.16,212.45,2.3
3/1/06,4.59,215.11,2.66
6/1/06,4.99,216.54,1.43
9/1/06,5.25,215.12,-1.42
12/1/06,5.24,215.7,0.58
3/1/07,5.26,215.67,-0.03
6/1/07,5.25,217.6,1.93
9/1/07,4.94,216.54,-1.06
12/1/07,4.24,216.04,-0.5
3/1/08,2.61,214.81,-1.23
6/1/08,2,212.61,-2.2
9/1/08,1.81,211.62,-0.99
12/1/08,0.16,207.2,-4.42
3/1/09,0.18,206.47,-0.73
6/1/09,0.21,203.95,-2.52
9/1/09,0.15,203.27,-0.68
12/1/09,0.12,204.01,0.74
3/1/10,0.16,203.81,-0.2
6/1/10,0.18,203.04,-0.77
9/1/10,0.19,201.33,-1.71
12/1/10,0.18,202.39,1.06
3/1/11,0.14,198.34,-4.05
6/1/11,0.09,197.91,-0.43
9/1/11,0.08,197.37,-0.54
12/1/11,0.07,195.27,-2.1
3/1/12,0.13,196.18,0.91
6/1/12,0.16,196.65,0.47
9/1/12,0.14,196.99,0.34
12/1/12,0.16,197.33,0.34
3/1/13,0.14,199,1.67
6/1/13,0.09,200.34,1.34
9/1/13,0.08,201.64,1.3
12/1/13,0.09,202.47,0.83
3/1/14,0.08,202.2,-0.27
6/1/14,0.1,203.11,0.91
9/1/14,0.09,203.68,0.57
12/1/14,0.12,205.92,2.24
3/1/15,0.11,207.36,1.44
6/1/15,0.13,208.16,0.8
9/1/15,0.14,210.85,2.69
12/1/15,0.24,211.23,0.38
3/1/16,0.36,213.03,1.8
6/1/16,0.38,216.45,3.42
9/1/16,0.4,218,1.55
12/1/16,0.54,221.59,3.59
3/1/17,0.79,223.55,1.96
6/1/17,1.04,226.38,2.83
9/1/17,1.15,231.54,5.16
12/1/17,1.3,234.42,2.88
3/1/18,1.51,238.13,3.71
6/1/18,1.82,241.99,3.86
9/1/18,1.95,244.56,2.57
12/1/18,2.27,246.58,2.02
3/1/19,2.41,248.89,2.31
6/1/19,2.38,251.85,2.96
9/1/19,2.04,253.36,1.51
12/1/19,1.55,257.93,4.57
3/1/20,0.65,262,4.07
6/1/20,0.08,263.58,1.58
