date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.55,0.55
9/1/91,5.45,101.1,0.55
12/1/91,4.43,102.21,1.11
3/1/92,3.98,104.25,2.04
6/1/92,3.76,104.8,0.55
9/1/92,3.22,106.07,1.27
12/1/92,2.92,107.24,1.17
3/1/93,3.07,108.05,0.81
6/1/93,3.04,109.46,1.41
9/1/93,3.09,111.07,1.61
12/1/93,2.96,112.5,1.43
3/1/94,3.34,113.68,1.18
6/1/94,4.25,115.28,1.6
9/1/94,4.73,116.21,0.93
12/1/94,5.45,117.5,1.29
3/1/95,5.98,118.97,1.47
6/1/95,6,119.63,0.66
9/1/95,5.8,121.22,1.59
12/1/95,5.6,122.62,1.4
3/1/96,5.31,124.14,1.52
6/1/96,5.27,125.57,1.43
9/1/96,5.3,126.46,0.89
12/1/96,5.29,127.43,0.97
3/1/97,5.39,128.19,0.76
6/1/97,5.56,129.06,0.87
9/1/97,5.54,130.17,1.11
12/1/97,5.5,130.92,0.75
3/1/98,5.49,132.54,1.62
6/1/98,5.56,133.51,0.97
9/1/98,5.51,134.73,1.22
12/1/98,4.68,136.59,1.86
3/1/99,4.81,138.46,1.87
6/1/99,4.76,139.83,1.37
9/1/99,5.22,141.48,1.65
12/1/99,5.3,142.74,1.26
3/1/00,5.85,144.04,1.3
6/1/00,6.53,145.51,1.47
9/1/00,6.52,146.92,1.41
12/1/00,6.4,148.1,1.18
3/1/01,5.31,149.49,1.39
6/1/01,3.97,150.89,1.4
9/1/01,3.07,151.86,0.97
12/1/01,1.82,153.25,1.39
3/1/02,1.73,155.15,1.9
6/1/02,1.75,155.58,0.43
9/1/02,1.75,157.39,1.81
12/1/02,1.24,159.05,1.66
3/1/03,1.25,160.4,1.35
6/1/03,1.22,161.77,1.37
9/1/03,1.01,163.07,1.3
12/1/03,0.98,164.58,1.51
3/1/04,1,166.04,1.46
6/1/04,1.03,167.2,1.16
9/1/04,1.61,168.47,1.27
12/1/04,2.16,169.83,1.36
3/1/05,2.63,171.12,1.29
6/1/05,3.04,172.36,1.24
9/1/05,3.62,172.78,0.42
12/1/05,4.16,174.11,1.33
3/1/06,4.59,174.83,0.72
6/1/06,4.99,174.68,-0.15
9/1/06,5.25,173.94,-0.74
12/1/06,5.24,173.54,-0.4
3/1/07,5.26,173.75,0.21
6/1/07,5.25,172.32,-1.43
9/1/07,4.94,170.68,-1.64
12/1/07,4.24,168.67,-2.01
3/1/08,2.61,165.49,-3.18
6/1/08,2,163.17,-2.32
9/1/08,1.81,160.45,-2.72
12/1/08,0.16,156.97,-3.48
3/1/09,0.18,155.75,-1.22
6/1/09,0.21,156.41,0.66
9/1/09,0.15,156.32,-0.09
12/1/09,0.12,156.83,0.51
3/1/10,0.16,156.63,-0.2
6/1/10,0.18,153.9,-2.73
9/1/10,0.19,150.48,-3.42
12/1/10,0.18,150.54,0.06
3/1/11,0.14,146.76,-3.78
6/1/11,0.09,146.17,-0.59
9/1/11,0.08,147.09,0.92
12/1/11,0.07,147.39,0.3
3/1/12,0.13,147.81,0.42
6/1/12,0.16,149.93,2.12
9/1/12,0.14,150.64,0.71
12/1/12,0.16,151.18,0.54
3/1/13,0.14,152.56,1.38
6/1/13,0.09,154.38,1.82
9/1/13,0.08,156.68,2.3
12/1/13,0.09,157.78,1.1
3/1/14,0.08,159.84,2.06
6/1/14,0.1,160.59,0.75
9/1/14,0.09,161.91,1.32
12/1/14,0.12,164.56,2.65
3/1/15,0.11,165.35,0.79
6/1/15,0.13,167.28,1.93
9/1/15,0.14,168.48,1.2
12/1/15,0.24,170.82,2.34
3/1/16,0.36,172.68,1.86
6/1/16,0.38,174.84,2.16
9/1/16,0.4,177.64,2.8
12/1/16,0.54,180.21,2.57
3/1/17,0.79,182.87,2.66
6/1/17,1.04,185.47,2.6
9/1/17,1.15,188.25,2.78
12/1/17,1.3,191.09,2.84
3/1/18,1.51,195.22,4.13
6/1/18,1.82,197.2,1.98
9/1/18,1.95,200.61,3.41
12/1/18,2.27,203.52,2.91
3/1/19,2.41,207.14,3.62
6/1/19,2.38,209.38,2.24
9/1/19,2.04,212.66,3.28
12/1/19,1.55,216.56,3.9
3/1/20,0.65,220.19,3.63
6/1/20,0.08,225.09,4.9
