date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.31,0.31
9/1/91,5.45,101.1,0.79
12/1/91,4.43,101.58,0.48
3/1/92,3.98,102.77,1.19
6/1/92,3.76,102.4,-0.37
9/1/92,3.22,103.3,0.9
12/1/92,2.92,104.56,1.26
3/1/93,3.07,105.84,1.28
6/1/93,3.04,107.54,1.7
9/1/93,3.09,109.02,1.48
12/1/93,2.96,110.75,1.73
3/1/94,3.34,112.19,1.44
6/1/94,4.25,113.64,1.45
9/1/94,4.73,113.63,-0.01
12/1/94,5.45,115.2,1.57
3/1/95,5.98,115.22,0.02
6/1/95,6,115.86,0.64
9/1/95,5.8,117.71,1.85
12/1/95,5.6,118.15,0.44
3/1/96,5.31,119.3,1.15
6/1/96,5.27,120.64,1.34
9/1/96,5.3,121.47,0.83
12/1/96,5.29,121.83,0.36
3/1/97,5.39,122.87,1.04
6/1/97,5.56,123.68,0.81
9/1/97,5.54,124.46,0.78
12/1/97,5.5,125.35,0.89
3/1/98,5.49,126.98,1.63
6/1/98,5.56,128.92,1.94
9/1/98,5.51,129.81,0.89
12/1/98,4.68,132.72,2.91
3/1/99,4.81,134.19,1.47
6/1/99,4.76,135.07,0.88
9/1/99,5.22,137.51,2.44
12/1/99,5.3,138.3,0.79
3/1/00,5.85,139.95,1.65
6/1/00,6.53,141.25,1.3
9/1/00,6.52,142.38,1.13
12/1/00,6.4,144.18,1.8
3/1/01,5.31,145.31,1.13
6/1/01,3.97,147,1.69
9/1/01,3.07,148.31,1.31
12/1/01,1.82,149.06,0.75
3/1/02,1.73,151.41,2.35
6/1/02,1.75,151.61,0.2
9/1/02,1.75,152.94,1.33
12/1/02,1.24,155.28,2.34
3/1/03,1.25,156.1,0.82
6/1/03,1.22,157.87,1.77
9/1/03,1.01,159.43,1.56
12/1/03,0.98,160.99,1.56
3/1/04,1,162.7,1.71
6/1/04,1.03,164.91,2.21
9/1/04,1.61,164.03,-0.88
12/1/04,2.16,167.8,3.77
3/1/05,2.63,169.68,1.88
6/1/05,3.04,172.31,2.63
9/1/05,3.62,175.3,2.99
12/1/05,4.16,177.78,2.48
3/1/06,4.59,181.03,3.25
6/1/06,4.99,183.12,2.09
9/1/06,5.25,183.82,0.7
12/1/06,5.24,185.94,2.12
3/1/07,5.26,191.03,5.09
6/1/07,5.25,189.5,-1.53
9/1/07,4.94,193.33,3.83
12/1/07,4.24,194.41,1.08
3/1/08,2.61,193.3,-1.11
6/1/08,2,193.36,0.06
9/1/08,1.81,192.52,-0.84
12/1/08,0.16,187.79,-4.73
3/1/09,0.18,192.02,4.23
6/1/09,0.21,193.43,1.41
9/1/09,0.15,193.62,0.19
12/1/09,0.12,192.42,-1.2
3/1/10,0.16,192.31,-0.11
6/1/10,0.18,192.84,0.53
9/1/10,0.19,191.55,-1.29
12/1/10,0.18,191.76,0.21
3/1/11,0.14,185.18,-6.58
6/1/11,0.09,190.44,5.26
9/1/11,0.08,186.88,-3.56
12/1/11,0.07,190.98,4.1
3/1/12,0.13,189.83,-1.15
6/1/12,0.16,191.52,1.69
9/1/12,0.14,195.28,3.76
12/1/12,0.16,196.13,0.85
3/1/13,0.14,199.99,3.86
6/1/13,0.09,201.97,1.98
9/1/13,0.08,201.22,-0.75
12/1/13,0.09,200.01,-1.21
3/1/14,0.08,205.86,5.85
6/1/14,0.1,204.19,-1.67
9/1/14,0.09,206.79,2.6
12/1/14,0.12,209.1,2.31
3/1/15,0.11,215.94,6.84
6/1/15,0.13,214.95,-0.99
9/1/15,0.14,217.74,2.79
12/1/15,0.24,220.38,2.64
3/1/16,0.36,218.53,-1.85
6/1/16,0.38,220.82,2.29
9/1/16,0.4,222.48,1.66
12/1/16,0.54,223.88,1.4
3/1/17,0.79,227.89,4.01
6/1/17,1.04,229.04,1.15
9/1/17,1.15,230.67,1.63
12/1/17,1.3,233.46,2.79
3/1/18,1.51,233.77,0.31
6/1/18,1.82,237.1,3.33
9/1/18,1.95,239.68,2.58
12/1/18,2.27,240.79,1.11
3/1/19,2.41,247.88,7.09
6/1/19,2.38,245.93,-1.95
9/1/19,2.04,251.07,5.14
12/1/19,1.55,255.17,4.1
3/1/20,0.65,258.32,3.15
6/1/20,0.08,263.76,5.44
