date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,101.73,1.73
9/1/91,5.45,103.7,1.97
12/1/91,4.43,105.31,1.61
3/1/92,3.98,108.3,2.99
6/1/92,3.76,110.09,1.79
9/1/92,3.22,112.58,2.49
12/1/92,2.92,115.05,2.47
3/1/93,3.07,116.7,1.65
6/1/93,3.04,119.48,2.78
9/1/93,3.09,122.37,2.89
12/1/93,2.96,126.04,3.67
3/1/94,3.34,128.87,2.83
6/1/94,4.25,132.55,3.68
9/1/94,4.73,135.24,2.69
12/1/94,5.45,138.47,3.23
3/1/95,5.98,142.02,3.55
6/1/95,6,143.73,1.71
9/1/95,5.8,146.44,2.71
12/1/95,5.6,148.56,2.12
3/1/96,5.31,151.21,2.65
6/1/96,5.27,154.29,3.08
9/1/96,5.3,156.59,2.3
12/1/96,5.29,159.23,2.64
3/1/97,5.39,162.54,3.31
6/1/97,5.56,162.95,0.41
9/1/97,5.54,165.11,2.16
12/1/97,5.5,166.2,1.09
3/1/98,5.49,166.73,0.53
6/1/98,5.56,169.16,2.43
9/1/98,5.51,170.54,1.38
12/1/98,4.68,171.92,1.38
3/1/99,4.81,173.56,1.64
6/1/99,4.76,175.35,1.79
9/1/99,5.22,176.32,0.97
12/1/99,5.3,177.2,0.88
3/1/00,5.85,179.83,2.63
6/1/00,6.53,179.67,-0.16
9/1/00,6.52,181.16,1.49
12/1/00,6.4,183.97,2.81
3/1/01,5.31,186.43,2.46
6/1/01,3.97,188.63,2.2
9/1/01,3.07,190.77,2.14
12/1/01,1.82,192.85,2.08
3/1/02,1.73,195.56,2.71
6/1/02,1.75,198.44,2.88
9/1/02,1.75,201.39,2.95
12/1/02,1.24,204.39,3
3/1/03,1.25,208.34,3.95
6/1/03,1.22,212.47,4.13
9/1/03,1.01,215.2,2.73
12/1/03,0.98,220.95,5.75
3/1/04,1,226.38,5.43
6/1/04,1.03,231.93,5.55
9/1/04,1.61,240.24,8.31
12/1/04,2.16,248.63,8.39
3/1/05,2.63,257.34,8.71
6/1/05,3.04,268.34,11
9/1/05,3.62,283.15,14.81
12/1/05,4.16,296.23,13.08
3/1/06,4.59,306.37,10.14
6/1/06,4.99,316.59,10.22
9/1/06,5.25,323.17,6.58
12/1/06,5.24,326.39,3.22
3/1/07,5.26,334.76,8.37
6/1/07,5.25,336.76,2
9/1/07,4.94,333.25,-3.51
12/1/07,4.24,329.7,-3.55
3/1/08,2.61,323.69,-6.01
6/1/08,2,318.71,-4.98
9/1/08,1.81,310.18,-8.53
12/1/08,0.16,299.72,-10.46
3/1/09,0.18,296.24,-3.48
6/1/09,0.21,284.7,-11.54
9/1/09,0.15,279.29,-5.41
12/1/09,0.12,276.88,-2.41
3/1/10,0.16,270.1,-6.78
6/1/10,0.18,272.43,2.33
9/1/10,0.19,258.63,-13.8
12/1/10,0.18,252.59,-6.04
3/1/11,0.14,246.65,-5.94
6/1/11,0.09,240.75,-5.9
9/1/11,0.08,243.92,3.17
12/1/11,0.07,244.27,0.35
3/1/12,0.13,243.2,-1.07
6/1/12,0.16,248.22,5.02
9/1/12,0.14,257.34,9.12
12/1/12,0.16,258.44,1.1
3/1/13,0.14,270.42,11.98
6/1/13,0.09,278.08,7.66
9/1/13,0.08,281.7,3.62
12/1/13,0.09,287.92,6.22
3/1/14,0.08,292.63,4.71
6/1/14,0.1,296.61,3.98
9/1/14,0.09,302.19,5.58
12/1/14,0.12,308.15,5.96
3/1/15,0.11,313.27,5.12
6/1/15,0.13,322.55,9.28
9/1/15,0.14,331.24,8.69
12/1/15,0.24,341.01,9.77
3/1/16,0.36,350.04,9.03
6/1/16,0.38,359,8.96
9/1/16,0.4,365.45,6.45
12/1/16,0.54,377.33,11.88
3/1/17,0.79,378.65,1.32
6/1/17,1.04,388.72,10.07
9/1/17,1.15,396.19,7.47
12/1/17,1.3,402.36,6.17
3/1/18,1.51,414.24,11.88
6/1/18,1.82,418.96,4.72
9/1/18,1.95,423.38,4.42
12/1/18,2.27,428.37,4.99
3/1/19,2.41,432.36,3.99
6/1/19,2.38,438.65,6.29
9/1/19,2.04,444.44,5.79
12/1/19,1.55,451.97,7.53
3/1/20,0.65,459.73,7.76
6/1/20,0.08,463.06,3.33
