date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,99.64,-0.36
9/1/91,5.45,99.88,0.24
12/1/91,4.43,100.86,0.98
3/1/92,3.98,101.81,0.95
6/1/92,3.76,101.84,0.03
9/1/92,3.22,101.9,0.06
12/1/92,2.92,102.35,0.45
3/1/93,3.07,102.4,0.05
6/1/93,3.04,103.06,0.66
9/1/93,3.09,103.24,0.18
12/1/93,2.96,104.13,0.89
3/1/94,3.34,104.49,0.36
6/1/94,4.25,104.61,0.12
9/1/94,4.73,105.12,0.51
12/1/94,5.45,104.58,-0.54
3/1/95,5.98,103.98,-0.6
6/1/95,6,104.93,0.95
9/1/95,5.8,104.86,-0.07
12/1/95,5.6,105,0.14
3/1/96,5.31,105.26,0.26
6/1/96,5.27,105.66,0.4
9/1/96,5.3,106.2,0.54
12/1/96,5.29,105.99,-0.21
3/1/97,5.39,106.67,0.68
6/1/97,5.56,106.48,-0.19
9/1/97,5.54,106.82,0.34
12/1/97,5.5,107.6,0.78
3/1/98,5.49,107.95,0.35
6/1/98,5.56,109.02,1.07
9/1/98,5.51,109.46,0.44
12/1/98,4.68,110.92,1.46
3/1/99,4.81,111.93,1.01
6/1/99,4.76,112.86,0.93
9/1/99,5.22,114.21,1.35
12/1/99,5.3,115.26,1.05
3/1/00,5.85,116.81,1.55
6/1/00,6.53,118.33,1.52
9/1/00,6.52,119.39,1.06
12/1/00,6.4,121.06,1.67
3/1/01,5.31,123.22,2.16
6/1/01,3.97,125.33,2.11
9/1/01,3.07,127.44,2.11
12/1/01,1.82,129.38,1.94
3/1/02,1.73,131.93,2.55
6/1/02,1.75,134.53,2.6
9/1/02,1.75,137.39,2.86
12/1/02,1.24,141.22,3.83
3/1/03,1.25,143.9,2.68
6/1/03,1.22,146.78,2.88
9/1/03,1.01,150.52,3.74
12/1/03,0.98,152.88,2.36
3/1/04,1,157.12,4.24
6/1/04,1.03,161.98,4.86
9/1/04,1.61,166.27,4.29
12/1/04,2.16,171.66,5.39
3/1/05,2.63,174.45,2.79
6/1/05,3.04,179.52,5.07
9/1/05,3.62,185.48,5.96
12/1/05,4.16,189.3,3.82
3/1/06,4.59,192.92,3.62
6/1/06,4.99,193.98,1.06
9/1/06,5.25,195.91,1.93
12/1/06,5.24,197.49,1.58
3/1/07,5.26,199.26,1.77
6/1/07,5.25,201.02,1.76
9/1/07,4.94,199.58,-1.44
12/1/07,4.24,199.57,-0.01
3/1/08,2.61,198.18,-1.39
6/1/08,2,195.42,-2.76
9/1/08,1.81,193.64,-1.78
12/1/08,0.16,190.34,-3.3
3/1/09,0.18,188.34,-2
6/1/09,0.21,187.71,-0.63
9/1/09,0.15,187.42,-0.29
12/1/09,0.12,189.01,1.59
3/1/10,0.16,189.09,0.08
6/1/10,0.18,186.46,-2.63
9/1/10,0.19,184.21,-2.25
12/1/10,0.18,184.58,0.37
3/1/11,0.14,181.97,-2.61
6/1/11,0.09,181.97,0
9/1/11,0.08,181.29,-0.68
12/1/11,0.07,179.2,-2.09
3/1/12,0.13,180.13,0.93
6/1/12,0.16,181.18,1.05
9/1/12,0.14,181.82,0.64
12/1/12,0.16,183.46,1.64
3/1/13,0.14,185.09,1.63
6/1/13,0.09,186.86,1.77
9/1/13,0.08,188.36,1.5
12/1/13,0.09,188.97,0.61
3/1/14,0.08,188.56,-0.41
6/1/14,0.1,191.5,2.94
9/1/14,0.09,191.81,0.31
12/1/14,0.12,192.55,0.74
3/1/15,0.11,192.93,0.38
6/1/15,0.13,195.29,2.36
9/1/15,0.14,196.82,1.53
12/1/15,0.24,198.54,1.72
3/1/16,0.36,200.15,1.61
6/1/16,0.38,202.11,1.96
9/1/16,0.4,204.97,2.86
12/1/16,0.54,206.04,1.07
3/1/17,0.79,208.23,2.19
6/1/17,1.04,210.69,2.46
9/1/17,1.15,213.8,3.11
12/1/17,1.3,216.7,2.9
3/1/18,1.51,219.4,2.7
6/1/18,1.82,222.34,2.94
9/1/18,1.95,224.25,1.91
12/1/18,2.27,228.04,3.79
3/1/19,2.41,231.3,3.26
6/1/19,2.38,233.53,2.23
9/1/19,2.04,235.83,2.3
12/1/19,1.55,239.32,3.49
3/1/20,0.65,242.81,3.49
6/1/20,0.08,243.6,0.79
