date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,97.59,-2.41
9/1/91,5.45,95.82,-1.77
12/1/91,4.43,96.25,0.43
3/1/92,3.98,96.2,-0.05
6/1/92,3.76,94.49,-1.71
9/1/92,3.22,94.87,0.38
12/1/92,2.92,96.01,1.14
3/1/93,3.07,93.47,-2.54
6/1/93,3.04,93.29,-0.18
9/1/93,3.09,92.93,-0.36
12/1/93,2.96,92.49,-0.44
3/1/94,3.34,92.8,0.31
6/1/94,4.25,93.24,0.44
9/1/94,4.73,92.78,-0.46
12/1/94,5.45,91.58,-1.2
3/1/95,5.98,92.21,0.63
6/1/95,6,91.82,-0.39
9/1/95,5.8,91.44,-0.38
12/1/95,5.6,91.8,0.36
3/1/96,5.31,90.99,-0.81
6/1/96,5.27,91.33,0.34
9/1/96,5.3,91.4,0.07
12/1/96,5.29,90.39,-1.01
3/1/97,5.39,91.78,1.39
6/1/97,5.56,91.27,-0.51
9/1/97,5.54,91.14,-0.13
12/1/97,5.5,92.37,1.23
3/1/98,5.49,93.32,0.95
6/1/98,5.56,95.2,1.88
9/1/98,5.51,96.09,0.89
12/1/98,4.68,97.53,1.44
3/1/99,4.81,99.71,2.18
6/1/99,4.76,100.05,0.34
9/1/99,5.22,104.01,3.96
12/1/99,5.3,106.13,2.12
3/1/00,5.85,107.65,1.52
6/1/00,6.53,112.69,5.04
9/1/00,6.52,116.44,3.75
12/1/00,6.4,119.83,3.39
3/1/01,5.31,123.08,3.25
6/1/01,3.97,127.72,4.64
9/1/01,3.07,132.65,4.93
12/1/01,1.82,138.08,5.43
3/1/02,1.73,144.36,6.28
6/1/02,1.75,151.17,6.81
9/1/02,1.75,158.86,7.69
12/1/02,1.24,165.48,6.62
3/1/03,1.25,171.62,6.14
6/1/03,1.22,178.87,7.25
9/1/03,1.01,184.37,5.5
12/1/03,0.98,192.16,7.79
3/1/04,1,201.38,9.22
6/1/04,1.03,207.4,6.02
9/1/04,1.61,217.82,10.42
12/1/04,2.16,220.2,2.38
3/1/05,2.63,231.05,10.85
6/1/05,3.04,232.33,1.28
9/1/05,3.62,236.14,3.81
12/1/05,4.16,235.82,-0.32
3/1/06,4.59,237.64,1.82
6/1/06,4.99,237.37,-0.27
9/1/06,5.25,234.57,-2.8
12/1/06,5.24,232.97,-1.6
3/1/07,5.26,228.04,-4.93
6/1/07,5.25,226.05,-1.99
9/1/07,4.94,223.17,-2.88
12/1/07,4.24,220.42,-2.75
3/1/08,2.61,213.51,-6.91
6/1/08,2,207.85,-5.66
9/1/08,1.81,199.13,-8.72
12/1/08,0.16,195.09,-4.04
3/1/09,0.18,199.65,4.56
6/1/09,0.21,188.78,-10.87
9/1/09,0.15,191.2,2.42
12/1/09,0.12,188.28,-2.92
3/1/10,0.16,183.91,-4.37
6/1/10,0.18,183.55,-0.36
9/1/10,0.19,184.91,1.36
12/1/10,0.18,182.08,-2.83
3/1/11,0.14,179.46,-2.62
6/1/11,0.09,174.99,-4.47
9/1/11,0.08,172.45,-2.54
12/1/11,0.07,172.32,-0.13
3/1/12,0.13,174.24,1.92
6/1/12,0.16,173.12,-1.12
9/1/12,0.14,170.96,-2.16
12/1/12,0.16,172.27,1.31
3/1/13,0.14,173.38,1.11
6/1/13,0.09,176.78,3.4
9/1/13,0.08,180.06,3.28
12/1/13,0.09,177.3,-2.76
3/1/14,0.08,183.46,6.16
6/1/14,0.1,182.3,-1.16
9/1/14,0.09,185.21,2.91
12/1/14,0.12,187.77,2.56
3/1/15,0.11,188.85,1.08
6/1/15,0.13,189.97,1.12
9/1/15,0.14,191.42,1.45
12/1/15,0.24,194.74,3.32
3/1/16,0.36,195.19,0.45
6/1/16,0.38,199.04,3.85
9/1/16,0.4,202.45,3.41
12/1/16,0.54,206.17,3.72
3/1/17,0.79,211.17,5
6/1/17,1.04,214.46,3.29
9/1/17,1.15,216.45,1.99
12/1/17,1.3,220.4,3.95
3/1/18,1.51,225.55,5.15
6/1/18,1.82,230.83,5.28
9/1/18,1.95,233.72,2.89
12/1/18,2.27,234.24,0.52
3/1/19,2.41,237.89,3.65
6/1/19,2.38,240.6,2.71
9/1/19,2.04,245.06,4.46
12/1/19,1.55,248.59,3.53
3/1/20,0.65,252.97,4.38
6/1/20,0.08,250.53,-2.44
