date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.84,0.84
9/1/91,5.45,101.38,0.54
12/1/91,4.43,101.99,0.61
3/1/92,3.98,102.82,0.83
6/1/92,3.76,103.35,0.53
9/1/92,3.22,104.35,1
12/1/92,2.92,105.38,1.03
3/1/93,3.07,105.38,0
6/1/93,3.04,105.64,0.26
9/1/93,3.09,107.22,1.58
12/1/93,2.96,108.1,0.88
3/1/94,3.34,108.96,0.86
6/1/94,4.25,110.45,1.49
9/1/94,4.73,110.43,-0.02
12/1/94,5.45,111.46,1.03
3/1/95,5.98,113.11,1.65
6/1/95,6,113.87,0.76
9/1/95,5.8,114.69,0.82
12/1/95,5.6,114.42,-0.27
3/1/96,5.31,116.88,2.46
6/1/96,5.27,118.17,1.29
9/1/96,5.3,118.72,0.55
12/1/96,5.29,121.97,3.25
3/1/97,5.39,122.24,0.27
6/1/97,5.56,122.44,0.2
9/1/97,5.54,123.42,0.98
12/1/97,5.5,125.1,1.68
3/1/98,5.49,126.37,1.27
6/1/98,5.56,128.01,1.64
9/1/98,5.51,129.88,1.87
12/1/98,4.68,131.69,1.81
3/1/99,4.81,133.21,1.52
6/1/99,4.76,135.93,2.72
9/1/99,5.22,137.62,1.69
12/1/99,5.3,138.92,1.3
3/1/00,5.85,140.53,1.61
6/1/00,6.53,142.97,2.44
9/1/00,6.52,143.83,0.86
12/1/00,6.4,144.99,1.16
3/1/01,5.31,146.44,1.45
6/1/01,3.97,147.64,1.2
9/1/01,3.07,149.07,1.43
12/1/01,1.82,149.73,0.66
3/1/02,1.73,152.21,2.48
6/1/02,1.75,152.34,0.13
9/1/02,1.75,153.62,1.28
12/1/02,1.24,155.78,2.16
3/1/03,1.25,155.34,-0.44
6/1/03,1.22,157.9,2.56
9/1/03,1.01,159.26,1.36
12/1/03,0.98,160.32,1.06
3/1/04,1,163.54,3.22
6/1/04,1.03,164.86,1.32
9/1/04,1.61,168.87,4.01
12/1/04,2.16,170.7,1.83
3/1/05,2.63,173.26,2.56
6/1/05,3.04,176.4,3.14
9/1/05,3.62,180.07,3.67
12/1/05,4.16,185.68,5.61
3/1/06,4.59,187.98,2.3
6/1/06,4.99,191.26,3.28
9/1/06,5.25,192.74,1.48
12/1/06,5.24,197.36,4.62
3/1/07,5.26,198.42,1.06
6/1/07,5.25,201.09,2.67
9/1/07,4.94,201.06,-0.03
12/1/07,4.24,199.9,-1.16
3/1/08,2.61,201.08,1.18
6/1/08,2,198.57,-2.51
9/1/08,1.81,195.61,-2.96
12/1/08,0.16,189.35,-6.26
3/1/09,0.18,193.81,4.46
6/1/09,0.21,190.4,-3.41
9/1/09,0.15,190.08,-0.32
12/1/09,0.12,185.94,-4.14
3/1/10,0.16,184.96,-0.98
6/1/10,0.18,182.04,-2.92
9/1/10,0.19,178.05,-3.99
12/1/10,0.18,179.22,1.17
3/1/11,0.14,170.86,-8.36
6/1/11,0.09,169.16,-1.7
9/1/11,0.08,170.58,1.42
12/1/11,0.07,173.6,3.02
3/1/12,0.13,169.64,-3.96
6/1/12,0.16,174.74,5.1
9/1/12,0.14,173.92,-0.82
12/1/12,0.16,173.59,-0.33
3/1/13,0.14,177.12,3.53
6/1/13,0.09,180.54,3.42
9/1/13,0.08,183.91,3.37
12/1/13,0.09,182.12,-1.79
3/1/14,0.08,182.95,0.83
6/1/14,0.1,186.74,3.79
9/1/14,0.09,189.73,2.99
12/1/14,0.12,192.12,2.39
3/1/15,0.11,197.01,4.89
6/1/15,0.13,199.54,2.53
9/1/15,0.14,199.73,0.19
12/1/15,0.24,205.39,5.66
3/1/16,0.36,209.14,3.75
6/1/16,0.38,209.41,0.27
9/1/16,0.4,212.46,3.05
12/1/16,0.54,217.26,4.8
3/1/17,0.79,218.57,1.31
6/1/17,1.04,221.91,3.34
9/1/17,1.15,227.94,6.03
12/1/17,1.3,231.32,3.38
3/1/18,1.51,234.62,3.3
6/1/18,1.82,239.53,4.91
9/1/18,1.95,243.57,4.04
12/1/18,2.27,247.74,4.17
3/1/19,2.41,251.44,3.7
6/1/19,2.38,255.09,3.65
9/1/19,2.04,257.61,2.52
12/1/19,1.55,261.48,3.87
3/1/20,0.65,266.25,4.77
6/1/20,0.08,269.74,3.49
