date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,102.24,2.24
9/1/91,5.45,103.33,1.09
12/1/91,4.43,102.28,-1.05
3/1/92,3.98,107.18,4.9
6/1/92,3.76,106.32,-0.86
9/1/92,3.22,109.35,3.03
12/1/92,2.92,111.07,1.72
3/1/93,3.07,112.8,1.73
6/1/93,3.04,115.56,2.76
9/1/93,3.09,116.96,1.4
12/1/93,2.96,120.1,3.14
3/1/94,3.34,122.52,2.42
6/1/94,4.25,123.95,1.43
9/1/94,4.73,124.85,0.9
12/1/94,5.45,127.86,3.01
3/1/95,5.98,125.43,-2.43
6/1/95,6,129.87,4.44
9/1/95,5.8,128.91,-0.96
12/1/95,5.6,131.67,2.76
3/1/96,5.31,133.33,1.66
6/1/96,5.27,133.26,-0.07
9/1/96,5.3,136.82,3.56
12/1/96,5.29,136.91,0.09
3/1/97,5.39,136.3,-0.61
6/1/97,5.56,139.41,3.11
9/1/97,5.54,140.79,1.38
12/1/97,5.5,141.34,0.55
3/1/98,5.49,145.14,3.8
6/1/98,5.56,144.69,-0.45
9/1/98,5.51,144.55,-0.14
12/1/98,4.68,145.25,0.7
3/1/99,4.81,150.18,4.93
6/1/99,4.76,150.15,-0.03
9/1/99,5.22,151.87,1.72
12/1/99,5.3,153.33,1.46
3/1/00,5.85,154.95,1.62
6/1/00,6.53,157.72,2.77
9/1/00,6.52,160.08,2.36
12/1/00,6.4,159.96,-0.12
3/1/01,5.31,162.38,2.42
6/1/01,3.97,163.77,1.39
9/1/01,3.07,165.7,1.93
12/1/01,1.82,168.72,3.02
3/1/02,1.73,167.99,-0.73
6/1/02,1.75,171.68,3.69
9/1/02,1.75,171.08,-0.6
12/1/02,1.24,174.28,3.2
3/1/03,1.25,175.17,0.89
6/1/03,1.22,177.7,2.53
9/1/03,1.01,181.91,4.21
12/1/03,0.98,183.94,2.03
3/1/04,1,185.45,1.51
6/1/04,1.03,187.43,1.98
9/1/04,1.61,192.19,4.76
12/1/04,2.16,193.05,0.86
3/1/05,2.63,196.48,3.43
6/1/05,3.04,200.62,4.14
9/1/05,3.62,200.41,-0.21
12/1/05,4.16,207.39,6.98
3/1/06,4.59,207.05,-0.34
6/1/06,4.99,210.63,3.58
9/1/06,5.25,211.8,1.17
12/1/06,5.24,214.24,2.44
3/1/07,5.26,216.19,1.95
6/1/07,5.25,216.65,0.46
9/1/07,4.94,218.16,1.51
12/1/07,4.24,220.27,2.11
3/1/08,2.61,221.88,1.61
6/1/08,2,221.37,-0.51
9/1/08,1.81,221.65,0.28
12/1/08,0.16,220.5,-1.15
3/1/09,0.18,220.92,0.42
6/1/09,0.21,221.54,0.62
9/1/09,0.15,219.21,-2.33
12/1/09,0.12,222.31,3.1
3/1/10,0.16,221.19,-1.12
6/1/10,0.18,219.23,-1.96
9/1/10,0.19,217.39,-1.84
12/1/10,0.18,215.32,-2.07
3/1/11,0.14,216.91,1.59
6/1/11,0.09,216.59,-0.32
9/1/11,0.08,217.96,1.37
12/1/11,0.07,221.57,3.61
3/1/12,0.13,218.14,-3.43
6/1/12,0.16,221.67,3.53
9/1/12,0.14,224.9,3.23
12/1/12,0.16,225.95,1.05
3/1/13,0.14,228.12,2.17
6/1/13,0.09,230.17,2.05
9/1/13,0.08,234.56,4.39
12/1/13,0.09,237.78,3.22
3/1/14,0.08,239.03,1.25
6/1/14,0.1,241.36,2.33
9/1/14,0.09,241.55,0.19
12/1/14,0.12,246.95,5.4
3/1/15,0.11,247.68,0.73
6/1/15,0.13,249.67,1.99
9/1/15,0.14,252.44,2.77
12/1/15,0.24,255.48,3.04
3/1/16,0.36,261.82,6.34
6/1/16,0.38,261.81,-0.01
9/1/16,0.4,265.79,3.98
12/1/16,0.54,268.22,2.43
3/1/17,0.79,271.74,3.52
6/1/17,1.04,278.27,6.53
9/1/17,1.15,279.75,1.48
12/1/17,1.3,281.47,1.72
3/1/18,1.51,287.27,5.8
6/1/18,1.82,291.44,4.17
9/1/18,1.95,298.86,7.42
12/1/18,2.27,300.24,1.38
3/1/19,2.41,304.98,4.74
6/1/19,2.38,308.44,3.46
9/1/19,2.04,308.39,-0.05
12/1/19,1.55,315.26,6.87
3/1/20,0.65,315.86,0.6
6/1/20,0.08,320.11,4.25
