date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.14,0.14
9/1/91,5.45,100.18,0.04
12/1/91,4.43,101.59,1.41
3/1/92,3.98,102.51,0.92
6/1/92,3.76,102.06,-0.45
9/1/92,3.22,103.91,1.85
12/1/92,2.92,104.53,0.62
3/1/93,3.07,104.78,0.25
6/1/93,3.04,106.51,1.73
9/1/93,3.09,107.89,1.38
12/1/93,2.96,109.49,1.6
3/1/94,3.34,111.39,1.9
6/1/94,4.25,112.82,1.43
9/1/94,4.73,114.38,1.56
12/1/94,5.45,115.35,0.97
3/1/95,5.98,117.95,2.6
6/1/95,6,118.63,0.68
9/1/95,5.8,120.45,1.82
12/1/95,5.6,122.64,2.19
3/1/96,5.31,123.72,1.08
6/1/96,5.27,125.26,1.54
9/1/96,5.3,126.99,1.73
12/1/96,5.29,127.85,0.86
3/1/97,5.39,129.19,1.34
6/1/97,5.56,130.53,1.34
9/1/97,5.54,130.86,0.33
12/1/97,5.5,131.85,0.99
3/1/98,5.49,133.41,1.56
6/1/98,5.56,135.11,1.7
9/1/98,5.51,136.43,1.32
12/1/98,4.68,137.89,1.46
3/1/99,4.81,139.78,1.89
6/1/99,4.76,140.31,0.53
9/1/99,5.22,141.93,1.62
12/1/99,5.3,143.49,1.56
3/1/00,5.85,144.14,0.65
6/1/00,6.53,145.53,1.39
9/1/00,6.52,146.14,0.61
12/1/00,6.4,146.89,0.75
3/1/01,5.31,147.95,1.06
6/1/01,3.97,148.58,0.63
9/1/01,3.07,149.33,0.75
12/1/01,1.82,151.22,1.89
3/1/02,1.73,152.14,0.92
6/1/02,1.75,152.69,0.55
9/1/02,1.75,154.81,2.12
12/1/02,1.24,155.15,0.34
3/1/03,1.25,157.32,2.17
6/1/03,1.22,158.93,1.61
9/1/03,1.01,160.52,1.59
12/1/03,0.98,162.94,2.42
3/1/04,1,164.01,1.07
6/1/04,1.03,166.65,2.64
9/1/04,1.61,169.54,2.89
12/1/04,2.16,171.26,1.72
3/1/05,2.63,175.12,3.86
6/1/05,3.04,177.4,2.28
9/1/05,3.62,180.76,3.36
12/1/05,4.16,185.04,4.28
3/1/06,4.59,189.08,4.04
6/1/06,4.99,191.77,2.69
9/1/06,5.25,193.85,2.08
12/1/06,5.24,196.92,3.07
3/1/07,5.26,199.3,2.38
6/1/07,5.25,201.65,2.35
9/1/07,4.94,202,0.35
12/1/07,4.24,200.74,-1.26
3/1/08,2.61,199.48,-1.26
6/1/08,2,196.99,-2.49
9/1/08,1.81,194.75,-2.24
12/1/08,0.16,191.17,-3.58
3/1/09,0.18,191.07,-0.1
6/1/09,0.21,188.56,-2.51
9/1/09,0.15,188.14,-0.42
12/1/09,0.12,187.66,-0.48
3/1/10,0.16,184.96,-2.7
6/1/10,0.18,184.55,-0.41
9/1/10,0.19,181.58,-2.97
12/1/10,0.18,180.3,-1.28
3/1/11,0.14,178.25,-2.05
6/1/11,0.09,176,-2.25
9/1/11,0.08,180.13,4.13
12/1/11,0.07,178.63,-1.5
3/1/12,0.13,178.28,-0.35
6/1/12,0.16,180.75,2.47
9/1/12,0.14,182.55,1.8
12/1/12,0.16,184.56,2.01
3/1/13,0.14,187.65,3.09
6/1/13,0.09,190.46,2.81
9/1/13,0.08,191.84,1.38
12/1/13,0.09,193.91,2.07
3/1/14,0.08,196.32,2.41
6/1/14,0.1,198.26,1.94
9/1/14,0.09,200.06,1.8
12/1/14,0.12,202.1,2.04
3/1/15,0.11,207.02,4.92
6/1/15,0.13,208.29,1.27
9/1/15,0.14,211.82,3.53
12/1/15,0.24,214.4,2.58
3/1/16,0.36,218.1,3.7
6/1/16,0.38,221.91,3.81
9/1/16,0.4,226.09,4.18
12/1/16,0.54,229.96,3.87
3/1/17,0.79,233.72,3.76
6/1/17,1.04,238.54,4.82
9/1/17,1.15,243.49,4.95
12/1/17,1.3,248.31,4.82
3/1/18,1.51,252,3.69
6/1/18,1.82,255.92,3.92
9/1/18,1.95,261.56,5.64
12/1/18,2.27,266.36,4.8
3/1/19,2.41,270.97,4.61
6/1/19,2.38,275.39,4.42
9/1/19,2.04,278.77,3.38
12/1/19,1.55,284.75,5.98
3/1/20,0.65,291.02,6.27
6/1/20,0.08,294.97,3.95
