date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.01,0.01
9/1/91,5.45,100.13,0.12
12/1/91,4.43,99.9,-0.23
3/1/92,3.98,101.78,1.88
6/1/92,3.76,101.55,-0.23
9/1/92,3.22,102.64,1.09
12/1/92,2.92,103.61,0.97
3/1/93,3.07,103.96,0.35
6/1/93,3.04,105.05,1.09
9/1/93,3.09,106.15,1.1
12/1/93,2.96,107.47,1.32
3/1/94,3.34,108.54,1.07
6/1/94,4.25,109.14,0.6
9/1/94,4.73,109.62,0.48
12/1/94,5.45,110.05,0.43
3/1/95,5.98,110.67,0.62
6/1/95,6,111.2,0.53
9/1/95,5.8,111.96,0.76
12/1/95,5.6,112.74,0.78
3/1/96,5.31,113.44,0.7
6/1/96,5.27,113.94,0.5
9/1/96,5.3,114.65,0.71
12/1/96,5.29,114.86,0.21
3/1/97,5.39,115.37,0.51
6/1/97,5.56,116.38,1.01
9/1/97,5.54,117.01,0.63
12/1/97,5.5,118.37,1.36
3/1/98,5.49,120.37,2
6/1/98,5.56,121.7,1.33
9/1/98,5.51,123.72,2.02
12/1/98,4.68,125.48,1.76
3/1/99,4.81,127.32,1.84
6/1/99,4.76,129.51,2.19
9/1/99,5.22,131.39,1.88
12/1/99,5.3,133.93,2.54
3/1/00,5.85,136.45,2.52
6/1/00,6.53,138.53,2.08
9/1/00,6.52,140.96,2.43
12/1/00,6.4,142.98,2.02
3/1/01,5.31,144.78,1.8
6/1/01,3.97,146.44,1.66
9/1/01,3.07,147.61,1.17
12/1/01,1.82,148.65,1.04
3/1/02,1.73,149.79,1.14
6/1/02,1.75,151.42,1.63
9/1/02,1.75,152.21,0.79
12/1/02,1.24,153.51,1.3
3/1/03,1.25,154.28,0.77
6/1/03,1.22,154.94,0.66
9/1/03,1.01,155.85,0.91
12/1/03,0.98,156.89,1.04
3/1/04,1,158.16,1.27
6/1/04,1.03,159.63,1.47
9/1/04,1.61,161,1.37
12/1/04,2.16,162.56,1.56
3/1/05,2.63,164.58,2.02
6/1/05,3.04,167.02,2.44
9/1/05,3.62,169.48,2.46
12/1/05,4.16,172.32,2.84
3/1/06,4.59,175.29,2.97
6/1/06,4.99,177.3,2.01
9/1/06,5.25,180.02,2.72
12/1/06,5.24,183.21,3.19
3/1/07,5.26,186.08,2.87
6/1/07,5.25,187.61,1.53
9/1/07,4.94,188.95,1.34
12/1/07,4.24,189.86,0.91
3/1/08,2.61,189.27,-0.59
6/1/08,2,188.88,-0.39
9/1/08,1.81,189.61,0.73
12/1/08,0.16,187.39,-2.22
3/1/09,0.18,187.44,0.05
6/1/09,0.21,187.33,-0.11
9/1/09,0.15,187.36,0.03
12/1/09,0.12,188.64,1.28
3/1/10,0.16,188.61,-0.03
6/1/10,0.18,188.78,0.17
9/1/10,0.19,188,-0.78
12/1/10,0.18,184.41,-3.59
3/1/11,0.14,184.15,-0.26
6/1/11,0.09,184.86,0.71
9/1/11,0.08,184.91,0.05
12/1/11,0.07,186.56,1.65
3/1/12,0.13,188.55,1.99
6/1/12,0.16,190.73,2.18
9/1/12,0.14,194.35,3.62
12/1/12,0.16,197.66,3.31
3/1/13,0.14,200.06,2.4
6/1/13,0.09,203.94,3.88
9/1/13,0.08,206.7,2.76
12/1/13,0.09,210.91,4.21
3/1/14,0.08,215.46,4.55
6/1/14,0.1,216.81,1.35
9/1/14,0.09,221.53,4.72
12/1/14,0.12,225.16,3.63
3/1/15,0.11,229.71,4.55
6/1/15,0.13,233.4,3.69
9/1/15,0.14,236.86,3.46
12/1/15,0.24,240.74,3.88
3/1/16,0.36,244.51,3.77
6/1/16,0.38,248.68,4.17
9/1/16,0.4,253.92,5.24
12/1/16,0.54,257.43,3.51
3/1/17,0.79,261.6,4.17
6/1/17,1.04,267.57,5.97
9/1/17,1.15,271.52,3.95
12/1/17,1.3,276.06,4.54
3/1/18,1.51,280.25,4.19
6/1/18,1.82,283.92,3.67
9/1/18,1.95,287.11,3.19
12/1/18,2.27,290.77,3.66
3/1/19,2.41,294.54,3.77
6/1/19,2.38,298.06,3.52
9/1/19,2.04,301.77,3.71
12/1/19,1.55,305.6,3.83
3/1/20,0.65,308.8,3.2
6/1/20,0.08,311.53,2.73
