date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.57,0.57
9/1/91,5.45,101.83,1.26
12/1/91,4.43,103.74,1.91
3/1/92,3.98,106.19,2.45
6/1/92,3.76,108.63,2.44
9/1/92,3.22,110.03,1.4
12/1/92,2.92,114.12,4.09
3/1/93,3.07,117.71,3.59
6/1/93,3.04,121.93,4.22
9/1/93,3.09,127.74,5.81
12/1/93,2.96,133.33,5.59
3/1/94,3.34,137.91,4.58
6/1/94,4.25,144.22,6.31
9/1/94,4.73,148.44,4.22
12/1/94,5.45,151.64,3.2
3/1/95,5.98,155.03,3.39
6/1/95,6,156.64,1.61
9/1/95,5.8,160.93,4.29
12/1/95,5.6,163.71,2.78
3/1/96,5.31,168.07,4.36
6/1/96,5.27,170.4,2.33
9/1/96,5.3,173.17,2.77
12/1/96,5.29,175.18,2.01
3/1/97,5.39,175.53,0.35
6/1/97,5.56,177.75,2.22
9/1/97,5.54,178.94,1.19
12/1/97,5.5,179.97,1.03
3/1/98,5.49,182.05,2.08
6/1/98,5.56,184.37,2.32
9/1/98,5.51,183.77,-0.6
12/1/98,4.68,186.76,2.99
3/1/99,4.81,187.41,0.65
6/1/99,4.76,188.51,1.1
9/1/99,5.22,188.99,0.48
12/1/99,5.3,190.54,1.55
3/1/00,5.85,191.47,0.93
6/1/00,6.53,192.22,0.75
9/1/00,6.52,193.93,1.71
12/1/00,6.4,193.94,0.01
3/1/01,5.31,195.71,1.77
6/1/01,3.97,196.42,0.71
9/1/01,3.07,196.38,-0.04
12/1/01,1.82,197.4,1.02
3/1/02,1.73,198.33,0.93
6/1/02,1.75,198.45,0.12
9/1/02,1.75,199.48,1.03
12/1/02,1.24,202.54,3.06
3/1/03,1.25,201.6,-0.94
6/1/03,1.22,204.6,3
9/1/03,1.01,206.05,1.45
12/1/03,0.98,206.71,0.66
3/1/04,1,210.54,3.83
6/1/04,1.03,214.25,3.71
9/1/04,1.61,218.25,4
12/1/04,2.16,223.34,5.09
3/1/05,2.63,228.14,4.8
6/1/05,3.04,234.78,6.64
9/1/05,3.62,244.68,9.9
12/1/05,4.16,255.41,10.73
3/1/06,4.59,264.99,9.58
6/1/06,4.99,275.04,10.05
9/1/06,5.25,285.76,10.72
12/1/06,5.24,298.62,12.86
3/1/07,5.26,308.64,10.02
6/1/07,5.25,317.38,8.74
9/1/07,4.94,318.92,1.54
12/1/07,4.24,315.13,-3.79
3/1/08,2.61,312.98,-2.15
6/1/08,2,305.81,-7.17
9/1/08,1.81,296.42,-9.39
12/1/08,0.16,285.55,-10.87
3/1/09,0.18,278.94,-6.61
6/1/09,0.21,268.22,-10.72
9/1/09,0.15,265.53,-2.69
12/1/09,0.12,263.96,-1.57
3/1/10,0.16,257.37,-6.59
6/1/10,0.18,256.74,-0.63
9/1/10,0.19,250.52,-6.22
12/1/10,0.18,249.05,-1.47
3/1/11,0.14,238.54,-10.51
6/1/11,0.09,236.12,-2.42
9/1/11,0.08,238.9,2.78
12/1/11,0.07,238.98,0.08
3/1/12,0.13,245.06,6.08
6/1/12,0.16,251.66,6.6
9/1/12,0.14,255.22,3.56
12/1/12,0.16,263.38,8.16
3/1/13,0.14,269.59,6.21
6/1/13,0.09,277.32,7.73
9/1/13,0.08,284.01,6.69
12/1/13,0.09,285.56,1.55
3/1/14,0.08,289.49,3.93
6/1/14,0.1,290.83,1.34
9/1/14,0.09,292.38,1.55
12/1/14,0.12,297.3,4.92
3/1/15,0.11,302.91,5.61
6/1/15,0.13,306.48,3.57
9/1/15,0.14,311.53,5.05
12/1/15,0.24,319.86,8.33
3/1/16,0.36,325.82,5.96
6/1/16,0.38,332.71,6.89
9/1/16,0.4,340.14,7.43
12/1/16,0.54,346.27,6.13
3/1/17,0.79,354.08,7.81
6/1/17,1.04,361.86,7.78
9/1/17,1.15,372.08,10.22
12/1/17,1.3,381.02,8.94
3/1/18,1.51,390.92,9.9
6/1/18,1.82,401.82,10.9
9/1/18,1.95,408.26,6.44
12/1/18,2.27,417.06,8.8
3/1/19,2.41,424.68,7.62
6/1/19,2.38,433.27,8.59
9/1/19,2.04,441.7,8.43
12/1/19,1.55,450.63,8.93
3/1/20,0.65,462.5,11.87
6/1/20,0.08,468.44,5.94
