date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,99.36,-0.64
9/1/91,5.45,99.01,-0.35
12/1/91,4.43,100.12,1.11
3/1/92,3.98,101.36,1.24
6/1/92,3.76,100.13,-1.23
9/1/92,3.22,101.15,1.02
12/1/92,2.92,101.27,0.12
3/1/93,3.07,101.11,-0.16
6/1/93,3.04,101.72,0.61
9/1/93,3.09,101.98,0.26
12/1/93,2.96,102.3,0.32
3/1/94,3.34,102.89,0.59
6/1/94,4.25,103.64,0.75
9/1/94,4.73,104.28,0.64
12/1/94,5.45,105.26,0.98
3/1/95,5.98,105.04,-0.22
6/1/95,6,105.17,0.13
9/1/95,5.8,105.87,0.7
12/1/95,5.6,105.7,-0.17
3/1/96,5.31,106.69,0.99
6/1/96,5.27,107.16,0.47
9/1/96,5.3,107.66,0.5
12/1/96,5.29,107.9,0.24
3/1/97,5.39,109.07,1.17
6/1/97,5.56,109.07,0
9/1/97,5.54,109.68,0.61
12/1/97,5.5,110.88,1.2
3/1/98,5.49,110.94,0.06
6/1/98,5.56,112.44,1.5
9/1/98,5.51,113.08,0.64
12/1/98,4.68,114.88,1.8
3/1/99,4.81,117.14,2.26
6/1/99,4.76,117.82,0.68
9/1/99,5.22,119.61,1.79
12/1/99,5.3,121.75,2.14
3/1/00,5.85,123.7,1.95
6/1/00,6.53,126.38,2.68
9/1/00,6.52,128.8,2.42
12/1/00,6.4,131.09,2.29
3/1/01,5.31,134.76,3.67
6/1/01,3.97,137.72,2.96
9/1/01,3.07,140.86,3.14
12/1/01,1.82,143.16,2.3
3/1/02,1.73,146.22,3.06
6/1/02,1.75,150.42,4.2
9/1/02,1.75,153.64,3.22
12/1/02,1.24,157.28,3.64
3/1/03,1.25,161.11,3.83
6/1/03,1.22,165.62,4.51
9/1/03,1.01,170.4,4.78
12/1/03,0.98,176.22,5.82
3/1/04,1,181.37,5.15
6/1/04,1.03,187.57,6.2
9/1/04,1.61,195.59,8.02
12/1/04,2.16,203.35,7.76
3/1/05,2.63,210.99,7.64
6/1/05,3.04,218.69,7.7
9/1/05,3.62,226.79,8.1
12/1/05,4.16,234.34,7.55
3/1/06,4.59,239.49,5.15
6/1/06,4.99,242.28,2.79
9/1/06,5.25,242.7,0.42
12/1/06,5.24,247.36,4.66
3/1/07,5.26,248.56,1.2
6/1/07,5.25,248.42,-0.14
9/1/07,4.94,245.35,-3.07
12/1/07,4.24,239.37,-5.98
3/1/08,2.61,235.47,-3.9
6/1/08,2,226.68,-8.79
9/1/08,1.81,221.6,-5.08
12/1/08,0.16,212.79,-8.81
3/1/09,0.18,213.08,0.29
6/1/09,0.21,213.24,0.16
9/1/09,0.15,213.42,0.18
12/1/09,0.12,216.45,3.03
3/1/10,0.16,211.15,-5.3
6/1/10,0.18,212.21,1.06
9/1/10,0.19,207.88,-4.33
12/1/10,0.18,206.28,-1.6
3/1/11,0.14,203.03,-3.25
6/1/11,0.09,202.48,-0.55
9/1/11,0.08,203.93,1.45
12/1/11,0.07,202.18,-1.75
3/1/12,0.13,203.99,1.81
6/1/12,0.16,206.07,2.08
9/1/12,0.14,208.26,2.19
12/1/12,0.16,211.42,3.16
3/1/13,0.14,211.2,-0.22
6/1/13,0.09,216.63,5.43
9/1/13,0.08,217.68,1.05
12/1/13,0.09,216.35,-1.33
3/1/14,0.08,217.89,1.54
6/1/14,0.1,219.24,1.35
9/1/14,0.09,220.4,1.16
12/1/14,0.12,223.65,3.25
3/1/15,0.11,224.11,0.46
6/1/15,0.13,224.29,0.18
9/1/15,0.14,225.97,1.68
12/1/15,0.24,229.14,3.17
3/1/16,0.36,231.48,2.34
6/1/16,0.38,233.8,2.32
9/1/16,0.4,235.85,2.05
12/1/16,0.54,238.19,2.34
3/1/17,0.79,238.42,0.23
6/1/17,1.04,243.66,5.24
9/1/17,1.15,246.94,3.28
12/1/17,1.3,248.72,1.78
3/1/18,1.51,254.15,5.43
6/1/18,1.82,255.14,0.99
9/1/18,1.95,257.36,2.22
12/1/18,2.27,262.29,4.93
3/1/19,2.41,262.16,-0.13
6/1/19,2.38,268.48,6.32
9/1/19,2.04,272,3.52
12/1/19,1.55,275.38,3.38
3/1/20,0.65,280.1,4.72
6/1/20,0.08,280.35,0.25
