date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,99.48,-0.52
9/1/91,5.45,99.2,-0.28
12/1/91,4.43,99.13,-0.07
3/1/92,3.98,100.2,1.07
6/1/92,3.76,100.73,0.53
9/1/92,3.22,100.51,-0.22
12/1/92,2.92,101.64,1.13
3/1/93,3.07,101.49,-0.15
6/1/93,3.04,100.8,-0.69
9/1/93,3.09,100.75,-0.05
12/1/93,2.96,102.02,1.27
3/1/94,3.34,102.62,0.6
6/1/94,4.25,101.87,-0.75
9/1/94,4.73,102.46,0.59
12/1/94,5.45,100.15,-2.31
3/1/95,5.98,98.21,-1.94
6/1/95,6,102.29,4.08
9/1/95,5.8,102.31,0.02
12/1/95,5.6,98.39,-3.92
3/1/96,5.31,105.68,7.29
6/1/96,5.27,103.56,-2.12
9/1/96,5.3,101.91,-1.65
12/1/96,5.29,103.05,1.14
3/1/97,5.39,102.35,-0.7
6/1/97,5.56,101.24,-1.11
9/1/97,5.54,103.01,1.77
12/1/97,5.5,103.43,0.42
3/1/98,5.49,105.97,2.54
6/1/98,5.56,105.75,-0.22
9/1/98,5.51,106.63,0.88
12/1/98,4.68,109.16,2.53
3/1/99,4.81,108.07,-1.09
6/1/99,4.76,112.01,3.94
9/1/99,5.22,115.11,3.1
12/1/99,5.3,115.24,0.13
3/1/00,5.85,118.78,3.54
6/1/00,6.53,120.86,2.08
9/1/00,6.52,123.8,2.94
12/1/00,6.4,127.3,3.5
3/1/01,5.31,128.71,1.41
6/1/01,3.97,134.6,5.89
9/1/01,3.07,134.93,0.33
12/1/01,1.82,138.52,3.59
3/1/02,1.73,141.78,3.26
6/1/02,1.75,143.96,2.18
9/1/02,1.75,147.48,3.52
12/1/02,1.24,149.5,2.02
3/1/03,1.25,151.91,2.41
6/1/03,1.22,154.12,2.21
9/1/03,1.01,159.79,5.67
12/1/03,0.98,164,4.21
3/1/04,1,169.72,5.72
6/1/04,1.03,179.05,9.33
9/1/04,1.61,182.24,3.19
12/1/04,2.16,188.48,6.24
3/1/05,2.63,195.4,6.92
6/1/05,3.04,199.04,3.64
9/1/05,3.62,205.03,5.99
12/1/05,4.16,207.58,2.55
3/1/06,4.59,208.06,0.48
6/1/06,4.99,213.57,5.51
9/1/06,5.25,213.89,0.32
12/1/06,5.24,218.17,4.28
3/1/07,5.26,215.6,-2.57
6/1/07,5.25,217.4,1.8
9/1/07,4.94,218.76,1.36
12/1/07,4.24,216.31,-2.45
3/1/08,2.61,218.17,1.86
6/1/08,2,212.67,-5.5
9/1/08,1.81,210.05,-2.62
12/1/08,0.16,212.74,2.69
3/1/09,0.18,209.34,-3.4
6/1/09,0.21,212.47,3.13
9/1/09,0.15,210.65,-1.82
12/1/09,0.12,206.1,-4.55
3/1/10,0.16,208.35,2.25
6/1/10,0.18,204.25,-4.1
9/1/10,0.19,202.16,-2.09
12/1/10,0.18,202.53,0.37
3/1/11,0.14,201.75,-0.78
6/1/11,0.09,200.78,-0.97
9/1/11,0.08,198.9,-1.88
12/1/11,0.07,208.82,9.92
3/1/12,0.13,205.19,-3.63
6/1/12,0.16,201.7,-3.49
9/1/12,0.14,203.69,1.99
12/1/12,0.16,202.85,-0.84
3/1/13,0.14,207.92,5.07
6/1/13,0.09,205.99,-1.93
9/1/13,0.08,208.12,2.13
12/1/13,0.09,209.87,1.75
3/1/14,0.08,202.92,-6.95
6/1/14,0.1,211.34,8.42
9/1/14,0.09,209.76,-1.58
12/1/14,0.12,204.51,-5.25
3/1/15,0.11,207.09,2.58
6/1/15,0.13,214.95,7.86
9/1/15,0.14,213.87,-1.08
12/1/15,0.24,213.17,-0.7
3/1/16,0.36,210.13,-3.04
6/1/16,0.38,214.63,4.5
9/1/16,0.4,218.05,3.42
12/1/16,0.54,219.46,1.41
3/1/17,0.79,224.97,5.51
6/1/17,1.04,221.77,-3.2
9/1/17,1.15,223.01,1.24
12/1/17,1.3,233.44,10.43
3/1/18,1.51,226.54,-6.9
6/1/18,1.82,232.98,6.44
9/1/18,1.95,233.19,0.21
12/1/18,2.27,239.25,6.06
3/1/19,2.41,239.93,0.68
6/1/19,2.38,243.71,3.78
9/1/19,2.04,248.77,5.06
12/1/19,1.55,250.64,1.87
3/1/20,0.65,256.14,5.5
6/1/20,0.08,253.27,-2.87
