date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,100.77,0.77
9/1/91,5.45,100.72,-0.05
12/1/91,4.43,103.01,2.29
3/1/92,3.98,103.91,0.9
6/1/92,3.76,104.56,0.65
9/1/92,3.22,106.36,1.8
12/1/92,2.92,107.64,1.28
3/1/93,3.07,108.47,0.83
6/1/93,3.04,109.85,1.38
9/1/93,3.09,111.62,1.77
12/1/93,2.96,113.47,1.85
3/1/94,3.34,115.15,1.68
6/1/94,4.25,117.05,1.9
9/1/94,4.73,117.93,0.88
12/1/94,5.45,118.66,0.73
3/1/95,5.98,120.17,1.51
6/1/95,6,118.87,-1.3
9/1/95,5.8,119.48,0.61
12/1/95,5.6,120.3,0.82
3/1/96,5.31,120.91,0.61
6/1/96,5.27,121.71,0.8
9/1/96,5.3,122.5,0.79
12/1/96,5.29,123.11,0.61
3/1/97,5.39,124.29,1.18
6/1/97,5.56,125.92,1.63
9/1/97,5.54,128.48,2.56
12/1/97,5.5,129.89,1.41
3/1/98,5.49,132.58,2.69
6/1/98,5.56,135.43,2.85
9/1/98,5.51,136.96,1.53
12/1/98,4.68,139.47,2.51
3/1/99,4.81,141.13,1.66
6/1/99,4.76,143.64,2.51
9/1/99,5.22,145.25,1.61
12/1/99,5.3,147.65,2.4
3/1/00,5.85,149.65,2
6/1/00,6.53,150.62,0.97
9/1/00,6.52,152.39,1.77
12/1/00,6.4,154.45,2.06
3/1/01,5.31,156.7,2.25
6/1/01,3.97,158.08,1.38
9/1/01,3.07,160.33,2.25
12/1/01,1.82,161.78,1.45
3/1/02,1.73,164.3,2.52
6/1/02,1.75,166.44,2.14
9/1/02,1.75,167.61,1.17
12/1/02,1.24,171.2,3.59
3/1/03,1.25,173.2,2
6/1/03,1.22,175.61,2.41
9/1/03,1.01,179.26,3.65
12/1/03,0.98,183.69,4.43
3/1/04,1,189.01,5.32
6/1/04,1.03,194.64,5.63
9/1/04,1.61,199.73,5.09
12/1/04,2.16,207.2,7.47
3/1/05,2.63,213.7,6.5
6/1/05,3.04,223.38,9.68
9/1/05,3.62,234.14,10.76
12/1/05,4.16,242.28,8.14
3/1/06,4.59,250.76,8.48
6/1/06,4.99,258.71,7.95
9/1/06,5.25,264.29,5.58
12/1/06,5.24,269.86,5.57
3/1/07,5.26,276.86,7
6/1/07,5.25,277.75,0.89
9/1/07,4.94,278.7,0.95
12/1/07,4.24,276.5,-2.2
3/1/08,2.61,271.27,-5.23
6/1/08,2,266.47,-4.8
9/1/08,1.81,259.51,-6.96
12/1/08,0.16,249.36,-10.15
3/1/09,0.18,248.43,-0.93
6/1/09,0.21,239.47,-8.96
9/1/09,0.15,234.61,-4.86
12/1/09,0.12,234.54,-0.07
3/1/10,0.16,233.04,-1.5
6/1/10,0.18,230,-3.04
9/1/10,0.19,225.21,-4.79
12/1/10,0.18,219.24,-5.97
3/1/11,0.14,212.89,-6.35
6/1/11,0.09,207.05,-5.84
9/1/11,0.08,204.86,-2.19
12/1/11,0.07,202.49,-2.37
3/1/12,0.13,203.61,1.12
6/1/12,0.16,208.08,4.47
9/1/12,0.14,211.91,3.83
12/1/12,0.16,218.29,6.38
3/1/13,0.14,222.04,3.75
6/1/13,0.09,225.88,3.84
9/1/13,0.08,233.81,7.93
12/1/13,0.09,232.38,-1.43
3/1/14,0.08,236.02,3.64
6/1/14,0.1,240.18,4.16
9/1/14,0.09,244.58,4.4
12/1/14,0.12,248.38,3.8
3/1/15,0.11,254.98,6.6
6/1/15,0.13,261.55,6.57
9/1/15,0.14,267.08,5.53
12/1/15,0.24,275.75,8.67
3/1/16,0.36,282.15,6.4
6/1/16,0.38,288.59,6.44
9/1/16,0.4,296.17,7.58
12/1/16,0.54,304.11,7.94
3/1/17,0.79,311.92,7.81
6/1/17,1.04,322.48,10.56
9/1/17,1.15,329.82,7.34
12/1/17,1.3,338.81,8.99
3/1/18,1.51,350.54,11.73
6/1/18,1.82,357.25,6.71
9/1/18,1.95,363.7,6.45
12/1/18,2.27,367.94,4.24
3/1/19,2.41,372.54,4.6
6/1/19,2.38,378.05,5.51
9/1/19,2.04,386.04,7.99
12/1/19,1.55,394.8,8.76
3/1/20,0.65,405.6,10.8
6/1/20,0.08,410.57,4.97
