date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,101.12,1.12
9/1/91,5.45,102.67,1.55
12/1/91,4.43,103.74,1.07
3/1/92,3.98,105.38,1.64
6/1/92,3.76,107.91,2.53
9/1/92,3.22,109.21,1.3
12/1/92,2.92,111.48,2.27
3/1/93,3.07,113.59,2.11
6/1/93,3.04,115.65,2.06
9/1/93,3.09,118.23,2.58
12/1/93,2.96,120.68,2.45
3/1/94,3.34,123.18,2.5
6/1/94,4.25,125.16,1.98
9/1/94,4.73,126.24,1.08
12/1/94,5.45,127.94,1.7
3/1/95,5.98,129.08,1.14
6/1/95,6,130.28,1.2
9/1/95,5.8,131.92,1.64
12/1/95,5.6,133.38,1.46
3/1/96,5.31,134.23,0.85
6/1/96,5.27,136.28,2.05
9/1/96,5.3,136.55,0.27
12/1/96,5.29,137.47,0.92
3/1/97,5.39,138.73,1.26
6/1/97,5.56,139.69,0.96
9/1/97,5.54,141.33,1.64
12/1/97,5.5,142.08,0.75
3/1/98,5.49,143.4,1.32
6/1/98,5.56,145.23,1.83
9/1/98,5.51,147.03,1.8
12/1/98,4.68,149.12,2.09
3/1/99,4.81,150.77,1.65
6/1/99,4.76,153.46,2.69
9/1/99,5.22,155.04,1.58
12/1/99,5.3,157.29,2.25
3/1/00,5.85,160.4,3.11
6/1/00,6.53,162.21,1.81
9/1/00,6.52,164.4,2.19
12/1/00,6.4,166.35,1.95
3/1/01,5.31,168.85,2.5
6/1/01,3.97,171.23,2.38
9/1/01,3.07,173.19,1.96
12/1/01,1.82,175.87,2.68
3/1/02,1.73,177.61,1.74
6/1/02,1.75,180.09,2.48
9/1/02,1.75,183.51,3.42
12/1/02,1.24,186.17,2.66
3/1/03,1.25,188.86,2.69
6/1/03,1.22,191.47,2.61
9/1/03,1.01,194.41,2.94
12/1/03,0.98,198.48,4.07
3/1/04,1,202,3.52
6/1/04,1.03,204.58,2.58
9/1/04,1.61,208.75,4.17
12/1/04,2.16,212.19,3.44
3/1/05,2.63,212.83,0.64
6/1/05,3.04,217.47,4.64
9/1/05,3.62,219.93,2.46
12/1/05,4.16,222.23,2.3
3/1/06,4.59,224.04,1.81
6/1/06,4.99,224.65,0.61
9/1/06,5.25,225.33,0.68
12/1/06,5.24,225.23,-0.1
3/1/07,5.26,225.8,0.57
6/1/07,5.25,226.5,0.7
9/1/07,4.94,225,-1.5
12/1/07,4.24,223.01,-1.99
3/1/08,2.61,222.23,-0.78
6/1/08,2,219.21,-3.02
9/1/08,1.81,216.43,-2.78
12/1/08,0.16,213.63,-2.8
3/1/09,0.18,216.92,3.29
6/1/09,0.21,212.32,-4.6
9/1/09,0.15,209,-3.32
12/1/09,0.12,207.88,-1.12
3/1/10,0.16,205.07,-2.81
6/1/10,0.18,204.38,-0.69
9/1/10,0.19,202.97,-1.41
12/1/10,0.18,203.56,0.59
3/1/11,0.14,195.89,-7.67
6/1/11,0.09,194.52,-1.37
9/1/11,0.08,194.88,0.36
12/1/11,0.07,195.1,0.22
3/1/12,0.13,195.02,-0.08
6/1/12,0.16,194.6,-0.42
9/1/12,0.14,196.16,1.56
12/1/12,0.16,195.72,-0.44
3/1/13,0.14,197.97,2.25
6/1/13,0.09,201.7,3.73
9/1/13,0.08,203.65,1.95
12/1/13,0.09,204.52,0.87
3/1/14,0.08,204.48,-0.04
6/1/14,0.1,206.93,2.45
9/1/14,0.09,208.54,1.61
12/1/14,0.12,211.17,2.63
3/1/15,0.11,214.16,2.99
6/1/15,0.13,214.9,0.74
9/1/15,0.14,216.2,1.3
12/1/15,0.24,219.39,3.19
3/1/16,0.36,223.08,3.69
6/1/16,0.38,225.68,2.6
9/1/16,0.4,228.26,2.58
12/1/16,0.54,232.23,3.97
3/1/17,0.79,235.33,3.1
6/1/17,1.04,239.57,4.24
9/1/17,1.15,243.24,3.67
12/1/17,1.3,244.78,1.54
3/1/18,1.51,251.64,6.86
6/1/18,1.82,256.49,4.85
9/1/18,1.95,259.57,3.08
12/1/18,2.27,263.27,3.7
3/1/19,2.41,266.14,2.87
6/1/19,2.38,270.57,4.43
9/1/19,2.04,275.83,5.26
12/1/19,1.55,279.61,3.78
3/1/20,0.65,284.11,4.5
6/1/20,0.08,286.56,2.45
