date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,99.49,-0.51
9/1/91,5.45,99.72,0.23
12/1/91,4.43,102.58,2.86
3/1/92,3.98,103.41,0.83
6/1/92,3.76,106.06,2.65
9/1/92,3.22,105.94,-0.12
12/1/92,2.92,107.56,1.62
3/1/93,3.07,107.88,0.32
6/1/93,3.04,110.64,2.76
9/1/93,3.09,113.41,2.77
12/1/93,2.96,113.59,0.18
3/1/94,3.34,116.38,2.79
6/1/94,4.25,117.21,0.83
9/1/94,4.73,118.51,1.3
12/1/94,5.45,120.92,2.41
3/1/95,5.98,123.84,2.92
6/1/95,6,121.7,-2.14
9/1/95,5.8,125.19,3.49
12/1/95,5.6,126.44,1.25
3/1/96,5.31,127.47,1.03
6/1/96,5.27,125.24,-2.23
9/1/96,5.3,129.1,3.86
12/1/96,5.29,126.48,-2.62
3/1/97,5.39,126.88,0.4
6/1/97,5.56,129.53,2.65
9/1/97,5.54,128.61,-0.92
12/1/97,5.5,130.81,2.2
3/1/98,5.49,129.98,-0.83
6/1/98,5.56,132.7,2.72
9/1/98,5.51,132.24,-0.46
12/1/98,4.68,133.78,1.54
3/1/99,4.81,134.21,0.43
6/1/99,4.76,134.55,0.34
9/1/99,5.22,135.91,1.36
12/1/99,5.3,136.12,0.21
3/1/00,5.85,137.01,0.89
6/1/00,6.53,137.3,0.29
9/1/00,6.52,138.14,0.84
12/1/00,6.4,137.47,-0.67
3/1/01,5.31,140.01,2.54
6/1/01,3.97,137.63,-2.38
9/1/01,3.07,140.51,2.88
12/1/01,1.82,142.33,1.82
3/1/02,1.73,144.34,2.01
6/1/02,1.75,145.21,0.87
9/1/02,1.75,145.88,0.67
12/1/02,1.24,148.99,3.11
3/1/03,1.25,150.68,1.69
6/1/03,1.22,152.96,2.28
9/1/03,1.01,153.22,0.26
12/1/03,0.98,154.97,1.75
3/1/04,1,159.08,4.11
6/1/04,1.03,160.84,1.76
9/1/04,1.61,165.48,4.64
12/1/04,2.16,169.11,3.63
3/1/05,2.63,169.92,0.81
6/1/05,3.04,174.93,5.01
9/1/05,3.62,178.55,3.62
12/1/05,4.16,180.26,1.71
3/1/06,4.59,182.42,2.16
6/1/06,4.99,183.54,1.12
9/1/06,5.25,185.48,1.94
12/1/06,5.24,184.28,-1.2
3/1/07,5.26,190.66,6.38
6/1/07,5.25,189,-1.66
9/1/07,4.94,191.9,2.9
12/1/07,4.24,190.79,-1.11
3/1/08,2.61,190.13,-0.66
6/1/08,2,191.4,1.27
9/1/08,1.81,187.4,-4
12/1/08,0.16,188.2,0.8
3/1/09,0.18,183.8,-4.4
6/1/09,0.21,187.95,4.15
9/1/09,0.15,185.18,-2.77
12/1/09,0.12,183.98,-1.2
3/1/10,0.16,183.21,-0.77
6/1/10,0.18,185.88,2.67
9/1/10,0.19,187.37,1.49
12/1/10,0.18,186.71,-0.66
3/1/11,0.14,183.39,-3.32
6/1/11,0.09,180.5,-2.89
9/1/11,0.08,183.04,2.54
12/1/11,0.07,183.76,0.72
3/1/12,0.13,191.53,7.77
6/1/12,0.16,187.32,-4.21
9/1/12,0.14,186.7,-0.62
12/1/12,0.16,193.65,6.95
3/1/13,0.14,192.19,-1.46
6/1/13,0.09,191.8,-0.39
9/1/13,0.08,192.65,0.85
12/1/13,0.09,192.45,-0.2
3/1/14,0.08,199.72,7.27
6/1/14,0.1,198.56,-1.16
9/1/14,0.09,201.39,2.83
12/1/14,0.12,196.54,-4.85
3/1/15,0.11,198.17,1.63
6/1/15,0.13,202.61,4.44
9/1/15,0.14,202.51,-0.1
12/1/15,0.24,207.55,5.04
3/1/16,0.36,204.03,-3.52
6/1/16,0.38,206.43,2.4
9/1/16,0.4,206.2,-0.23
12/1/16,0.54,207.78,1.58
3/1/17,0.79,203.97,-3.81
6/1/17,1.04,206.47,2.5
9/1/17,1.15,207.77,1.3
12/1/17,1.3,207.46,-0.31
3/1/18,1.51,213.83,6.37
6/1/18,1.82,213.47,-0.36
9/1/18,1.95,216.01,2.54
12/1/18,2.27,209.96,-6.05
3/1/19,2.41,225.1,15.14
6/1/19,2.38,221.25,-3.85
9/1/19,2.04,222.08,0.83
12/1/19,1.55,224.98,2.9
3/1/20,0.65,221.7,-3.28
6/1/20,0.08,223.64,1.94
