date,FEDFUNDS,hpi,hpi_pct_chng
3/1/91,6.12,100,0
6/1/91,5.9,102.78,2.78
9/1/91,5.45,104.27,1.49
12/1/91,4.43,104.85,0.58
3/1/92,3.98,106.6,1.75
6/1/92,3.76,108,1.4
9/1/92,3.22,108.55,0.55
12/1/92,2.92,112.52,3.97
3/1/93,3.07,112.6,0.08
6/1/93,3.04,115.08,2.48
9/1/93,3.09,118.89,3.81
12/1/93,2.96,122.5,3.61
3/1/94,3.34,127.18,4.68
6/1/94,4.25,128.45,1.27
9/1/94,4.73,131.62,3.17
12/1/94,5.45,134.5,2.88
3/1/95,5.98,136.17,1.67
6/1/95,6,139.47,3.3
9/1/95,5.8,139.76,0.29
12/1/95,5.6,143.27,3.51
3/1/96,5.31,144.41,1.14
6/1/96,5.27,145.14,0.73
9/1/96,5.3,145.66,0.52
12/1/96,5.29,145.66,0
3/1/97,5.39,146.81,1.15
6/1/97,5.56,149.11,2.3
9/1/97,5.54,149.62,0.51
12/1/97,5.5,150.47,0.85
3/1/98,5.49,152.5,2.03
6/1/98,5.56,153.33,0.83
9/1/98,5.51,154.63,1.3
12/1/98,4.68,154.81,0.18
3/1/99,4.81,156.16,1.35
6/1/99,4.76,156.33,0.17
9/1/99,5.22,159.5,3.17
12/1/99,5.3,161.07,1.57
3/1/00,5.85,162.15,1.08
6/1/00,6.53,165.3,3.15
9/1/00,6.52,163.92,-1.38
12/1/00,6.4,168.97,5.05
3/1/01,5.31,168.63,-0.34
6/1/01,3.97,171.13,2.5
9/1/01,3.07,174.18,3.05
12/1/01,1.82,179.21,5.03
3/1/02,1.73,183.8,4.59
6/1/02,1.75,186.62,2.82
9/1/02,1.75,189.04,2.42
12/1/02,1.24,192.76,3.72
3/1/03,1.25,192.95,0.19
6/1/03,1.22,200.34,7.39
9/1/03,1.01,205.2,4.86
12/1/03,0.98,207.4,2.2
3/1/04,1,214.96,7.56
6/1/04,1.03,218.68,3.72
9/1/04,1.61,223.53,4.85
12/1/04,2.16,228.3,4.77
3/1/05,2.63,234.55,6.25
6/1/05,3.04,240.93,6.38
9/1/05,3.62,249.46,8.53
12/1/05,4.16,257.58,8.12
3/1/06,4.59,266.12,8.54
6/1/06,4.99,271.41,5.29
9/1/06,5.25,277.72,6.31
12/1/06,5.24,290.74,13.02
3/1/07,5.26,294.6,3.86
6/1/07,5.25,301.11,6.51
9/1/07,4.94,305.26,4.15
12/1/07,4.24,301.74,-3.52
3/1/08,2.61,304.44,2.7
6/1/08,2,300.18,-4.26
9/1/08,1.81,300.05,-0.13
12/1/08,0.16,301.43,1.38
3/1/09,0.18,287.07,-14.36
6/1/09,0.21,291.29,4.22
9/1/09,0.15,287.8,-3.49
12/1/09,0.12,283.82,-3.98
3/1/10,0.16,281.39,-2.43
6/1/10,0.18,282.18,0.79
9/1/10,0.19,276.32,-5.86
12/1/10,0.18,277.76,1.44
3/1/11,0.14,279.87,2.11
6/1/11,0.09,280.28,0.41
9/1/11,0.08,281.63,1.35
12/1/11,0.07,277.17,-4.46
3/1/12,0.13,281.13,3.96
6/1/12,0.16,286.1,4.97
9/1/12,0.14,291.44,5.34
12/1/12,0.16,295.14,3.7
3/1/13,0.14,286.95,-8.19
6/1/13,0.09,296.81,9.86
9/1/13,0.08,298.36,1.55
12/1/13,0.09,298.63,0.27
3/1/14,0.08,306.3,7.67
6/1/14,0.1,304.07,-2.23
9/1/14,0.09,305.99,1.92
12/1/14,0.12,313.87,7.88
3/1/15,0.11,317.21,3.34
6/1/15,0.13,315.13,-2.08
9/1/15,0.14,320.27,5.14
12/1/15,0.24,320.38,0.11
3/1/16,0.36,319.35,-1.03
6/1/16,0.38,321.54,2.19
9/1/16,0.4,321.46,-0.08
12/1/16,0.54,321.01,-0.45
3/1/17,0.79,323.54,2.53
6/1/17,1.04,327.14,3.6
9/1/17,1.15,328.62,1.48
12/1/17,1.3,334.41,5.79
3/1/18,1.51,335.7,1.29
6/1/18,1.82,338.16,2.46
9/1/18,1.95,341.88,3.72
12/1/18,2.27,344.76,2.88
3/1/19,2.41,343.74,-1.02
6/1/19,2.38,357.15,13.41
9/1/19,2.04,360.93,3.78
12/1/19,1.55,365.27,4.34
3/1/20,0.65,378.26,12.99
6/1/20,0.08,375.18,-3.08
